,Name,Date,Close,High,Low,Open,Volume,Adj Close,Adjhigh,Adjlow,Adjopen,Adjvolume,Divcash,Splitfactor
0,KMB,2010-11-04 00:00:00+00:00,62.98,63.25,62.85,63.21,2840300,43.2187744255,43.4040565642,43.1295645069,43.3766073584,2840300,0.0,1.0
1,KMB,2010-11-05 00:00:00+00:00,63.03,63.09,62.5,63.0,2646600,43.2530859327,43.2942597412,42.8893839567,43.2324990284,2646600,0.0,1.0
2,KMB,2010-11-08 00:00:00+00:00,62.82,63.03,62.57,62.93,1740700,43.1089776026,43.2530859327,42.9374200667,43.1844629183,1740700,0.0,1.0
3,KMB,2010-11-09 00:00:00+00:00,62.16,62.71,61.99,62.71,3695600,42.656065708,43.0334922868,42.5394065836,43.0334922868,3695600,0.0,1.0
4,KMB,2010-11-10 00:00:00+00:00,61.86,62.4,61.8,62.25,3373700,42.450196665,42.8207609424,42.4090228564,42.7178264209,3373700,0.0,1.0
5,KMB,2010-11-11 00:00:00+00:00,62.15,62.2924,61.75,61.76,2361600,42.6492034065,42.7469225789,42.3747113492,42.3815736507,2361600,0.0,1.0
6,KMB,2010-11-12 00:00:00+00:00,62.02,62.04,61.66,61.68,2811200,42.5599934879,42.5737180908,42.3129506363,42.3266752392,2811200,0.0,1.0
7,KMB,2010-11-15 00:00:00+00:00,62.18,62.47,62.13,62.37,1541900,42.6697903108,42.8687970524,42.6354788037,42.8001740381,1541900,0.0,1.0
8,KMB,2010-11-16 00:00:00+00:00,61.53,62.28,61.29,62.12,2921800,42.2237407177,42.7384133252,42.0590454833,42.6286165022,2921800,0.0,1.0
9,KMB,2010-11-17 00:00:00+00:00,61.67,61.88,61.44,61.48,1931400,42.3198129378,42.4639212678,42.1619800048,42.1894292105,1931400,0.0,1.0
10,KMB,2010-11-18 00:00:00+00:00,62.1,62.3301,61.83,62.05,2285400,42.6148918994,42.7727934554,42.4296097607,42.5805803922,2285400,0.0,1.0
11,KMB,2010-11-19 00:00:00+00:00,61.84,62.26,61.63,62.13,2898800,42.4364720621,42.7246887223,42.292363732,42.6354788037,2898800,0.0,1.0
12,KMB,2010-11-22 00:00:00+00:00,62.12,62.12,61.45,61.78,2484500,42.6286165022,42.6286165022,42.1688423062,42.3952982535,2484500,0.0,1.0
13,KMB,2010-11-23 00:00:00+00:00,61.46,62.02,61.41,62.02,2261500,42.1757046077,42.5599934879,42.1413931005,42.5599934879,2261500,0.0,1.0
14,KMB,2010-11-24 00:00:00+00:00,61.29,61.7,61.1,61.63,2649100,42.0590454833,42.3403998421,41.9286617561,42.292363732,2649100,0.0,1.0
15,KMB,2010-11-26 00:00:00+00:00,61.64,62.17,61.25,61.28,1557800,42.2992260335,42.6629280094,42.0315962776,42.0521831819,1557800,0.0,1.0
