,Name,Date,Close,High,Low,Open,Volume,Adj Close,Adjhigh,Adjlow,Adjopen,Adjvolume,Divcash,Splitfactor
0,KMI,2011-02-11 00:00:00+00:00,31.05,32.14,30.75,31.7,50610600,20.6108571183,21.3343944536,20.4117184022,21.0423243366,50610600,0.0,1.0
1,KMI,2011-02-14 00:00:00+00:00,30.7,31.3,30.7,31.05,6275900,20.3785286162,20.7768060484,20.3785286162,20.6108571183,6275900,0.0,1.0
2,KMI,2011-02-15 00:00:00+00:00,30.94,31.15,30.73,30.9,4337800,20.5378395891,20.6772366904,20.3984424878,20.5112877603,4337800,0.0,1.0
3,KMI,2011-02-16 00:00:00+00:00,30.72,31.44,30.66,31.05,4627100,20.3918045306,20.8697374493,20.3519767874,20.6108571183,4627100,0.0,1.0
4,KMI,2011-02-17 00:00:00+00:00,30.55,31.09,30.51,30.68,3290700,20.2789592581,20.6374089472,20.2524074293,20.3652527018,3290700,0.0,1.0
5,KMI,2011-02-18 00:00:00+00:00,31.37,31.39,30.4,30.65,2583800,20.8232717489,20.8365476633,20.1793899001,20.3453388302,2583800,0.0,1.0
6,KMI,2011-02-22 00:00:00+00:00,30.72,31.43,30.71,31.14,2454300,20.3918045306,20.8630994921,20.3851665734,20.6705987332,2454300,0.0,1.0
7,KMI,2011-02-23 00:00:00+00:00,30.42,30.9,30.25,30.76,2671200,20.1926658145,20.5112877603,20.079820542,20.4183563594,2671200,0.0,1.0
8,KMI,2011-02-24 00:00:00+00:00,30.46,30.65,30.3,30.55,1698000,20.2192176433,20.3453388302,20.113010328,20.2789592581,1698000,0.0,1.0
9,KMI,2011-02-25 00:00:00+00:00,30.5,30.75,30.3,30.53,2225900,20.2457694721,20.4117184022,20.113010328,20.2656833437,2225900,0.0,1.0
10,KMI,2011-02-28 00:00:00+00:00,30.5,30.79,30.42,30.57,2380400,20.2457694721,20.438270231,20.1926658145,20.2922351725,2380400,0.0,1.0
11,KMI,2011-03-01 00:00:00+00:00,30.45,30.78,30.23,30.65,1908000,20.2125796861,20.4316322738,20.0665446276,20.3453388302,1908000,0.0,1.0
12,KMI,2011-03-02 00:00:00+00:00,30.57,30.69,30.26,30.57,2197000,20.2922351725,20.371890659,20.0864584992,20.2922351725,2197000,0.0,1.0
13,KMI,2011-03-03 00:00:00+00:00,30.77,30.77,30.53,30.68,1901800,20.4249943166,20.4249943166,20.2656833437,20.3652527018,1901800,0.0,1.0
14,KMI,2011-03-04 00:00:00+00:00,30.85,30.9392,30.66,30.8,892300,20.4780979743,20.5373085525,20.3519767874,20.4449081882,892300,0.0,1.0
15,KMI,2011-03-07 00:00:00+00:00,30.9,31.04,30.7,30.94,1049600,20.5112877603,20.6042191611,20.3785286162,20.5378395891,1049600,0.0,1.0
16,KMI,2011-03-08 00:00:00+00:00,30.97,31.04,30.8,30.8,827400,20.5577534607,20.6042191611,20.4449081882,20.4449081882,827400,0.0,1.0
17,KMI,2011-03-09 00:00:00+00:00,30.75,30.98,30.74,30.9,294100,20.4117184022,20.5643914179,20.405080445,20.5112877603,294100,0.0,1.0
18,KMI,2011-03-10 00:00:00+00:00,30.1,30.71,29.75,30.71,2715200,19.980251184,20.3851665734,19.7479226818,20.3851665734,2715200,0.0,1.0
19,KMI,2011-03-11 00:00:00+00:00,30.1,30.48,29.97,30.1,1896900,19.980251184,20.2324935577,19.8939577403,19.980251184,1896900,0.0,1.0
20,KMI,2011-03-14 00:00:00+00:00,29.99,30.22,29.8,30.0,1967700,19.9072336547,20.0599066704,19.7811124678,19.9138716119,1967700,0.0,1.0
21,KMI,2011-03-15 00:00:00+00:00,29.88,30.2,29.6,29.81,1968400,19.8342161255,20.046630756,19.6483533238,19.787750425,1968400,0.0,1.0
22,KMI,2011-03-16 00:00:00+00:00,30.05,30.16,29.76,29.89,2062200,19.9470613979,20.0200789272,19.754560639,19.8408540827,2062200,0.0,1.0
23,KMI,2011-03-17 00:00:00+00:00,30.15,30.41,30.06,30.2,1511400,20.01344097,20.1860278573,19.9536993551,20.046630756,1511400,0.0,1.0
24,KMI,2011-03-18 00:00:00+00:00,30.5,30.5,30.08,30.21,1906600,20.2457694721,20.2457694721,19.9669752696,20.0532687132,1906600,0.0,1.0
25,KMI,2011-03-21 00:00:00+00:00,30.82,31.0,30.4,30.53,1253000,20.4581841026,20.5776673323,20.1793899001,20.2656833437,1253000,0.0,1.0
26,KMI,2011-03-22 00:00:00+00:00,30.7,30.98,30.57,30.9,1014700,20.3785286162,20.5643914179,20.2922351725,20.5112877603,1014700,0.0,1.0
27,KMI,2011-03-23 00:00:00+00:00,30.02,30.67,29.95,30.53,2570500,19.9271475263,20.3586147446,19.8806818259,20.2656833437,2570500,0.0,1.0
28,KMI,2011-03-24 00:00:00+00:00,30.05,30.25,29.9,30.1,1411600,19.9470613979,20.079820542,19.8474920399,19.980251184,1411600,0.0,1.0
29,KMI,2011-03-25 00:00:00+00:00,29.52,30.0899,29.5,30.01,2687100,19.5952496661,19.9735468472,19.5819737517,19.9205095691,2687100,0.0,1.0
30,KMI,2011-03-28 00:00:00+00:00,29.62,29.93,29.56,29.74,1552900,19.6616292382,19.8674059115,19.6218014949,19.7412847246,1552900,0.0,1.0
31,KMI,2011-03-29 00:00:00+00:00,29.79,29.8846,29.54,29.75,1313800,19.7744745106,19.8372695858,19.6085255805,19.7479226818,1313800,0.0,1.0
32,KMI,2011-03-30 00:00:00+00:00,29.69,29.89,29.58,29.87,769700,19.7080949386,19.8408540827,19.6350774094,19.8275781683,769700,0.0,1.0
33,KMI,2011-03-31 00:00:00+00:00,29.64,29.87,29.51,29.8,884400,19.6749051526,19.8275781683,19.5886117089,19.7811124678,884400,0.0,1.0
34,KMI,2011-04-01 00:00:00+00:00,29.5,29.85,29.49,29.79,1869200,19.5819737517,19.8143022539,19.5753357945,19.7744745106,1869200,0.0,1.0
35,KMI,2011-04-04 00:00:00+00:00,29.44,29.7,29.25,29.44,1177900,19.5421460085,19.7147328958,19.4160248216,19.5421460085,1177900,0.0,1.0
36,KMI,2011-04-05 00:00:00+00:00,29.44,29.64,29.0,29.49,1021200,19.5421460085,19.6749051526,19.2500758915,19.5753357945,1021200,0.0,1.0
37,KMI,2011-04-06 00:00:00+00:00,29.46,29.49,29.21,29.46,725100,19.5554219229,19.5753357945,19.3894729928,19.5554219229,725100,0.0,1.0
38,KMI,2011-04-07 00:00:00+00:00,29.22,29.56,29.13,29.52,1226100,19.39611095,19.6218014949,19.3363693352,19.5952496661,1226100,0.0,1.0
39,KMI,2011-04-08 00:00:00+00:00,29.33,29.42,29.12,29.22,934800,19.4691284793,19.5288700941,19.329731378,19.39611095,934800,0.0,1.0
40,KMI,2011-04-11 00:00:00+00:00,29.25,29.41,29.07,29.3,1160900,19.4160248216,19.5222321369,19.2965415919,19.4492146076,1160900,0.0,1.0
41,KMI,2011-04-12 00:00:00+00:00,28.73,29.24,28.27,29.1,1278100,19.070851047,19.4093868644,18.7655050156,19.3164554636,1278100,0.0,1.0
42,KMI,2011-04-13 00:00:00+00:00,28.83,29.02,28.66,28.74,2766900,19.1372306191,19.2633518059,19.0243853466,19.0774890042,2766900,0.0,1.0
43,KMI,2011-04-14 00:00:00+00:00,29.12,29.16,28.57,28.79,785800,19.329731378,19.3562832068,18.9646437318,19.1106787902,785800,0.0,1.0
44,KMI,2011-04-15 00:00:00+00:00,28.88,29.15,28.69,29.11,863900,19.1704204051,19.3496452496,19.0442992182,19.3230934208,863900,0.0,1.0
45,KMI,2011-04-18 00:00:00+00:00,28.52,28.8399,28.23,28.79,882400,18.9314539457,19.1438021967,18.7389531868,19.1106787902,882400,0.0,1.0
46,KMI,2011-04-19 00:00:00+00:00,28.78,28.86,28.53,28.59,1121200,19.104040833,19.1571444907,18.9380919029,18.9779196462,1121200,0.0,1.0
47,KMI,2011-04-20 00:00:00+00:00,29.45,29.6,28.79,28.98,2054000,19.5487839657,19.6483533238,19.1106787902,19.2367999771,2054000,0.0,1.0
48,KMI,2011-04-21 00:00:00+00:00,29.63,29.93,29.07,29.32,1516900,19.6682671954,19.8674059115,19.2965415919,19.462490522,1516900,0.0,1.0
49,KMI,2011-04-25 00:00:00+00:00,29.36,29.81,29.07,29.81,604100,19.4890423509,19.787750425,19.2965415919,19.787750425,604100,0.0,1.0
50,KMI,2011-04-26 00:00:00+00:00,29.12,29.589,29.05,29.54,1100000,19.329731378,19.6410515708,19.2832656775,19.6085255805,1100000,0.0,1.0
51,KMI,2011-04-27 00:00:00+00:00,28.86,29.49,28.75,29.3,1479600,19.1571444907,19.5753357945,19.0841269614,19.4492146076,1479600,0.0,1.0
52,KMI,2011-04-28 00:00:00+00:00,28.83,28.95,28.69,28.84,1041000,19.2301620199,19.3102043176,19.1367793393,19.2368322114,1041000,0.14,1.0
53,KMI,2011-04-29 00:00:00+00:00,28.58,29.29,28.35,29.04,1843400,19.0634072331,19.5369908277,18.9099928292,19.3702360409,1843400,0.0,1.0
54,KMI,2011-05-02 00:00:00+00:00,28.82,28.99,28.38,28.73,1036600,19.2234918284,19.3368850835,18.9300034036,19.1634601052,1036600,0.0,1.0
55,KMI,2011-05-03 00:00:00+00:00,28.19,28.89,28.05,28.84,1158700,18.8032697656,19.2701831688,18.7098870849,19.2368322114,1158700,0.0,1.0
56,KMI,2011-05-04 00:00:00+00:00,27.96,28.3597,27.31,28.2,2537800,18.6498553617,18.9164629149,18.2162929158,18.809939957,2537800,0.0,1.0
57,KMI,2011-05-05 00:00:00+00:00,27.98,28.26,27.41,28.02,1618300,18.6631957446,18.8499611059,18.2829948306,18.6898765105,1618300,0.0,1.0
58,KMI,2011-05-06 00:00:00+00:00,28.0,28.41,27.85,28.08,653600,18.6765361276,18.950013978,18.5764832554,18.7298976594,653600,0.0,1.0
59,KMI,2011-05-09 00:00:00+00:00,28.29,28.45,28.01,28.11,752100,18.8699716803,18.9766947439,18.683206319,18.7499082338,752100,0.0,1.0
60,KMI,2011-05-10 00:00:00+00:00,28.52,28.69,28.08,28.27,777800,19.0233860842,19.1367793393,18.7298976594,18.8566312974,777800,0.0,1.0
61,KMI,2011-05-11 00:00:00+00:00,28.31,28.63,28.01,28.53,1400100,18.8833120633,19.0967581904,18.683206319,19.0300562757,1400100,0.0,1.0
62,KMI,2011-05-12 00:00:00+00:00,28.45,28.45,27.82,28.2,1800000,18.9766947439,18.9766947439,18.556472681,18.809939957,1800000,0.0,1.0
63,KMI,2011-05-13 00:00:00+00:00,27.93,28.37,27.75,28.37,1344100,18.6298447872,18.9233332121,18.5097813407,18.9233332121,1344100,0.0,1.0
64,KMI,2011-05-16 00:00:00+00:00,27.54,28.48,27.4,28.06,1737600,18.3697073197,18.9967053183,18.2763246391,18.7165572764,1737600,0.0,1.0
65,KMI,2011-05-17 00:00:00+00:00,27.5,27.71,26.87,27.6,2404600,18.3430265539,18.4831005748,17.922804491,18.4097284686,2404600,0.0,1.0
66,KMI,2011-05-18 00:00:00+00:00,27.56,27.88,27.42,27.77,895200,18.3830477027,18.5964938299,18.2896650221,18.5231217237,895200,0.0,1.0
67,KMI,2011-05-19 00:00:00+00:00,28.29,28.34,27.53,27.68,1096500,18.8699716803,18.9033226377,18.3630371283,18.4630900004,1096500,0.0,1.0
68,KMI,2011-05-20 00:00:00+00:00,28.5,28.9,27.97,28.25,1535400,19.0100457013,19.2768533602,18.6565255531,18.8432909144,1535400,0.0,1.0
69,KMI,2011-05-23 00:00:00+00:00,28.33,28.57,28.19,28.41,2927600,18.8966524462,19.0567370416,18.8032697656,18.950013978,2927600,0.0,1.0
70,KMI,2011-05-24 00:00:00+00:00,29.06,29.06,28.47,28.53,2587700,19.3835764238,19.3835764238,18.9900351268,19.0300562757,2587700,0.0,1.0
71,KMI,2011-05-25 00:00:00+00:00,29.02,29.28,28.8,28.98,3304700,19.3568956579,19.5303206362,19.2101514455,19.330214892,3304700,0.0,1.0
72,KMI,2011-05-26 00:00:00+00:00,28.69,29.22,28.61,29.1,1507000,19.1367793393,19.4902994874,19.0834178075,19.4102571897,1507000,0.0,1.0
73,KMI,2011-05-27 00:00:00+00:00,29.18,29.18,28.5,28.9,1896600,19.4636187215,19.4636187215,19.0100457013,19.2768533602,1896600,0.0,1.0
74,KMI,2011-05-31 00:00:00+00:00,29.29,29.76,29.0,29.53,5489900,19.5369908277,19.850489827,19.343555275,19.6970754231,5489900,0.0,1.0
75,KMI,2011-06-01 00:00:00+00:00,29.0,29.47,28.85,29.4,1042800,19.343555275,19.6570542743,19.2435024029,19.6103629339,1042800,0.0,1.0
76,KMI,2011-06-02 00:00:00+00:00,29.38,29.38,28.44,29.15,978400,19.597022551,19.597022551,18.9700245524,19.4436081471,978400,0.0,1.0
77,KMI,2011-06-03 00:00:00+00:00,29.75,29.76,28.73,29.06,1566400,19.8438196355,19.850489827,19.1634601052,19.3835764238,1566400,0.0,1.0
78,KMI,2011-06-06 00:00:00+00:00,29.52,29.77,29.25,29.6,1402100,19.6904052316,19.8571600185,19.5103100618,19.7437667634,1402100,0.0,1.0
79,KMI,2011-06-07 00:00:00+00:00,29.79,29.97,29.42,29.58,1980000,19.8705004014,19.990563848,19.6237033169,19.7304263805,1980000,0.0,1.0
80,KMI,2011-06-08 00:00:00+00:00,29.73,29.86,29.46,29.58,766800,19.8304792526,19.9171917417,19.6503840828,19.7304263805,766800,0.0,1.0
81,KMI,2011-06-09 00:00:00+00:00,29.69,29.8899,29.64,29.72,1215900,19.8037984867,19.9371356143,19.7704475293,19.8238090611,1215900,0.0,1.0
82,KMI,2011-06-10 00:00:00+00:00,29.53,29.846,29.43,29.74,895800,19.6970754231,19.9078534737,19.6303735084,19.8371494441,895800,0.0,1.0
83,KMI,2011-06-13 00:00:00+00:00,29.45,29.93,29.2,29.62,901900,19.6437138913,19.9638830821,19.4769591045,19.7571071464,901900,0.0,1.0
84,KMI,2011-06-14 00:00:00+00:00,29.5,29.86,29.06,29.41,760200,19.6770648487,19.9171917417,19.3835764238,19.6170331254,760200,0.0,1.0
85,KMI,2011-06-15 00:00:00+00:00,29.36,29.65,28.89,29.42,1149000,19.583682168,19.7771177208,19.2701831688,19.6237033169,1149000,0.0,1.0
86,KMI,2011-06-16 00:00:00+00:00,29.21,29.44,29.0708,29.4,792100,19.4836292959,19.6370436998,19.3907802306,19.6103629339,792100,0.0,1.0
87,KMI,2011-06-17 00:00:00+00:00,29.7,29.74,29.15,29.36,2448200,19.8104686782,19.8371494441,19.4436081471,19.583682168,2448200,0.0,1.0
88,KMI,2011-06-20 00:00:00+00:00,29.61,29.6699,29.4,29.61,866700,19.7504369549,19.7903914018,19.6103629339,19.7504369549,866700,0.0,1.0
89,KMI,2011-06-21 00:00:00+00:00,29.62,29.7,29.34,29.7,631300,19.7571071464,19.8104686782,19.5703417851,19.8104686782,631300,0.0,1.0
90,KMI,2011-06-22 00:00:00+00:00,29.62,29.97,29.445,29.62,1587400,19.7571071464,19.990563848,19.6403787956,19.7571071464,1587400,0.0,1.0
91,KMI,2011-06-23 00:00:00+00:00,29.1,29.59,28.91,29.59,1963100,19.4102571897,19.7370965719,19.2835235517,19.7370965719,1963100,0.0,1.0
92,KMI,2011-06-24 00:00:00+00:00,28.6,29.3,28.5879,29.19,11554800,19.076747616,19.5436610192,19.0686766843,19.470288913,11554800,0.0,1.0
93,KMI,2011-06-27 00:00:00+00:00,28.26,28.79,28.22,28.68,1889000,18.8499611059,19.203481254,18.82328034,19.1301091478,1889000,0.0,1.0
94,KMI,2011-06-28 00:00:00+00:00,28.3,28.67,28.1,28.39,2235400,18.8766418718,19.1234389563,18.7432380423,18.936673595,2235400,0.0,1.0
95,KMI,2011-06-29 00:00:00+00:00,28.4,28.8,28.32,28.48,1592100,18.9433437865,19.2101514455,18.8899822547,18.9967053183,1592100,0.0,1.0
96,KMI,2011-06-30 00:00:00+00:00,28.73,28.78,28.31,28.43,809500,19.1634601052,19.1968110625,18.8833120633,18.9633543609,809500,0.0,1.0
97,KMI,2011-07-01 00:00:00+00:00,29.27,29.28,28.37,28.67,846600,19.5236504448,19.5303206362,18.9233332121,19.1234389563,846600,0.0,1.0
98,KMI,2011-07-05 00:00:00+00:00,29.26,29.39,29.04,29.22,505800,19.5169802533,19.6036927425,19.3702360409,19.4902994874,505800,0.0,1.0
99,KMI,2011-07-06 00:00:00+00:00,29.11,29.24,28.92,29.17,1239500,19.4169273812,19.5036398703,19.2901937432,19.45694853,1239500,0.0,1.0
100,KMI,2011-07-07 00:00:00+00:00,28.98,29.45,28.86,29.26,876300,19.330214892,19.6437138913,19.2501725943,19.5169802533,876300,0.0,1.0
101,KMI,2011-07-08 00:00:00+00:00,28.92,29.33,28.685,28.8,757500,19.2901937432,19.5636715936,19.1334442435,19.2101514455,757500,0.0,1.0
102,KMI,2011-07-11 00:00:00+00:00,28.36,28.74,28.16,28.7,725400,18.9166630206,19.1701302966,18.7832591911,19.1434495307,725400,0.0,1.0
103,KMI,2011-07-12 00:00:00+00:00,28.17,28.37,28.1,28.25,665900,18.7899293826,18.9233332121,18.7432380423,18.8432909144,665900,0.0,1.0
104,KMI,2011-07-13 00:00:00+00:00,28.19,28.48,28.06,28.34,556800,18.8032697656,18.9967053183,18.7165572764,18.9033226377,556800,0.0,1.0
105,KMI,2011-07-14 00:00:00+00:00,28.03,28.41,28.02,28.3,799600,18.696546702,18.950013978,18.6898765105,18.8766418718,799600,0.0,1.0
106,KMI,2011-07-15 00:00:00+00:00,28.59,28.63,28.0,28.24,785100,19.0700774245,19.0967581904,18.6765361276,18.8366207229,785100,0.0,1.0
107,KMI,2011-07-18 00:00:00+00:00,28.19,28.41,27.98,28.4,695200,18.8032697656,18.950013978,18.6631957446,18.9433437865,695200,0.0,1.0
108,KMI,2011-07-19 00:00:00+00:00,28.35,28.49,28.24,28.41,390100,18.9099928292,19.0033755098,18.8366207229,18.950013978,390100,0.0,1.0
109,KMI,2011-07-20 00:00:00+00:00,28.5,28.93,28.25,28.57,579000,19.0100457013,19.2968639347,18.8432909144,19.0567370416,579000,0.0,1.0
110,KMI,2011-07-21 00:00:00+00:00,28.51,28.87,28.22,28.68,1277300,19.0167158927,19.2568427858,18.82328034,19.1301091478,1277300,0.0,1.0
111,KMI,2011-07-22 00:00:00+00:00,28.36,28.63,28.24,28.55,1017700,18.9166630206,19.0967581904,18.8366207229,19.0433966586,1017700,0.0,1.0
112,KMI,2011-07-25 00:00:00+00:00,27.5,28.39,27.48,28.3,2753000,18.3430265539,18.936673595,18.3296861709,18.8766418718,2753000,0.0,1.0
113,KMI,2011-07-26 00:00:00+00:00,27.57,27.74,27.36,27.61,2921300,18.3897178942,18.5031111492,18.2496438732,18.4163986601,2921300,0.0,1.0
114,KMI,2011-07-27 00:00:00+00:00,28.18,28.4,27.1,27.27,3648100,18.7965995741,18.9433437865,18.0762188949,18.1896121499,3648100,0.0,1.0
115,KMI,2011-07-28 00:00:00+00:00,28.16,28.24,27.64,27.9,985200,18.9833649354,19.0372949494,18.6328198442,18.8080923898,985200,0.3,1.0
116,KMI,2011-07-29 00:00:00+00:00,28.23,28.3,27.8,27.96,999300,19.0305536976,19.0777424599,18.7406798723,18.8485399003,999300,0.0,1.0
117,KMI,2011-08-01 00:00:00+00:00,28.23,28.5,28.12,28.42,612300,19.0305536976,19.212567495,18.9563999284,19.1586374809,612300,0.0,1.0
118,KMI,2011-08-02 00:00:00+00:00,27.85,28.17,27.64,28.06,893400,18.774386131,18.9901061871,18.6328198442,18.9159524178,893400,0.0,1.0
119,KMI,2011-08-03 00:00:00+00:00,27.72,27.87,27.25,27.82,1392600,18.6867498583,18.7878686345,18.3699110259,18.7541623758,1392600,0.0,1.0
120,KMI,2011-08-04 00:00:00+00:00,26.47,27.6,26.33,27.6,1813800,17.8440933892,18.6058548372,17.7497158646,18.6058548372,1813800,0.0,1.0
121,KMI,2011-08-05 00:00:00+00:00,25.92,26.79,24.96,26.47,3006600,17.4733245428,18.0598134453,16.8261643745,17.8440933892,3006600,0.0,1.0
122,KMI,2011-08-08 00:00:00+00:00,23.66,25.59,23.66,25.21,2018900,15.9498016467,17.2508632349,15.9498016467,16.9946956683,2018900,0.0,1.0
123,KMI,2011-08-09 00:00:00+00:00,25.92,25.96,24.0,24.05,1689300,17.4733245428,17.5002895498,16.1790042063,16.212710465,1689300,0.0,1.0
124,KMI,2011-08-10 00:00:00+00:00,26.05,27.08,25.24,25.58,1909300,17.5609608156,18.2553097461,17.0149194236,17.2441219832,1909300,0.0,1.0
125,KMI,2011-08-11 00:00:00+00:00,27.45,27.81,26.18,26.2,1372400,18.5047360609,18.747421124,17.6485970883,17.6620795919,1372400,0.0,1.0
126,KMI,2011-08-12 00:00:00+00:00,26.77,27.99,26.53,27.83,1136200,18.0463309418,18.8687636556,17.8845408997,18.7609036275,1136200,0.0,1.0
127,KMI,2011-08-15 00:00:00+00:00,27.08,27.3,26.86,27.19,676900,18.2553097461,18.4036172846,18.1070022075,18.3294635154,676900,0.0,1.0
128,KMI,2011-08-16 00:00:00+00:00,26.5,26.9,26.38,26.89,646000,17.8643171444,18.1339672145,17.7834221234,18.1272259628,646000,0.0,1.0
129,KMI,2011-08-17 00:00:00+00:00,26.28,26.66,26.22,26.66,672000,17.7160096059,17.9721771725,17.6755620954,17.9721771725,672000,0.0,1.0
130,KMI,2011-08-18 00:00:00+00:00,24.82,25.99,24.63,25.99,3587900,16.73178685,17.520513305,16.6037030667,17.520513305,3587900,0.0,1.0
131,KMI,2011-08-19 00:00:00+00:00,23.82,25.07,23.78,24.66,1913900,16.0576616747,16.9003181438,16.0306966677,16.623926822,1913900,0.0,1.0
132,KMI,2011-08-22 00:00:00+00:00,23.76,25.305,23.59,24.35,1543600,16.0172141642,17.05873756,15.9026128844,16.4149480176,1543600,0.0,1.0
133,KMI,2011-08-23 00:00:00+00:00,24.54,24.54,23.51,23.93,1153000,16.5430318009,16.5430318009,15.8486828704,16.131815444,1153000,0.0,1.0
134,KMI,2011-08-24 00:00:00+00:00,24.45,24.72,24.07,24.42,686600,16.4823605351,16.6643743325,16.2261929685,16.4621367799,686600,0.0,1.0
