,Name,Date,Close,High,Low,Open,Volume,Adj Close,Adjhigh,Adjlow,Adjopen,Adjvolume,Divcash,Splitfactor
0,KMX,2010-11-04 00:00:00+00:00,32.01,32.085,31.69,31.9,2135500,32.01,32.085,31.69,31.9,2135500,0.0,1.0
1,KMX,2010-11-05 00:00:00+00:00,32.35,32.94,32.11,32.12,2082000,32.35,32.94,32.11,32.12,2082000,0.0,1.0
2,KMX,2010-11-08 00:00:00+00:00,32.88,32.93,32.16,32.21,1566100,32.88,32.93,32.16,32.21,1566100,0.0,1.0
3,KMX,2010-11-09 00:00:00+00:00,32.37,33.1599,32.12,32.91,1520200,32.37,33.1599,32.12,32.91,1520200,0.0,1.0
4,KMX,2010-11-10 00:00:00+00:00,33.65,34.37,32.38,32.45,3715500,33.65,34.37,32.38,32.45,3715500,0.0,1.0
5,KMX,2010-11-11 00:00:00+00:00,33.74,33.91,33.1,33.47,1505500,33.74,33.91,33.1,33.47,1505500,0.0,1.0
6,KMX,2010-11-12 00:00:00+00:00,33.0,33.81,32.82,33.49,1520600,33.0,33.81,32.82,33.49,1520600,0.0,1.0
7,KMX,2010-11-15 00:00:00+00:00,32.86,33.49,32.83,33.1,1072300,32.86,33.49,32.83,33.1,1072300,0.0,1.0
8,KMX,2010-11-16 00:00:00+00:00,32.05,32.88,31.8,32.59,2214000,32.05,32.88,31.8,32.59,2214000,0.0,1.0
9,KMX,2010-11-17 00:00:00+00:00,32.24,32.41,31.94,32.06,2175400,32.24,32.41,31.94,32.06,2175400,0.0,1.0
10,KMX,2010-11-18 00:00:00+00:00,32.51,33.0,32.43,32.55,1604700,32.51,33.0,32.43,32.55,1604700,0.0,1.0
11,KMX,2010-11-19 00:00:00+00:00,32.56,32.62,32.0,32.47,1345800,32.56,32.62,32.0,32.47,1345800,0.0,1.0
12,KMX,2010-11-22 00:00:00+00:00,33.19,33.23,32.36,32.4,2075800,33.19,33.23,32.36,32.4,2075800,0.0,1.0
13,KMX,2010-11-23 00:00:00+00:00,32.81,33.22,32.4658,32.82,1261700,32.81,33.22,32.4658,32.82,1261700,0.0,1.0
14,KMX,2010-11-24 00:00:00+00:00,33.37,33.45,32.98,33.07,1595700,33.37,33.45,32.98,33.07,1595700,0.0,1.0
15,KMX,2010-11-26 00:00:00+00:00,33.06,33.25,32.9,33.13,510400,33.06,33.25,32.9,33.13,510400,0.0,1.0
16,KMX,2010-11-29 00:00:00+00:00,32.81,32.91,32.35,32.84,1784500,32.81,32.91,32.35,32.84,1784500,0.0,1.0
17,KMX,2010-11-30 00:00:00+00:00,32.9,33.1,32.27,32.5,1381100,32.9,33.1,32.27,32.5,1381100,0.0,1.0
18,KMX,2010-12-01 00:00:00+00:00,33.55,33.69,33.18,33.38,1855100,33.55,33.69,33.18,33.38,1855100,0.0,1.0
19,KMX,2010-12-02 00:00:00+00:00,33.64,33.82,33.3,33.52,2153600,33.64,33.82,33.3,33.52,2153600,0.0,1.0
20,KMX,2010-12-03 00:00:00+00:00,34.55,34.65,33.285,33.42,2463400,34.55,34.65,33.285,33.42,2463400,0.0,1.0
21,KMX,2010-12-06 00:00:00+00:00,34.45,34.5497,34.19,34.5,1499400,34.45,34.5497,34.19,34.5,1499400,0.0,1.0
22,KMX,2010-12-07 00:00:00+00:00,34.53,35.22,34.45,34.9,1785100,34.53,35.22,34.45,34.9,1785100,0.0,1.0
23,KMX,2010-12-08 00:00:00+00:00,34.53,34.99,34.37,34.67,1141300,34.53,34.99,34.37,34.67,1141300,0.0,1.0
24,KMX,2010-12-09 00:00:00+00:00,34.59,34.74,33.61,34.09,1714300,34.59,34.74,33.61,34.09,1714300,0.0,1.0
25,KMX,2010-12-10 00:00:00+00:00,34.52,34.66,34.04,34.61,1567900,34.52,34.66,34.04,34.61,1567900,0.0,1.0
26,KMX,2010-12-13 00:00:00+00:00,34.62,34.95,34.27,34.61,2663600,34.62,34.95,34.27,34.61,2663600,0.0,1.0
27,KMX,2010-12-14 00:00:00+00:00,34.5,34.79,34.34,34.6,1596400,34.5,34.79,34.34,34.6,1596400,0.0,1.0
28,KMX,2010-12-15 00:00:00+00:00,34.74,34.97,34.33,34.5,1410300,34.74,34.97,34.33,34.5,1410300,0.0,1.0
29,KMX,2010-12-16 00:00:00+00:00,35.03,35.05,34.58,34.76,1928200,35.03,35.05,34.58,34.76,1928200,0.0,1.0
30,KMX,2010-12-17 00:00:00+00:00,35.51,35.52,34.66,34.72,4121000,35.51,35.52,34.66,34.72,4121000,0.0,1.0
31,KMX,2010-12-20 00:00:00+00:00,35.9,36.0,35.17,35.77,2922700,35.9,36.0,35.17,35.77,2922700,0.0,1.0
32,KMX,2010-12-21 00:00:00+00:00,33.17,34.5,32.2,34.46,11181300,33.17,34.5,32.2,34.46,11181300,0.0,1.0
33,KMX,2010-12-22 00:00:00+00:00,32.3,33.18,32.03,33.13,3897500,32.3,33.18,32.03,33.13,3897500,0.0,1.0
34,KMX,2010-12-23 00:00:00+00:00,32.59,32.77,32.34,32.34,2267800,32.59,32.77,32.34,32.34,2267800,0.0,1.0
35,KMX,2010-12-27 00:00:00+00:00,32.17,32.45,31.84,32.39,1564100,32.17,32.45,31.84,32.39,1564100,0.0,1.0
36,KMX,2010-12-28 00:00:00+00:00,31.84,32.29,31.67,32.17,1396900,31.84,32.29,31.67,32.17,1396900,0.0,1.0
37,KMX,2010-12-29 00:00:00+00:00,32.36,32.55,31.87,31.93,1406600,32.36,32.55,31.87,31.93,1406600,0.0,1.0
