,Name,Date,Close,High,Low,Open,Volume,Adj Close,Adjhigh,Adjlow,Adjopen,Adjvolume,Divcash,Splitfactor
0,KORS,2011-12-15 00:00:00+00:00,24.2,25.23,23.51,25.0,42259200,24.2,25.23,23.51,25.0,42259200,0.0,1.0
1,KORS,2011-12-16 00:00:00+00:00,24.1,24.8,23.51,24.45,3998900,24.1,24.8,23.51,24.45,3998900,0.0,1.0
2,KORS,2011-12-19 00:00:00+00:00,24.88,25.09,24.31,24.5,3245500,24.88,25.09,24.31,24.5,3245500,0.0,1.0
3,KORS,2011-12-20 00:00:00+00:00,25.45,25.76,25.02,25.02,1710200,25.45,25.76,25.02,25.02,1710200,0.0,1.0
4,KORS,2011-12-21 00:00:00+00:00,26.55,26.78,25.46,25.64,2501500,26.55,26.78,25.46,25.64,2501500,0.0,1.0
5,KORS,2011-12-22 00:00:00+00:00,27.27,27.485,26.45,26.45,1145400,27.27,27.485,26.45,26.45,1145400,0.0,1.0
6,KORS,2011-12-23 00:00:00+00:00,27.0,27.52,26.84,27.52,979800,27.0,27.52,26.84,27.52,979800,0.0,1.0
7,KORS,2011-12-27 00:00:00+00:00,27.2,27.33,26.88,27.15,535100,27.2,27.33,26.88,27.15,535100,0.0,1.0
8,KORS,2011-12-28 00:00:00+00:00,27.41,27.58,27.09,27.58,595200,27.41,27.58,27.09,27.58,595200,0.0,1.0
9,KORS,2011-12-29 00:00:00+00:00,27.22,27.5,27.22,27.5,260400,27.22,27.5,27.22,27.5,260400,0.0,1.0
10,KORS,2011-12-30 00:00:00+00:00,27.25,27.35,27.11,27.31,302400,27.25,27.35,27.11,27.31,302400,0.0,1.0
11,KORS,2012-01-03 00:00:00+00:00,27.15,27.53,27.0,27.25,726500,27.15,27.53,27.0,27.25,726500,0.0,1.0
12,KORS,2012-01-04 00:00:00+00:00,26.4,27.26,26.36,27.19,726900,26.4,27.26,26.36,27.19,726900,0.0,1.0
13,KORS,2012-01-05 00:00:00+00:00,26.45,27.06,25.5,26.07,785100,26.45,27.06,25.5,26.07,785100,0.0,1.0
14,KORS,2012-01-06 00:00:00+00:00,26.0,26.72,25.95,26.45,1680800,26.0,26.72,25.95,26.45,1680800,0.0,1.0
15,KORS,2012-01-09 00:00:00+00:00,26.2,26.27,25.87,25.87,635100,26.2,26.27,25.87,25.87,635100,0.0,1.0
16,KORS,2012-01-10 00:00:00+00:00,26.42,26.63,26.235,26.47,926800,26.42,26.63,26.235,26.47,926800,0.0,1.0
17,KORS,2012-01-11 00:00:00+00:00,26.14,26.605,26.13,26.29,759700,26.14,26.605,26.13,26.29,759700,0.0,1.0
18,KORS,2012-01-12 00:00:00+00:00,26.1,26.47,25.75,26.47,599700,26.1,26.47,25.75,26.47,599700,0.0,1.0
19,KORS,2012-01-13 00:00:00+00:00,26.56,26.56,25.93,25.93,613300,26.56,26.56,25.93,25.93,613300,0.0,1.0
20,KORS,2012-01-17 00:00:00+00:00,28.05,28.55,26.75,26.78,2405400,28.05,28.55,26.75,26.78,2405400,0.0,1.0
21,KORS,2012-01-18 00:00:00+00:00,28.4,28.85,27.95,28.11,899900,28.4,28.85,27.95,28.11,899900,0.0,1.0
22,KORS,2012-01-19 00:00:00+00:00,28.68,28.8,28.5,28.69,699100,28.68,28.8,28.5,28.69,699100,0.0,1.0
23,KORS,2012-01-20 00:00:00+00:00,29.35,29.61,28.72,28.75,1809700,29.35,29.61,28.72,28.75,1809700,0.0,1.0
24,KORS,2012-01-23 00:00:00+00:00,29.76,29.88,28.75,29.71,831700,29.76,29.88,28.75,29.71,831700,0.0,1.0
25,KORS,2012-01-24 00:00:00+00:00,29.5,30.25,29.21,30.22,1218500,29.5,30.25,29.21,30.22,1218500,0.0,1.0
26,KORS,2012-01-25 00:00:00+00:00,30.5,30.5,29.65,29.76,919900,30.5,30.5,29.65,29.76,919900,0.0,1.0
27,KORS,2012-01-26 00:00:00+00:00,29.78,30.65,29.28,30.58,688600,29.78,30.65,29.28,30.58,688600,0.0,1.0
28,KORS,2012-01-27 00:00:00+00:00,29.85,30.13,29.4,29.74,890100,29.85,30.13,29.4,29.74,890100,0.0,1.0
29,KORS,2012-01-30 00:00:00+00:00,29.84,29.95,29.32,29.86,307200,29.84,29.95,29.32,29.86,307200,0.0,1.0
30,KORS,2012-01-31 00:00:00+00:00,30.95,31.37,29.45,29.95,1919900,30.95,31.37,29.45,29.95,1919900,0.0,1.0
31,KORS,2012-02-01 00:00:00+00:00,31.3,31.74,30.76,31.0,745100,31.3,31.74,30.76,31.0,745100,0.0,1.0
32,KORS,2012-02-02 00:00:00+00:00,31.67,32.0,31.38,31.57,1047200,31.67,32.0,31.38,31.57,1047200,0.0,1.0
33,KORS,2012-02-03 00:00:00+00:00,32.51,32.82,31.81,31.81,936900,32.51,32.82,31.81,31.81,936900,0.0,1.0
34,KORS,2012-02-06 00:00:00+00:00,33.13,33.81,32.391,32.64,1030700,33.13,33.81,32.391,32.64,1030700,0.0,1.0
35,KORS,2012-02-07 00:00:00+00:00,32.66,33.7792,32.65,33.31,1001800,32.66,33.7792,32.65,33.31,1001800,0.0,1.0
36,KORS,2012-02-08 00:00:00+00:00,33.21,33.33,31.75,32.98,1187500,33.21,33.33,31.75,32.98,1187500,0.0,1.0
37,KORS,2012-02-09 00:00:00+00:00,33.97,34.24,33.13,33.71,1025400,33.97,34.24,33.13,33.71,1025400,0.0,1.0
38,KORS,2012-02-10 00:00:00+00:00,33.47,33.82,33.385,33.51,896100,33.47,33.82,33.385,33.51,896100,0.0,1.0
39,KORS,2012-02-13 00:00:00+00:00,33.61,34.87,33.02,34.2,2767800,33.61,34.87,33.02,34.2,2767800,0.0,1.0
40,KORS,2012-02-14 00:00:00+00:00,42.85,43.0,39.25,39.49,11284200,42.85,43.0,39.25,39.49,11284200,0.0,1.0
41,KORS,2012-02-15 00:00:00+00:00,42.85,44.97,41.88,43.47,5557000,42.85,44.97,41.88,43.47,5557000,0.0,1.0
42,KORS,2012-02-16 00:00:00+00:00,42.25,43.81,41.51,42.75,1622400,42.25,43.81,41.51,42.75,1622400,0.0,1.0
43,KORS,2012-02-17 00:00:00+00:00,41.82,42.7,41.75,42.35,752000,41.82,42.7,41.75,42.35,752000,0.0,1.0
44,KORS,2012-02-21 00:00:00+00:00,41.1,42.11,40.17,42.07,1417300,41.1,42.11,40.17,42.07,1417300,0.0,1.0
45,KORS,2012-02-22 00:00:00+00:00,41.05,42.05,39.62,40.66,1773300,41.05,42.05,39.62,40.66,1773300,0.0,1.0
46,KORS,2012-02-23 00:00:00+00:00,40.76,42.8,40.67,40.76,1174600,40.76,42.8,40.67,40.76,1174600,0.0,1.0
47,KORS,2012-02-24 00:00:00+00:00,41.51,42.2,40.61,41.07,683200,41.51,42.2,40.61,41.07,683200,0.0,1.0
48,KORS,2012-02-27 00:00:00+00:00,43.66,44.02,41.57,41.82,1631400,43.66,44.02,41.57,41.82,1631400,0.0,1.0
49,KORS,2012-02-28 00:00:00+00:00,42.69,43.9,42.2619,43.9,1029500,42.69,43.9,42.2619,43.9,1029500,0.0,1.0
50,KORS,2012-02-29 00:00:00+00:00,43.25,44.15,42.24,42.72,1183000,43.25,44.15,42.24,42.72,1183000,0.0,1.0
51,KORS,2012-03-01 00:00:00+00:00,45.73,46.5,43.6,43.69,2651200,45.73,46.5,43.6,43.69,2651200,0.0,1.0
52,KORS,2012-03-02 00:00:00+00:00,47.95,48.83,45.3401,46.4,2688000,47.95,48.83,45.3401,46.4,2688000,0.0,1.0
53,KORS,2012-03-05 00:00:00+00:00,48.63,49.75,46.34,48.31,3750400,48.63,49.75,46.34,48.31,3750400,0.0,1.0
54,KORS,2012-03-06 00:00:00+00:00,46.81,47.8,46.36,47.1,2034300,46.81,47.8,46.36,47.1,2034300,0.0,1.0
55,KORS,2012-03-07 00:00:00+00:00,46.1,47.5,45.44,47.26,1725500,46.1,47.5,45.44,47.26,1725500,0.0,1.0
56,KORS,2012-03-08 00:00:00+00:00,47.08,47.64,46.29,46.87,1137000,47.08,47.64,46.29,46.87,1137000,0.0,1.0
57,KORS,2012-03-09 00:00:00+00:00,49.59,50.69,47.49,47.7,3940400,49.59,50.69,47.49,47.7,3940400,0.0,1.0
58,KORS,2012-03-12 00:00:00+00:00,48.57,48.6,46.3,46.94,3081100,48.57,48.6,46.3,46.94,3081100,0.0,1.0
59,KORS,2012-03-13 00:00:00+00:00,48.75,49.93,48.13,48.52,2468100,48.75,49.93,48.13,48.52,2468100,0.0,1.0
60,KORS,2012-03-14 00:00:00+00:00,47.57,48.9,47.17,48.9,1576600,47.57,48.9,47.17,48.9,1576600,0.0,1.0
61,KORS,2012-03-15 00:00:00+00:00,47.65,48.17,46.7,48.03,1219700,47.65,48.17,46.7,48.03,1219700,0.0,1.0
62,KORS,2012-03-16 00:00:00+00:00,46.28,47.97,45.7225,47.72,1299600,46.28,47.97,45.7225,47.72,1299600,0.0,1.0
63,KORS,2012-03-19 00:00:00+00:00,45.32,47.41,44.59,46.51,2699400,45.32,47.41,44.59,46.51,2699400,0.0,1.0
64,KORS,2012-03-20 00:00:00+00:00,48.09,48.33,44.31,47.02,5487100,48.09,48.33,44.31,47.02,5487100,0.0,1.0
65,KORS,2012-03-21 00:00:00+00:00,48.63,49.25,47.97,48.87,2443300,48.63,49.25,47.97,48.87,2443300,0.0,1.0
66,KORS,2012-03-22 00:00:00+00:00,48.72,50.48,47.97,48.2,3695200,48.72,50.48,47.97,48.2,3695200,0.0,1.0
67,KORS,2012-03-23 00:00:00+00:00,47.0,47.83,46.62,46.78,18077000,47.0,47.83,46.62,46.78,18077000,0.0,1.0
68,KORS,2012-03-26 00:00:00+00:00,47.08,47.75,46.94,47.625,3688100,47.08,47.75,46.94,47.625,3688100,0.0,1.0
69,KORS,2012-03-27 00:00:00+00:00,46.53,47.35,46.35,47.27,2376700,46.53,47.35,46.35,47.27,2376700,0.0,1.0
70,KORS,2012-03-28 00:00:00+00:00,45.02,46.42,44.95,46.07,3189100,45.02,46.42,44.95,46.07,3189100,0.0,1.0
71,KORS,2012-03-29 00:00:00+00:00,45.69,45.98,44.46,44.5,2601900,45.69,45.98,44.46,44.5,2601900,0.0,1.0
72,KORS,2012-03-30 00:00:00+00:00,46.59,46.75,45.0,46.24,4633700,46.59,46.75,45.0,46.24,4633700,0.0,1.0
73,KORS,2012-04-02 00:00:00+00:00,46.15,47.0,45.92,46.8,1475400,46.15,47.0,45.92,46.8,1475400,0.0,1.0
74,KORS,2012-04-03 00:00:00+00:00,47.01,47.49,46.22,46.22,1619500,47.01,47.49,46.22,46.22,1619500,0.0,1.0
75,KORS,2012-04-04 00:00:00+00:00,47.45,47.94,46.3,46.45,1964300,47.45,47.94,46.3,46.45,1964300,0.0,1.0
76,KORS,2012-04-05 00:00:00+00:00,47.53,48.0,46.96,47.27,3722600,47.53,48.0,46.96,47.27,3722600,0.0,1.0
77,KORS,2012-04-09 00:00:00+00:00,46.8,47.27,46.4,46.59,1495600,46.8,47.27,46.4,46.59,1495600,0.0,1.0
78,KORS,2012-04-10 00:00:00+00:00,43.17,46.705,42.3,46.51,5875100,43.17,46.705,42.3,46.51,5875100,0.0,1.0
79,KORS,2012-04-11 00:00:00+00:00,42.9,44.2,41.39,43.74,4165800,42.9,44.2,41.39,43.74,4165800,0.0,1.0
80,KORS,2012-04-12 00:00:00+00:00,43.98,44.07,42.79,42.9,1526900,43.98,44.07,42.79,42.9,1526900,0.0,1.0
81,KORS,2012-04-13 00:00:00+00:00,43.62,44.74,43.03,44.0,1304100,43.62,44.74,43.03,44.0,1304100,0.0,1.0
82,KORS,2012-04-16 00:00:00+00:00,42.1,44.6,41.08,44.32,3018800,42.1,44.6,41.08,44.32,3018800,0.0,1.0
83,KORS,2012-04-17 00:00:00+00:00,42.88,43.2,41.91,42.3,1175100,42.88,43.2,41.91,42.3,1175100,0.0,1.0
84,KORS,2012-04-18 00:00:00+00:00,42.98,43.29,42.25,42.6,1003800,42.98,43.29,42.25,42.6,1003800,0.0,1.0
85,KORS,2012-04-19 00:00:00+00:00,41.9,44.65,41.61,43.38,2162600,41.9,44.65,41.61,43.38,2162600,0.0,1.0
86,KORS,2012-04-20 00:00:00+00:00,41.28,42.25,41.2,41.9,1356300,41.28,42.25,41.2,41.9,1356300,0.0,1.0
87,KORS,2012-04-23 00:00:00+00:00,43.39,43.66,39.73,40.82,3497900,43.39,43.66,39.73,40.82,3497900,0.0,1.0
88,KORS,2012-04-24 00:00:00+00:00,41.32,44.39,40.95,43.55,2826200,41.32,44.39,40.95,43.55,2826200,0.0,1.0
89,KORS,2012-04-25 00:00:00+00:00,42.56,42.69,41.01,42.38,1291600,42.56,42.69,41.01,42.38,1291600,0.0,1.0
90,KORS,2012-04-26 00:00:00+00:00,44.36,44.78,42.6001,42.62,1979600,44.36,44.78,42.6001,42.62,1979600,0.0,1.0
91,KORS,2012-04-27 00:00:00+00:00,45.9,46.5,43.2,44.36,2344000,45.9,46.5,43.2,44.36,2344000,0.0,1.0
92,KORS,2012-04-30 00:00:00+00:00,45.67,46.39,44.82,45.92,2035600,45.67,46.39,44.82,45.92,2035600,0.0,1.0
93,KORS,2012-05-01 00:00:00+00:00,48.11,48.6,45.4,45.69,4134900,48.11,48.6,45.4,45.69,4134900,0.0,1.0
94,KORS,2012-05-02 00:00:00+00:00,48.62,49.5,47.51,48.19,2057600,48.62,49.5,47.51,48.19,2057600,0.0,1.0
95,KORS,2012-05-03 00:00:00+00:00,45.96,48.91,45.6401,48.91,2367100,45.96,48.91,45.6401,48.91,2367100,0.0,1.0
96,KORS,2012-05-04 00:00:00+00:00,43.8,46.31,43.42,45.97,2191100,43.8,46.31,43.42,45.97,2191100,0.0,1.0
97,KORS,2012-05-07 00:00:00+00:00,44.1,45.46,43.25,43.57,2100000,44.1,45.46,43.25,43.57,2100000,0.0,1.0
98,KORS,2012-05-08 00:00:00+00:00,41.75,42.9,39.5,41.96,5772300,41.75,42.9,39.5,41.96,5772300,0.0,1.0
99,KORS,2012-05-09 00:00:00+00:00,41.5,42.59,40.6,40.75,2164100,41.5,42.59,40.6,40.75,2164100,0.0,1.0
100,KORS,2012-05-10 00:00:00+00:00,40.18,42.14,38.85,41.97,4624300,40.18,42.14,38.85,41.97,4624300,0.0,1.0
101,KORS,2012-05-11 00:00:00+00:00,40.62,41.39,39.64,39.81,1929800,40.62,41.39,39.64,39.81,1929800,0.0,1.0
102,KORS,2012-05-14 00:00:00+00:00,40.2,40.62,39.53,40.0,2388100,40.2,40.62,39.53,40.0,2388100,0.0,1.0
103,KORS,2012-05-15 00:00:00+00:00,40.75,41.59,40.12,40.36,2581200,40.75,41.59,40.12,40.36,2581200,0.0,1.0
104,KORS,2012-05-16 00:00:00+00:00,40.14,40.83,39.1,40.71,4753300,40.14,40.83,39.1,40.71,4753300,0.0,1.0
