,Name,Date,Close,High,Low,Open,Volume,Adj Close,Adjhigh,Adjlow,Adjopen,Adjvolume,Divcash,Splitfactor
0,K,2010-11-04 00:00:00+00:00,49.31,49.74,49.16,49.6,4757700,35.947752067,36.2612287125,35.8383997489,36.1591665489,4757700,0.0,1.0
1,K,2010-11-05 00:00:00+00:00,49.32,49.48,49.05,49.4,4955500,35.9550422216,36.0716846943,35.7582080488,36.013363458,4955500,0.0,1.0
2,K,2010-11-08 00:00:00+00:00,49.32,49.38,49.05,49.15,2233400,35.9550422216,35.9987831489,35.7582080488,35.8311095943,2233400,0.0,1.0
3,K,2010-11-09 00:00:00+00:00,48.94,49.36,48.78,49.32,3212800,35.6780163488,35.9842028398,35.5613738761,35.9550422216,3212800,0.0,1.0
4,K,2010-11-10 00:00:00+00:00,48.88,48.88,48.51,48.75,2730000,35.6342754216,35.6342754216,35.3645397034,35.5395034125,2730000,0.0,1.0
5,K,2010-11-11 00:00:00+00:00,49.25,49.25,48.58,48.71,2136600,35.9040111398,35.9040111398,35.4155707852,35.5103427943,2136600,0.0,1.0
6,K,2010-11-12 00:00:00+00:00,48.95,49.21,48.76,49.2,1869100,35.6853065034,35.8748505216,35.546793567,35.867560367,1869100,0.0,1.0
7,K,2010-11-15 00:00:00+00:00,48.8,49.25,48.74,49.13,1113500,35.5759541852,35.9040111398,35.5322132579,35.8165292852,1113500,0.0,1.0
8,K,2010-11-16 00:00:00+00:00,48.94,48.975,48.53,48.64,3481300,35.6780163488,35.7035318897,35.3791200124,35.4593117125,3481300,0.0,1.0
9,K,2010-11-17 00:00:00+00:00,48.88,49.125,48.82,48.94,2275800,35.6342754216,35.8128842079,35.5905344943,35.6780163488,2275800,0.0,1.0
10,K,2010-11-18 00:00:00+00:00,49.38,49.42,49.02,49.16,6365200,35.9987831489,36.0279437671,35.7363375852,35.8383997489,6365200,0.0,1.0
11,K,2010-11-19 00:00:00+00:00,48.98,49.38,48.87,49.38,7264200,35.707176967,35.9987831489,35.626985267,35.9987831489,7264200,0.0,1.0
12,K,2010-11-22 00:00:00+00:00,49.13,49.19,48.6501,48.94,5757600,35.8165292852,35.8602702125,35.4666747685,35.6780163488,5757600,0.0,1.0
13,K,2010-11-23 00:00:00+00:00,49.3,49.32,48.69,49.015,3214600,35.9404619125,35.9550422216,35.4957624852,35.7326925079,3214600,0.0,1.0
14,K,2010-11-24 00:00:00+00:00,49.19,49.48,49.03,49.19,1875900,35.8602702125,36.0716846943,35.7436277398,35.8602702125,1875900,0.0,1.0
15,K,2010-11-26 00:00:00+00:00,49.48,49.57,48.97,49.11,1183900,36.0716846943,36.1372960852,35.6998868125,35.8019489761,1183900,0.0,1.0
16,K,2010-11-29 00:00:00+00:00,49.19,49.295,48.74,48.94,3133700,36.1555214716,36.2326983318,35.8247634992,35.9717670425,3133700,0.405,1.0
17,K,2010-11-30 00:00:00+00:00,49.23,49.48,48.87,48.99,3053200,36.1849221803,36.3686766094,35.9203158023,36.0085179283,3053200,0.0,1.0
18,K,2010-12-01 00:00:00+00:00,49.44,49.58,49.04,49.52,3138800,36.3392759007,36.442178381,36.0452688141,36.398077318,3138800,0.0,1.0
19,K,2010-12-02 00:00:00+00:00,49.53,49.55,49.22,49.34,3059000,36.4054274952,36.4201278495,36.1775720031,36.2657741291,3059000,0.0,1.0
20,K,2010-12-03 00:00:00+00:00,49.5,49.55,49.06,49.37,2162900,36.3833769637,36.4201278495,36.0599691685,36.2878246606,2162900,0.0,1.0
21,K,2010-12-06 00:00:00+00:00,49.3,49.59,49.24,49.49,3078600,36.2363734204,36.4495285582,36.1922723574,36.3760267865,3078600,0.0,1.0
22,K,2010-12-07 00:00:00+00:00,48.91,49.51,48.85,49.51,3571200,35.949716511,36.3907271409,35.905615448,36.3907271409,3571200,0.0,1.0
23,K,2010-12-08 00:00:00+00:00,49.64,49.73,48.87,48.98,3452100,36.486279444,36.5524310385,35.9203158023,36.0011677512,3452100,0.0,1.0
