,Name,Date,Close,High,Low,Open,Volume,Adj Close,Adjhigh,Adjlow,Adjopen,Adjvolume,Divcash,Splitfactor
0,LH,2010-11-04 00:00:00+00:00,82.81,82.98,81.77,82.41,917900,82.81,82.98,81.77,82.41,917900,0.0,1.0
1,LH,2010-11-05 00:00:00+00:00,82.99,83.38,82.56,82.67,951900,82.99,83.38,82.56,82.67,951900,0.0,1.0
2,LH,2010-11-08 00:00:00+00:00,83.0,83.5,82.64,82.67,1193300,83.0,83.5,82.64,82.67,1193300,0.0,1.0
3,LH,2010-11-09 00:00:00+00:00,82.89,84.0,82.25,82.85,900100,82.89,84.0,82.25,82.85,900100,0.0,1.0
4,LH,2010-11-10 00:00:00+00:00,82.93,82.95,81.96,82.82,613000,82.93,82.95,81.96,82.82,613000,0.0,1.0
5,LH,2010-11-11 00:00:00+00:00,83.49,83.88,82.44,82.46,571000,83.49,83.88,82.44,82.46,571000,0.0,1.0
6,LH,2010-11-12 00:00:00+00:00,82.17,83.15,81.9,83.15,483400,82.17,83.15,81.9,83.15,483400,0.0,1.0
7,LH,2010-11-15 00:00:00+00:00,82.75,83.1,82.21,82.23,556500,82.75,83.1,82.21,82.23,556500,0.0,1.0
8,LH,2010-11-16 00:00:00+00:00,80.85,82.37,80.76,82.05,734700,80.85,82.37,80.76,82.05,734700,0.0,1.0
9,LH,2010-11-17 00:00:00+00:00,81.36,81.89,80.89,80.9,640700,81.36,81.89,80.89,80.9,640700,0.0,1.0
10,LH,2010-11-18 00:00:00+00:00,82.05,82.9,81.66,81.93,576900,82.05,82.9,81.66,81.93,576900,0.0,1.0
11,LH,2010-11-19 00:00:00+00:00,83.01,83.31,82.1,82.14,817400,83.01,83.31,82.1,82.14,817400,0.0,1.0
12,LH,2010-11-22 00:00:00+00:00,82.11,82.78,81.5,82.7,817800,82.11,82.78,81.5,82.7,817800,0.0,1.0
13,LH,2010-11-23 00:00:00+00:00,81.14,81.66,80.95,81.25,704200,81.14,81.66,80.95,81.25,704200,0.0,1.0
14,LH,2010-11-24 00:00:00+00:00,81.34,81.95,81.12,81.22,714500,81.34,81.95,81.12,81.22,714500,0.0,1.0
15,LH,2010-11-26 00:00:00+00:00,80.87,81.35,80.8,81.0,492400,80.87,81.35,80.8,81.0,492400,0.0,1.0
16,LH,2010-11-29 00:00:00+00:00,81.17,81.53,80.17,80.45,652800,81.17,81.53,80.17,80.45,652800,0.0,1.0
17,LH,2010-11-30 00:00:00+00:00,82.03,82.99,80.08,80.61,1484700,82.03,82.99,80.08,80.61,1484700,0.0,1.0
18,LH,2010-12-01 00:00:00+00:00,85.48,85.91,83.56,83.73,3021400,85.48,85.91,83.56,83.73,3021400,0.0,1.0
19,LH,2010-12-02 00:00:00+00:00,83.91,85.44,83.56,84.91,1680000,83.91,85.44,83.56,84.91,1680000,0.0,1.0
20,LH,2010-12-03 00:00:00+00:00,83.73,83.96,83.01,83.44,843800,83.73,83.96,83.01,83.44,843800,0.0,1.0
21,LH,2010-12-06 00:00:00+00:00,83.08,83.73,82.97,83.35,596100,83.08,83.73,82.97,83.35,596100,0.0,1.0
22,LH,2010-12-07 00:00:00+00:00,82.72,83.68,82.46,83.19,694000,82.72,83.68,82.46,83.19,694000,0.0,1.0
23,LH,2010-12-08 00:00:00+00:00,83.39,83.57,82.53,82.66,678900,83.39,83.57,82.53,82.66,678900,0.0,1.0
24,LH,2010-12-09 00:00:00+00:00,83.71,83.8899,82.93,83.37,621200,83.71,83.8899,82.93,83.37,621200,0.0,1.0
25,LH,2010-12-10 00:00:00+00:00,84.62,84.76,83.71,83.71,626200,84.62,84.76,83.71,83.71,626200,0.0,1.0
26,LH,2010-12-13 00:00:00+00:00,83.89,84.89,83.67,84.72,560600,83.89,84.89,83.67,84.72,560600,0.0,1.0
27,LH,2010-12-14 00:00:00+00:00,85.53,85.87,84.09,84.09,640800,85.53,85.87,84.09,84.09,640800,0.0,1.0
28,LH,2010-12-15 00:00:00+00:00,86.64,86.9,85.23,85.52,936500,86.64,86.9,85.23,85.52,936500,0.0,1.0
29,LH,2010-12-16 00:00:00+00:00,88.52,88.7,86.18,86.7,1664900,88.52,88.7,86.18,86.7,1664900,0.0,1.0
30,LH,2010-12-17 00:00:00+00:00,88.92,88.99,87.91,88.62,1393100,88.92,88.99,87.91,88.62,1393100,0.0,1.0
31,LH,2010-12-20 00:00:00+00:00,88.21,89.48,88.0,89.45,570900,88.21,89.48,88.0,89.45,570900,0.0,1.0
32,LH,2010-12-21 00:00:00+00:00,88.53,88.84,88.04,88.6,642900,88.53,88.84,88.04,88.6,642900,0.0,1.0
33,LH,2010-12-22 00:00:00+00:00,88.82,89.1,88.43,88.58,399100,88.82,89.1,88.43,88.58,399100,0.0,1.0
34,LH,2010-12-23 00:00:00+00:00,88.22,88.82,87.95,88.57,566400,88.22,88.82,87.95,88.57,566400,0.0,1.0
35,LH,2010-12-27 00:00:00+00:00,88.17,88.31,87.54,88.2,412200,88.17,88.31,87.54,88.2,412200,0.0,1.0
36,LH,2010-12-28 00:00:00+00:00,88.14,88.49,87.81,88.46,304500,88.14,88.49,87.81,88.46,304500,0.0,1.0
37,LH,2010-12-29 00:00:00+00:00,88.07,88.46,87.66,88.25,354400,88.07,88.46,87.66,88.25,354400,0.0,1.0
38,LH,2010-12-30 00:00:00+00:00,88.62,88.93,87.7247,88.08,535600,88.62,88.93,87.7247,88.08,535600,0.0,1.0
39,LH,2010-12-31 00:00:00+00:00,87.92,88.81,87.83,88.05,399400,87.92,88.81,87.83,88.05,399400,0.0,1.0
40,LH,2011-01-03 00:00:00+00:00,89.59,90.518,88.35,88.35,1406700,89.59,90.518,88.35,88.35,1406700,0.0,1.0
41,LH,2011-01-04 00:00:00+00:00,90.12,90.2,88.59,88.59,1014200,90.12,90.2,88.59,88.59,1014200,0.0,1.0
42,LH,2011-01-05 00:00:00+00:00,90.4,90.74,89.34,89.73,797700,90.4,90.74,89.34,89.73,797700,0.0,1.0
43,LH,2011-01-06 00:00:00+00:00,89.76,91.29,89.12,90.56,1662200,89.76,91.29,89.12,90.56,1662200,0.0,1.0
44,LH,2011-01-07 00:00:00+00:00,89.67,89.94,89.15,89.94,964800,89.67,89.94,89.15,89.94,964800,0.0,1.0
45,LH,2011-01-10 00:00:00+00:00,89.12,89.71,88.63,88.63,934800,89.12,89.71,88.63,88.63,934800,0.0,1.0
46,LH,2011-01-11 00:00:00+00:00,90.78,91.0,89.23,89.52,698100,90.78,91.0,89.23,89.52,698100,0.0,1.0
47,LH,2011-01-12 00:00:00+00:00,91.16,91.245,90.64,91.03,510600,91.16,91.245,90.64,91.03,510600,0.0,1.0
48,LH,2011-01-13 00:00:00+00:00,91.81,91.94,90.946,91.48,726400,91.81,91.94,90.946,91.48,726400,0.0,1.0
49,LH,2011-01-14 00:00:00+00:00,91.15,91.71,90.99,91.42,970500,91.15,91.71,90.99,91.42,970500,0.0,1.0
50,LH,2011-01-18 00:00:00+00:00,90.65,90.75,89.0,90.38,1468900,90.65,90.75,89.0,90.38,1468900,0.0,1.0
51,LH,2011-01-19 00:00:00+00:00,89.91,90.77,89.55,90.77,1284300,89.91,90.77,89.55,90.77,1284300,0.0,1.0
52,LH,2011-01-20 00:00:00+00:00,90.08,90.59,89.16,89.18,1091700,90.08,90.59,89.16,89.18,1091700,0.0,1.0
53,LH,2011-01-21 00:00:00+00:00,89.76,90.76,89.01,90.76,1133300,89.76,90.76,89.01,90.76,1133300,0.0,1.0
54,LH,2011-01-24 00:00:00+00:00,89.68,90.3,89.43,89.82,824000,89.68,90.3,89.43,89.82,824000,0.0,1.0
55,LH,2011-01-25 00:00:00+00:00,90.96,91.23,89.49,89.81,1556200,90.96,91.23,89.49,89.81,1556200,0.0,1.0
56,LH,2011-01-26 00:00:00+00:00,92.55,92.82,91.05,91.27,1324800,92.55,92.82,91.05,91.27,1324800,0.0,1.0
57,LH,2011-01-27 00:00:00+00:00,92.28,92.98,92.22,92.4,840400,92.28,92.98,92.22,92.4,840400,0.0,1.0
58,LH,2011-01-28 00:00:00+00:00,90.57,92.65,90.02,92.44,1056200,90.57,92.65,90.02,92.44,1056200,0.0,1.0
59,LH,2011-01-31 00:00:00+00:00,89.91,90.93,89.6,90.65,1609500,89.91,90.93,89.6,90.65,1609500,0.0,1.0
60,LH,2011-02-01 00:00:00+00:00,88.83,90.23,88.39,90.23,2085600,88.83,90.23,88.39,90.23,2085600,0.0,1.0
61,LH,2011-02-02 00:00:00+00:00,89.31,89.4,88.25,88.71,1063500,89.31,89.4,88.25,88.71,1063500,0.0,1.0
62,LH,2011-02-03 00:00:00+00:00,89.94,90.17,88.55,89.11,715300,89.94,90.17,88.55,89.11,715300,0.0,1.0
63,LH,2011-02-04 00:00:00+00:00,90.4,90.75,89.63,89.99,862200,90.4,90.75,89.63,89.99,862200,0.0,1.0
64,LH,2011-02-07 00:00:00+00:00,90.31,90.8,90.2,90.71,614500,90.31,90.8,90.2,90.71,614500,0.0,1.0
65,LH,2011-02-08 00:00:00+00:00,90.69,91.28,90.06,90.27,645200,90.69,91.28,90.06,90.27,645200,0.0,1.0
66,LH,2011-02-09 00:00:00+00:00,90.74,90.99,89.66,90.21,1328100,90.74,90.99,89.66,90.21,1328100,0.0,1.0
67,LH,2011-02-10 00:00:00+00:00,87.73,89.69,86.66,86.66,2510600,87.73,89.69,86.66,86.66,2510600,0.0,1.0
68,LH,2011-02-11 00:00:00+00:00,87.79,88.24,86.68,87.32,1350500,87.79,88.24,86.68,87.32,1350500,0.0,1.0
69,LH,2011-02-14 00:00:00+00:00,87.73,87.92,87.0,87.83,1373400,87.73,87.92,87.0,87.83,1373400,0.0,1.0
70,LH,2011-02-15 00:00:00+00:00,87.67,88.0675,86.84,87.36,914000,87.67,88.0675,86.84,87.36,914000,0.0,1.0
71,LH,2011-02-16 00:00:00+00:00,88.32,88.38,87.85,87.9,775100,88.32,88.38,87.85,87.9,775100,0.0,1.0
72,LH,2011-02-17 00:00:00+00:00,87.89,88.09,87.2,87.98,688200,87.89,88.09,87.2,87.98,688200,0.0,1.0
73,LH,2011-02-18 00:00:00+00:00,89.01,89.42,88.0,88.08,852500,89.01,89.42,88.0,88.08,852500,0.0,1.0
74,LH,2011-02-22 00:00:00+00:00,87.64,88.72,87.46,88.36,768000,87.64,88.72,87.46,88.36,768000,0.0,1.0
75,LH,2011-02-23 00:00:00+00:00,88.66,88.99,87.44,87.6,1095000,88.66,88.99,87.44,87.6,1095000,0.0,1.0
76,LH,2011-02-24 00:00:00+00:00,88.35,89.46,87.96,88.42,1041100,88.35,89.46,87.96,88.42,1041100,0.0,1.0
