,Name,Date,Close,High,Low,Open,Volume,Adj Close,Adjhigh,Adjlow,Adjopen,Adjvolume,Divcash,Splitfactor
0,MCK,2010-11-04 00:00:00+00:00,67.05,68.0,66.775,67.93,2264500,61.6014341575,62.4742359838,61.3487809973,62.4099242703,2264500,0.0,1.0
1,MCK,2010-11-05 00:00:00+00:00,66.3,67.21,66.22,67.04,2356900,60.9123800842,61.7484323599,60.838880983,61.5922467699,2356900,0.0,1.0
2,MCK,2010-11-08 00:00:00+00:00,65.62,66.03,65.46,65.98,2425200,60.2876377244,60.6643206178,60.140639522,60.6183836796,2425200,0.0,1.0
3,MCK,2010-11-09 00:00:00+00:00,64.99,65.93,64.92,65.56,3469500,59.7088323027,60.5724467413,59.6445205892,60.2325133985,3469500,0.0,1.0
4,MCK,2010-11-10 00:00:00+00:00,65.18,65.18,64.05,64.93,3132100,59.883392668,59.883392668,58.8452178641,59.6537079769,3132100,0.0,1.0
5,MCK,2010-11-11 00:00:00+00:00,65.72,65.73,64.305,64.9,2081700,60.3795116008,60.3886989885,59.0794962491,59.6261458139,2081700,0.0,1.0
6,MCK,2010-11-12 00:00:00+00:00,65.09,65.53,64.76,65.08,1493400,59.8007061792,60.2049512356,59.4975223869,59.7915187915,1493400,0.0,1.0
7,MCK,2010-11-15 00:00:00+00:00,64.59,65.32,64.39,65.32,1008000,59.341336797,60.012016095,59.1575890441,60.012016095,1008000,0.0,1.0
8,MCK,2010-11-16 00:00:00+00:00,64.12,64.68,63.55,64.34,1888300,58.9095295777,59.4240232858,58.3858484819,59.1116521058,1888300,0.0,1.0
9,MCK,2010-11-17 00:00:00+00:00,64.7,64.9,63.74,64.26,1555700,59.442398061,59.6261458139,58.5604088472,59.0381530047,1555700,0.0,1.0
10,MCK,2010-11-18 00:00:00+00:00,65.39,66.35,64.96,65.04,2239700,60.0763278085,60.9583170224,59.6812701398,59.754769241,2239700,0.0,1.0
11,MCK,2010-11-19 00:00:00+00:00,66.0,66.1,65.13,65.45,1772800,60.6367584549,60.7286323313,59.8374557298,60.1314521344,1772800,0.0,1.0
12,MCK,2010-11-22 00:00:00+00:00,65.12,65.95,64.51,65.95,1742400,59.8282683421,60.5908215166,59.2678376958,60.5908215166,1742400,0.0,1.0
13,MCK,2010-11-23 00:00:00+00:00,64.19,64.9,63.96,64.9,1671400,58.9738412912,59.6261458139,58.7625313753,59.6261458139,1671400,0.0,1.0
14,MCK,2010-11-24 00:00:00+00:00,64.8,65.11,64.08,64.82,1318800,59.5342719375,59.8190809545,58.8727800271,59.5526467128,1318800,0.0,1.0
15,MCK,2010-11-26 00:00:00+00:00,64.51,64.75,63.83,64.28,484200,59.2678376958,59.4883349993,58.643095336,59.05652778,484200,0.0,1.0
16,MCK,2010-11-29 00:00:00+00:00,64.26,64.41,63.5,64.09,1234900,59.2035259823,59.3417228216,58.5033286629,59.0469028977,1234900,0.18,1.0
17,MCK,2010-11-30 00:00:00+00:00,63.9,64.49,63.3219,63.61,1682000,58.8718535678,59.4154278026,58.3392429489,58.6046730117,1682000,0.0,1.0
18,MCK,2010-12-01 00:00:00+00:00,65.67,65.89,64.38,64.56,1740200,60.5025762723,60.70526497,59.3140834538,59.479919661,1740200,0.0,1.0
19,MCK,2010-12-02 00:00:00+00:00,66.83,66.88,65.38,65.56,1587600,61.5712984967,61.6173641098,60.2353957162,60.4012319234,1587600,0.0,1.0
20,MCK,2010-12-03 00:00:00+00:00,67.01,67.04,65.65,66.55,1911100,61.7371347039,61.7647740718,60.484150027,61.3133310632,1911100,0.0,1.0
21,MCK,2010-12-06 00:00:00+00:00,66.56,66.89,66.44,66.72,1201900,61.3225441858,61.6265772324,61.2119867143,61.4699541478,1201900,0.0,1.0
22,MCK,2010-12-07 00:00:00+00:00,66.85,67.47,66.8,66.83,1592900,61.5897247419,62.1609383446,61.5436591288,61.5712984967,1592900,0.0,1.0
23,MCK,2010-12-08 00:00:00+00:00,66.46,67.27,65.84,67.12,1431800,61.2304129596,61.9766758921,60.6591993569,61.8384790528,1431800,0.0,1.0
24,MCK,2010-12-09 00:00:00+00:00,67.35,67.52,66.6,66.68,1529700,62.0503808731,62.2070039577,61.3593966763,61.4331016573,1529700,0.0,1.0
25,MCK,2010-12-10 00:00:00+00:00,68.09,68.16,67.42,67.52,1779600,62.7321519473,62.7966438057,62.1148727315,62.2070039577,1779600,0.0,1.0
26,MCK,2010-12-13 00:00:00+00:00,67.35,68.08,67.03,68.08,1753000,62.0503808731,62.7229388247,61.7555609492,62.7229388247,1753000,0.0,1.0
