,Name,Date,Close,High,Low,Open,Volume,Adj Close,Adjhigh,Adjlow,Adjopen,Adjvolume,Divcash,Splitfactor
0,MDLZ,2010-11-04 00:00:00+00:00,31.79,32.2,31.75,31.91,12912100,16.7990649567,17.0157248067,16.7779274103,16.8624775957,12912100,0.0,1.0
1,MDLZ,2010-11-05 00:00:00+00:00,31.08,31.56,30.6,31.29,20031300,16.4238735091,16.6775240652,16.1702229529,16.5348456274,20031300,0.0,1.0
2,MDLZ,2010-11-08 00:00:00+00:00,31.12,31.23,30.71,31.1,9705400,16.4450110554,16.5031393079,16.2283512054,16.4344422822,9705400,0.0,1.0
3,MDLZ,2010-11-09 00:00:00+00:00,30.62,31.29,30.5,31.29,13387700,16.1807917261,16.5348456274,16.1173790871,16.5348456274,13387700,0.0,1.0
4,MDLZ,2010-11-10 00:00:00+00:00,30.5,30.68,30.39,30.66,10176000,16.1173790871,16.2124980456,16.0592508346,16.2019292725,10176000,0.0,1.0
5,MDLZ,2010-11-11 00:00:00+00:00,30.46,30.51,30.28,30.41,8091500,16.0962415407,16.1226634737,16.0011225822,16.0698196078,8091500,0.0,1.0
6,MDLZ,2010-11-12 00:00:00+00:00,30.62,30.76,30.23,30.26,8077700,16.1807917261,16.2547731383,15.9747006493,15.990553809,8077700,0.0,1.0
7,MDLZ,2010-11-15 00:00:00+00:00,30.79,30.9,30.66,30.67,8001600,16.2706262981,16.3287545505,16.2019292725,16.207213659,8001600,0.0,1.0
8,MDLZ,2010-11-16 00:00:00+00:00,30.34,30.71,30.25,30.64,10834100,16.0328289017,16.2283512054,15.9852694224,16.1913604993,10834100,0.0,1.0
9,MDLZ,2010-11-17 00:00:00+00:00,30.49,30.57,30.3,30.39,6794500,16.1120947005,16.1543697932,16.0116913554,16.0592508346,6794500,0.0,1.0
10,MDLZ,2010-11-18 00:00:00+00:00,30.72,30.83,30.52,30.66,8216000,16.233635592,16.2917638444,16.1279478603,16.2019292725,8216000,0.0,1.0
11,MDLZ,2010-11-19 00:00:00+00:00,30.44,30.79,30.36,30.72,8807900,16.0856727676,16.2706262981,16.0433976749,16.233635592,8807900,0.0,1.0
12,MDLZ,2010-11-22 00:00:00+00:00,30.55,30.59,30.3,30.41,7115800,16.14380102,16.1649385664,16.0116913554,16.0698196078,7115800,0.0,1.0
13,MDLZ,2010-11-23 00:00:00+00:00,30.23,30.35,30.12,30.34,7526800,15.9747006493,16.0381132883,15.9165723968,16.0328289017,7526800,0.0,1.0
14,MDLZ,2010-11-24 00:00:00+00:00,30.54,30.56,30.35,30.43,5481600,16.1385166334,16.1490854066,16.0381132883,16.080388381,5481600,0.0,1.0
15,MDLZ,2010-11-26 00:00:00+00:00,30.3,30.43,30.23,30.39,3166400,16.0116913554,16.080388381,15.9747006493,16.0592508346,3166400,0.0,1.0
16,MDLZ,2010-11-29 00:00:00+00:00,30.19,30.22,29.8,30.18,10226100,15.9535631029,15.9694162627,15.7474720261,15.9482787163,10226100,0.0,1.0
17,MDLZ,2010-11-30 00:00:00+00:00,30.25,30.35,29.95,30.03,9512000,15.9852694224,16.0381132883,15.8267378249,15.8690129175,9512000,0.0,1.0
18,MDLZ,2010-12-01 00:00:00+00:00,30.63,30.72,30.35,30.46,8651500,16.1860761127,16.233635592,16.0381132883,16.0962415407,8651500,0.0,1.0
19,MDLZ,2010-12-02 00:00:00+00:00,30.43,30.76,30.28,30.7,10450000,16.080388381,16.2547731383,16.0011225822,16.2230668188,10450000,0.0,1.0
20,MDLZ,2010-12-03 00:00:00+00:00,30.32,30.51,30.2,30.22,7376400,16.0222601285,16.1226634737,15.9588474895,15.9694162627,7376400,0.0,1.0
21,MDLZ,2010-12-06 00:00:00+00:00,30.29,30.32,30.1,30.24,7117800,16.0064069688,16.0222601285,15.9060036236,15.9799850358,7117800,0.0,1.0
22,MDLZ,2010-12-07 00:00:00+00:00,30.64,30.69,30.39,30.51,9008200,16.1913604993,16.2177824322,16.0592508346,16.1226634737,9008200,0.0,1.0
23,MDLZ,2010-12-08 00:00:00+00:00,31.03,31.05,30.6,30.68,10122900,16.3974515761,16.4080203493,16.1702229529,16.2124980456,10122900,0.0,1.0
24,MDLZ,2010-12-09 00:00:00+00:00,31.09,31.15,30.93,31.1,7647900,16.4291578957,16.4608642152,16.3446077103,16.4344422822,7647900,0.0,1.0
25,MDLZ,2010-12-10 00:00:00+00:00,30.75,31.22,30.63,31.14,8904000,16.2494887517,16.4978549213,16.1860761127,16.4555798286,8904000,0.0,1.0
26,MDLZ,2010-12-13 00:00:00+00:00,30.88,31.0,30.7,30.88,6556300,16.3181857773,16.3815984164,16.2230668188,16.3181857773,6556300,0.0,1.0
27,MDLZ,2010-12-14 00:00:00+00:00,31.39,31.5,30.93,30.97,9021600,16.5876894932,16.6458177457,16.3446077103,16.3657452566,9021600,0.0,1.0
28,MDLZ,2010-12-15 00:00:00+00:00,31.48,31.59,31.24,31.27,8873000,16.6352489725,16.6933772249,16.5084236944,16.5242768542,8873000,0.0,1.0
29,MDLZ,2010-12-16 00:00:00+00:00,31.64,31.65,31.3,31.48,7204400,16.7197991579,16.7250835445,16.540130014,16.6352489725,7204400,0.0,1.0
30,MDLZ,2010-12-17 00:00:00+00:00,31.93,31.95,31.53,31.67,11699500,16.8730463689,16.883615142,16.6616709054,16.7356523176,11699500,0.0,1.0
31,MDLZ,2010-12-20 00:00:00+00:00,31.73,31.98,31.7,31.95,9979700,16.7673586372,16.8994683018,16.7515054774,16.883615142,9979700,0.0,1.0
32,MDLZ,2010-12-21 00:00:00+00:00,31.84,31.98,31.81,31.87,7235900,16.8254868896,16.8994683018,16.8096337298,16.8413400494,7235900,0.0,1.0
33,MDLZ,2010-12-22 00:00:00+00:00,31.88,31.97,31.74,31.78,5854300,16.8466244359,16.8941839152,16.7726430237,16.7937805701,5854300,0.0,1.0
34,MDLZ,2010-12-23 00:00:00+00:00,31.88,31.97,31.82,31.9,4491200,16.8466244359,16.8941839152,16.8149181164,16.8571932091,4491200,0.0,1.0
35,MDLZ,2010-12-27 00:00:00+00:00,31.61,31.841,31.58,31.81,4520700,16.7039459981,16.8260153283,16.6880928384,16.8096337298,4520700,0.0,1.0
36,MDLZ,2010-12-28 00:00:00+00:00,31.86,31.89,31.61,31.71,4900000,16.8360556628,16.8519088225,16.7039459981,16.756789864,4900000,0.0,1.0
37,MDLZ,2010-12-29 00:00:00+00:00,31.56,31.82,31.56,31.72,5259600,16.8307712762,16.9694278203,16.8307712762,16.9160983802,5259600,0.29,1.0
38,MDLZ,2010-12-30 00:00:00+00:00,31.51,31.61,31.31,31.34,4033200,16.8041065562,16.8574359962,16.6974476761,16.7134465081,4033200,0.0,1.0
39,MDLZ,2010-12-31 00:00:00+00:00,31.51,31.63,31.37,31.5,3398900,16.8041065562,16.8681018842,16.7294453401,16.7987736122,3398900,0.0,1.0
40,MDLZ,2011-01-03 00:00:00+00:00,31.67,31.76,31.48,31.76,8525800,16.8894336602,16.9374301563,16.7881077242,16.9374301563,8525800,0.0,1.0
41,MDLZ,2011-01-04 00:00:00+00:00,31.6,31.75,31.36,31.61,11578300,16.8521030522,16.9320972123,16.7241123961,16.8574359962,11578300,0.0,1.0
42,MDLZ,2011-01-05 00:00:00+00:00,31.53,31.75,31.46,31.46,10456100,16.8147724442,16.9320972123,16.7774418361,16.7774418361,10456100,0.0,1.0
43,MDLZ,2011-01-06 00:00:00+00:00,31.27,31.6,31.18,31.6,7661500,16.6761159001,16.8521030522,16.628119404,16.8521030522,7661500,0.0,1.0
44,MDLZ,2011-01-07 00:00:00+00:00,31.19,31.43,31.14,31.39,6747800,16.633452348,16.7614430041,16.606787628,16.7401112281,6747800,0.0,1.0
45,MDLZ,2011-01-10 00:00:00+00:00,31.21,31.24,30.89,30.91,5462800,16.644118236,16.6601170681,16.4734640279,16.4841299159,5462800,0.0,1.0
46,MDLZ,2011-01-11 00:00:00+00:00,31.29,31.45,31.18,31.29,6619200,16.6867817881,16.7721088921,16.628119404,16.6867817881,6619200,0.0,1.0
47,MDLZ,2011-01-12 00:00:00+00:00,31.5,31.72,31.32,31.34,6225800,16.7987736122,16.9160983802,16.7027806201,16.7134465081,6225800,0.0,1.0
48,MDLZ,2011-01-13 00:00:00+00:00,31.44,31.71,31.38,31.56,6647000,16.7667759481,16.9107654362,16.7347782841,16.8307712762,6647000,0.0,1.0
49,MDLZ,2011-01-14 00:00:00+00:00,31.34,31.52,31.28,31.51,6005400,16.7134465081,16.8094395002,16.6814488441,16.8041065562,6005400,0.0,1.0
50,MDLZ,2011-01-18 00:00:00+00:00,31.05,31.52,30.89,31.41,11693500,16.558791132,16.8094395002,16.4734640279,16.7507771161,11693500,0.0,1.0
51,MDLZ,2011-01-19 00:00:00+00:00,31.18,31.25,30.89,31.09,8479500,16.628119404,16.6654500121,16.4734640279,16.580122908,8479500,0.0,1.0
52,MDLZ,2011-01-20 00:00:00+00:00,31.23,31.38,31.13,31.29,10411400,16.6547841241,16.7347782841,16.601454684,16.6867817881,10411400,0.0,1.0
53,MDLZ,2011-01-21 00:00:00+00:00,31.35,31.35,31.03,31.09,10612400,16.7187794521,16.7187794521,16.548125244,16.580122908,10612400,0.0,1.0
54,MDLZ,2011-01-24 00:00:00+00:00,31.43,31.77,31.27,31.39,12116800,16.7614430041,16.9427631003,16.6761159001,16.7401112281,12116800,0.0,1.0
55,MDLZ,2011-01-25 00:00:00+00:00,31.18,31.46,31.01,31.35,9323800,16.628119404,16.7774418361,16.537459356,16.7187794521,9323800,0.0,1.0
56,MDLZ,2011-01-26 00:00:00+00:00,31.03,31.28,30.975,31.28,10967900,16.548125244,16.6814488441,16.518794052,16.6814488441,10967900,0.0,1.0
57,MDLZ,2011-01-27 00:00:00+00:00,30.54,31.03,30.5,30.98,11887300,16.2868109878,16.548125244,16.2654792118,16.521460524,11887300,0.0,1.0
58,MDLZ,2011-01-28 00:00:00+00:00,30.53,30.73,30.5,30.5,11356900,16.2814780438,16.3881369239,16.2654792118,16.2654792118,11356900,0.0,1.0
59,MDLZ,2011-01-31 00:00:00+00:00,30.57,31.0,30.21,30.53,10801100,16.3028098198,16.532126412,16.1108238357,16.2814780438,10801100,0.0,1.0
60,MDLZ,2011-02-01 00:00:00+00:00,30.67,30.78,30.44,30.67,6914300,16.3561392598,16.4148016439,16.2334815478,16.3561392598,6914300,0.0,1.0
61,MDLZ,2011-02-02 00:00:00+00:00,30.555,30.73,30.47,30.66,5522200,16.2948104038,16.3881369239,16.2494803798,16.3508063158,5522200,0.0,1.0
62,MDLZ,2011-02-03 00:00:00+00:00,30.74,30.81,30.49,30.56,4926800,16.3934698679,16.4308004759,16.2601462678,16.2974768758,4926800,0.0,1.0
63,MDLZ,2011-02-04 00:00:00+00:00,31.19,31.215,30.72,30.89,6594900,16.633452348,16.6467847081,16.3828039799,16.4734640279,6594900,0.0,1.0
64,MDLZ,2011-02-07 00:00:00+00:00,30.87,31.18,30.64,31.18,10193000,16.4627981399,16.628119404,16.3401404278,16.628119404,10193000,0.0,1.0
65,MDLZ,2011-02-08 00:00:00+00:00,31.13,31.13,30.7301,30.93,9267100,16.601454684,16.601454684,16.3881902533,16.4947958039,9267100,0.0,1.0
66,MDLZ,2011-02-09 00:00:00+00:00,31.24,31.25,30.95,30.97,6390100,16.6601170681,16.6654500121,16.5054616919,16.51612758,6390100,0.0,1.0
67,MDLZ,2011-02-10 00:00:00+00:00,31.11,31.24,30.76,31.2,16277900,16.590788796,16.6601170681,16.4041357559,16.638785292,16277900,0.0,1.0
68,MDLZ,2011-02-11 00:00:00+00:00,30.66,30.73,30.24,30.5,23766300,16.3508063158,16.3881369239,16.1268226677,16.2654792118,23766300,0.0,1.0
69,MDLZ,2011-02-14 00:00:00+00:00,30.49,30.74,30.39,30.67,11068800,16.2601462678,16.3934698679,16.2068168277,16.3561392598,11068800,0.0,1.0
70,MDLZ,2011-02-15 00:00:00+00:00,30.67,30.67,30.26,30.39,7831300,16.3561392598,16.3561392598,16.1374885557,16.2068168277,7831300,0.0,1.0
71,MDLZ,2011-02-16 00:00:00+00:00,30.8,30.8,30.43,30.68,12013600,16.4254675319,16.4254675319,16.2281486037,16.3614722038,12013600,0.0,1.0
72,MDLZ,2011-02-17 00:00:00+00:00,30.84,30.93,30.61,30.69,7257600,16.4467993079,16.4947958039,16.3241415958,16.3668051478,7257600,0.0,1.0
73,MDLZ,2011-02-18 00:00:00+00:00,30.91,30.98,30.66,30.87,7860600,16.4841299159,16.521460524,16.3508063158,16.4627981399,7860600,0.0,1.0
74,MDLZ,2011-02-22 00:00:00+00:00,31.47,31.53,30.66,30.72,14453400,16.7827747801,16.8147724442,16.3508063158,16.3828039799,14453400,0.0,1.0
75,MDLZ,2011-02-23 00:00:00+00:00,31.68,32.2,31.45,31.48,18315200,16.8947666042,17.1720796924,16.7721088921,16.7881077242,18315200,0.0,1.0
76,MDLZ,2011-02-24 00:00:00+00:00,31.78,31.97,31.64,31.64,9432400,16.9480960443,17.0494219803,16.8734348282,16.8734348282,9432400,0.0,1.0
77,MDLZ,2011-02-25 00:00:00+00:00,31.71,31.955,31.625,31.75,8249900,16.9107654362,17.0414225643,16.8654354122,16.9320972123,8249900,0.0,1.0
78,MDLZ,2011-02-28 00:00:00+00:00,31.84,31.84,31.51,31.82,9314400,16.9800937083,16.9800937083,16.8041065562,16.9694278203,9314400,0.0,1.0
79,MDLZ,2011-03-01 00:00:00+00:00,31.55,31.88,31.48,31.76,8171500,16.8254383322,17.0014254843,16.7881077242,16.9374301563,8171500,0.0,1.0
80,MDLZ,2011-03-02 00:00:00+00:00,31.49,31.74,31.285,31.57,6816200,16.7934406682,16.9267642683,16.6841153161,16.8361042202,6816200,0.0,1.0
81,MDLZ,2011-03-03 00:00:00+00:00,31.81,31.87,31.61,31.66,11585400,16.9640948763,16.9960925403,16.8574359962,16.8841007162,11585400,0.0,1.0
82,MDLZ,2011-03-04 00:00:00+00:00,31.58,31.87,31.41,31.86,19309400,16.8414371642,16.9960925403,16.7507771161,16.9907595963,19309400,0.0,1.0
83,MDLZ,2011-03-07 00:00:00+00:00,31.33,31.58,31.1825,31.56,12234400,16.7081135641,16.8414371642,16.62945264,16.8307712762,12234400,0.0,1.0
84,MDLZ,2011-03-08 00:00:00+00:00,31.4475,31.47,31.26,31.43,8472200,16.7707756561,16.7827747801,16.6707829561,16.7614430041,8472200,0.0,1.0
85,MDLZ,2011-03-09 00:00:00+00:00,31.67,31.71,31.32,31.34,5943800,16.8894336602,16.9107654362,16.7027806201,16.7134465081,5943800,0.0,1.0
86,MDLZ,2011-03-10 00:00:00+00:00,31.5,31.62,31.38,31.49,8637300,16.7987736122,16.8627689402,16.7347782841,16.7934406682,8637300,0.0,1.0
87,MDLZ,2011-03-11 00:00:00+00:00,31.7,31.79,31.41,31.53,6473000,16.9054324922,16.9534289883,16.7507771161,16.8147724442,6473000,0.0,1.0
88,MDLZ,2011-03-14 00:00:00+00:00,31.36,31.6,31.26,31.51,6791200,16.7241123961,16.8521030522,16.6707829561,16.8041065562,6791200,0.0,1.0
89,MDLZ,2011-03-15 00:00:00+00:00,31.13,31.21,30.84,30.97,10119400,16.601454684,16.644118236,16.4467993079,16.51612758,10119400,0.0,1.0
90,MDLZ,2011-03-16 00:00:00+00:00,30.85,31.05,30.71,31.02,11389000,16.4521322519,16.558791132,16.3774710359,16.5427923,11389000,0.0,1.0
