,Name,Date,Close,High,Low,Open,Volume,Adj Close,Adjhigh,Adjlow,Adjopen,Adjvolume,Divcash,Splitfactor
0,MET,2010-11-04 00:00:00+00:00,42.9,42.96,41.83,41.9,12140900,24.6440744208,24.6785416578,24.0294086952,24.0696204716,15269764,0.0,1.0
1,MET,2010-11-05 00:00:00+00:00,42.1,42.48,41.42,41.46,10035600,24.6096071839,24.8317366549,24.212112341,24.2354943906,12621902,0.74,1.0
2,MET,2010-11-08 00:00:00+00:00,41.59,42.09,41.33,41.83,5215100,24.3114860517,24.6037616715,24.1595027295,24.4517783492,6559097,0.0,1.0
3,MET,2010-11-09 00:00:00+00:00,40.53,41.77,40.39,41.63,8203900,23.6918617378,24.4167052748,23.6100245643,24.3348681013,10318149,0.0,1.0
4,MET,2010-11-10 00:00:00+00:00,40.92,41.1,40.07,40.79,8392400,23.9198367212,24.0250559444,23.4229681677,23.8438450601,10555228,0.0,1.0
5,MET,2010-11-11 00:00:00+00:00,40.13,40.43,39.68,40.13,7986500,23.458041242,23.6334066139,23.1949931842,23.458041242,10044722,0.0,1.0
6,MET,2010-11-12 00:00:00+00:00,39.64,40.341,39.49,39.66,7527600,23.1716111347,23.5813815536,23.0839284487,23.1833021594,9467558,0.0,1.0
7,MET,2010-11-15 00:00:00+00:00,39.73,40.39,39.6,39.8,5696700,23.2242207462,23.6100245643,23.1482290851,23.265139333,7164812,0.0,1.0
8,MET,2010-11-16 00:00:00+00:00,38.87,39.67,38.6,39.48,8763000,22.7215066802,23.1891476718,22.5636778456,23.0780829363,11021336,0.0,1.0
9,MET,2010-11-17 00:00:00+00:00,38.62,39.13,38.46,38.97,7509900,22.5753688703,22.8734900025,22.481840672,22.7799618042,9445297,0.0,1.0
10,MET,2010-11-18 00:00:00+00:00,39.17,39.59,39.07,39.33,5588100,22.8968720521,23.1423835727,22.8384169281,22.9904002504,7028224,0.0,1.0
11,MET,2010-11-19 00:00:00+00:00,38.85,39.2,38.7,39.13,6450600,22.7098156554,22.9144085893,22.6221329695,22.8734900025,8113001,0.0,1.0
12,MET,2010-11-22 00:00:00+00:00,38.73,38.77,38.26,38.6,5289400,22.6396695067,22.6630515563,22.3649304241,22.5636778456,6652545,0.0,1.0
13,MET,2010-11-23 00:00:00+00:00,37.84,38.3,37.82,38.3,7713100,22.1194189035,22.3883124737,22.1077278787,22.3883124737,9700864,0.0,1.0
14,MET,2010-11-24 00:00:00+00:00,38.23,38.36,38.01,38.24,5066100,22.3473938869,22.4233855481,22.2187926142,22.3532393993,6371698,0.0,1.0
15,MET,2010-11-26 00:00:00+00:00,37.74,38.03,37.64,37.85,6889100,22.0609637796,22.230483639,22.0025086556,22.1252644159,8664508,0.0,1.0
16,MET,2010-11-29 00:00:00+00:00,38.06,38.15,37.33,37.58,6555700,22.2480201762,22.3006297878,21.8212977714,21.9674355812,8245187,0.0,1.0
17,MET,2010-11-30 00:00:00+00:00,38.15,38.41,37.56,37.8,9698900,22.3006297878,22.45261311,21.9557445565,22.0960368539,12198430,0.0,1.0
18,MET,2010-12-01 00:00:00+00:00,39.3,39.37,38.52,38.91,8270000,22.9728637132,23.0137823,22.5169137464,22.7448887298,10401284,0.0,1.0
19,MET,2010-12-02 00:00:00+00:00,40.47,40.52,39.19,39.28,9085200,23.6567886635,23.6860162254,22.9085630769,22.9611726884,11426571,0.0,1.0
20,MET,2010-12-03 00:00:00+00:00,40.14,40.31,39.65,40.08,11630900,23.4638867544,23.5632604651,23.1774566471,23.42881368,14628331,0.0,1.0
21,MET,2010-12-06 00:00:00+00:00,40.75,40.93,39.91,40.24,8603000,23.8204630105,23.9256822336,23.3294399693,23.5223418784,10820102,0.0,1.0
22,MET,2010-12-07 00:00:00+00:00,41.17,41.41,41.0,41.22,9456200,24.0659745311,24.2062668286,23.9666008204,24.0952020931,11893183,0.0,1.0
23,MET,2010-12-08 00:00:00+00:00,42.79,43.34,41.05,41.05,14808900,25.0129475392,25.3344507209,23.9958283824,23.9958283824,18625342,0.0,1.0
24,MET,2010-12-09 00:00:00+00:00,44.08,44.15,42.96,42.98,11242200,25.7670186381,25.8079372249,25.1123212499,25.1240122747,14139458,0.0,1.0
25,MET,2010-12-10 00:00:00+00:00,43.97,44.21,43.28,44.14,8237300,25.7027180018,25.8430102993,25.2993776465,25.8020917125,10360157,0.0,1.0
26,MET,2010-12-13 00:00:00+00:00,43.92,44.455,43.81,44.3,6941800,25.6734904398,25.986225353,25.6091898035,25.8956199108,8730790,0.0,1.0
27,MET,2010-12-14 00:00:00+00:00,43.76,44.45,43.59,44.01,8934100,25.5799622415,25.9833025968,25.4805885308,25.7261000514,11236531,0.0,1.0
28,MET,2010-12-15 00:00:00+00:00,43.62,44.33,43.59,43.59,5885400,25.498125068,25.913156448,25.4805885308,25.4805885308,7402142,0.0,1.0
29,MET,2010-12-16 00:00:00+00:00,43.58,43.97,43.29,43.59,6475400,25.4747430184,25.7027180018,25.3052231589,25.4805885308,8144193,0.0,1.0
30,MET,2010-12-17 00:00:00+00:00,43.93,43.97,43.35,43.48,7964900,25.6793359522,25.7027180018,25.3402962333,25.4162878944,10017556,0.0,1.0
31,MET,2010-12-20 00:00:00+00:00,44.2,44.54,44.055,44.09,5168000,25.8371647869,26.0359122083,25.7524048571,25.7728641505,6499859,0.0,1.0
32,MET,2010-12-21 00:00:00+00:00,44.54,44.73,44.25,44.47,3753900,26.0359122083,26.1469769438,25.8663923489,25.9949936216,4721327,0.0,1.0
33,MET,2010-12-22 00:00:00+00:00,44.73,45.09,44.53,44.68,4820100,26.1469769438,26.3574153901,26.0300666959,26.1177493819,6062301,0.0,1.0
34,MET,2010-12-23 00:00:00+00:00,44.64,44.925,44.44,44.65,2904500,26.0943673323,26.2609644355,25.9774570844,26.1002128447,3653026,0.0,1.0
35,MET,2010-12-27 00:00:00+00:00,44.76,44.95,44.26,44.34,2908600,26.164513481,26.2755782165,25.8722378613,25.9190019604,3658183,0.0,1.0
36,MET,2010-12-28 00:00:00+00:00,44.92,45.06,44.49,44.8,4230500,26.2580416793,26.3398788529,26.0066846463,26.1878955306,5320753,0.0,1.0
37,MET,2010-12-29 00:00:00+00:00,44.75,45.07,44.69,44.95,2441000,26.1586679686,26.3457243653,26.1235948942,26.2755782165,3070076,0.0,1.0
38,MET,2010-12-30 00:00:00+00:00,44.45,44.8,44.3,44.71,2017000,25.9833025968,26.1878955306,25.8956199108,26.135285919,2536806,0.0,1.0
39,MET,2010-12-31 00:00:00+00:00,44.44,44.68,44.24,44.35,2291500,25.9774570844,26.1177493819,25.8605468365,25.9248474728,2882048,0.0,1.0
40,MET,2011-01-03 00:00:00+00:00,46.11,46.38,44.85,44.95,5904800,26.9536576544,27.111486489,26.2171230926,26.2755782165,7426542,0.0,1.0
41,MET,2011-01-04 00:00:00+00:00,45.83,46.37,45.44,46.24,5225000,26.7899833073,27.1056409766,26.5620083239,27.0296493155,6571549,0.0,1.0
42,MET,2011-01-05 00:00:00+00:00,46.42,46.475,45.32,45.35,6584000,27.1348685386,27.1670188568,26.4918621751,26.5093987123,8280780,0.0,1.0
43,MET,2011-01-06 00:00:00+00:00,46.38,46.86,46.24,46.56,6333400,27.111486489,27.392071084,27.0296493155,27.2167057122,7965597,0.0,1.0
44,MET,2011-01-07 00:00:00+00:00,46.07,46.84,45.67,46.57,4744600,26.9302756048,27.3803800592,26.696455109,27.2225512245,5967343,0.0,1.0
