,Name,Date,Close,High,Low,Open,Volume,Adj Close,Adjhigh,Adjlow,Adjopen,Adjvolume,Divcash,Splitfactor
0,MHK,2010-11-04 00:00:00+00:00,60.32,60.34,59.29,59.66,1407800,60.32,60.34,59.29,59.66,1407800,0.0,1.0
1,MHK,2010-11-05 00:00:00+00:00,57.08,58.84,55.59,57.12,3007800,57.08,58.84,55.59,57.12,3007800,0.0,1.0
2,MHK,2010-11-08 00:00:00+00:00,55.93,57.94,55.7,56.99,853300,55.93,57.94,55.7,56.99,853300,0.0,1.0
3,MHK,2010-11-09 00:00:00+00:00,54.2,56.04,53.93,56.04,893400,54.2,56.04,53.93,56.04,893400,0.0,1.0
4,MHK,2010-11-10 00:00:00+00:00,54.2,54.87,53.1,54.36,876100,54.2,54.87,53.1,54.36,876100,0.0,1.0
5,MHK,2010-11-11 00:00:00+00:00,53.85,54.13,53.32,53.38,299600,53.85,54.13,53.32,53.38,299600,0.0,1.0
6,MHK,2010-11-12 00:00:00+00:00,53.04,53.68,52.86,53.41,526300,53.04,53.68,52.86,53.41,526300,0.0,1.0
7,MHK,2010-11-15 00:00:00+00:00,53.13,54.6,53.01,53.46,330900,53.13,54.6,53.01,53.46,330900,0.0,1.0
8,MHK,2010-11-16 00:00:00+00:00,52.18,53.48,51.62,52.22,537000,52.18,53.48,51.62,52.22,537000,0.0,1.0
9,MHK,2010-11-17 00:00:00+00:00,51.97,52.92,51.55,52.49,721100,51.97,52.92,51.55,52.49,721100,0.0,1.0
10,MHK,2010-11-18 00:00:00+00:00,52.56,53.45,52.465,52.76,434000,52.56,53.45,52.465,52.76,434000,0.0,1.0
11,MHK,2010-11-19 00:00:00+00:00,53.23,53.27,51.88,52.59,389800,53.23,53.27,51.88,52.59,389800,0.0,1.0
12,MHK,2010-11-22 00:00:00+00:00,53.55,53.68,52.47,52.9,368700,53.55,53.68,52.47,52.9,368700,0.0,1.0
13,MHK,2010-11-23 00:00:00+00:00,52.51,53.29,52.3,52.7,397000,52.51,53.29,52.3,52.7,397000,0.0,1.0
14,MHK,2010-11-24 00:00:00+00:00,53.33,53.49,52.58,52.58,375800,53.33,53.49,52.58,52.58,375800,0.0,1.0
15,MHK,2010-11-26 00:00:00+00:00,52.95,53.27,52.57,52.83,78900,52.95,53.27,52.57,52.83,78900,0.0,1.0
16,MHK,2010-11-29 00:00:00+00:00,53.13,53.54,51.95,52.45,304800,53.13,53.54,51.95,52.45,304800,0.0,1.0
17,MHK,2010-11-30 00:00:00+00:00,52.54,52.97,51.94,52.28,357400,52.54,52.97,51.94,52.28,357400,0.0,1.0
18,MHK,2010-12-01 00:00:00+00:00,54.35,54.66,53.42,53.54,570700,54.35,54.66,53.42,53.54,570700,0.0,1.0
19,MHK,2010-12-02 00:00:00+00:00,56.57,56.78,54.44,54.58,491800,56.57,56.78,54.44,54.58,491800,0.0,1.0
20,MHK,2010-12-03 00:00:00+00:00,56.02,56.32,55.22,56.22,486000,56.02,56.32,55.22,56.22,486000,0.0,1.0
