,Name,Date,Close,High,Low,Open,Volume,Adj Close,Adjhigh,Adjlow,Adjopen,Adjvolume,Divcash,Splitfactor
0,MKC,2010-11-04 00:00:00+00:00,44.61,44.61,44.16,44.28,590000,36.8334405034,36.8334405034,36.461885959,36.5609671708,590000,0.0,1.0
1,MKC,2010-11-05 00:00:00+00:00,44.7,44.76,44.4,44.62,378900,36.9077514123,36.9572920182,36.6600483827,36.8416972711,378900,0.0,1.0
2,MKC,2010-11-08 00:00:00+00:00,44.81,44.83,44.1001,44.1001,580900,36.9985758565,37.0150893918,36.4124279208,36.4124279208,580900,0.0,1.0
3,MKC,2010-11-09 00:00:00+00:00,44.42,44.7,44.32,44.51,697000,36.676561918,36.9077514123,36.5939942415,36.7508728269,697000,0.0,1.0
4,MKC,2010-11-10 00:00:00+00:00,44.24,44.48,44.03,44.48,885500,36.5279401002,36.7261025239,36.3545479795,36.7261025239,885500,0.0,1.0
5,MKC,2010-11-11 00:00:00+00:00,44.03,44.23,43.98,44.02,682100,36.3545479795,36.5196833326,36.3132641412,36.3462912118,682100,0.0,1.0
6,MKC,2010-11-12 00:00:00+00:00,43.66,43.96,43.58,43.84,608300,36.0490475763,36.2967506059,35.9829934351,36.1976693941,608300,0.0,1.0
7,MKC,2010-11-15 00:00:00+00:00,43.81,44.05,43.68,43.74,467500,36.1728990911,36.3710615148,36.0655611116,36.1151017175,467500,0.0,1.0
8,MKC,2010-11-16 00:00:00+00:00,43.36,43.73,43.205,43.67,394300,35.8013445467,36.1068449499,35.6733646481,36.057304344,394300,0.0,1.0
9,MKC,2010-11-17 00:00:00+00:00,43.5,43.74,43.31,43.4,494600,35.9169392939,36.1151017175,35.7600607084,35.8343716173,494600,0.0,1.0
10,MKC,2010-11-18 00:00:00+00:00,44.16,44.2,43.71,43.71,352100,36.461885959,36.4949130296,36.0903314146,36.0903314146,352100,0.0,1.0
11,MKC,2010-11-19 00:00:00+00:00,44.12,44.22,43.94,44.2,633000,36.4288588884,36.5114265649,36.2802370706,36.4949130296,633000,0.0,1.0
12,MKC,2010-11-22 00:00:00+00:00,44.28,44.35,43.9,43.9,400500,36.5609671708,36.6187645444,36.24721,36.24721,400500,0.0,1.0
13,MKC,2010-11-23 00:00:00+00:00,43.89,43.96,43.66,43.96,515900,36.2389532323,36.2967506059,36.0490475763,36.2967506059,515900,0.0,1.0
14,MKC,2010-11-24 00:00:00+00:00,44.47,44.47,44.0,44.15,532500,36.7178457563,36.7178457563,36.3297776765,36.4536291913,532500,0.0,1.0
15,MKC,2010-11-26 00:00:00+00:00,44.27,44.51,44.07,44.25,315000,36.5527104032,36.7508728269,36.3875750501,36.5361968679,315000,0.0,1.0
16,MKC,2010-11-29 00:00:00+00:00,44.15,44.32,43.6,44.01,701900,36.4536291913,36.5939942415,35.9995069704,36.3380344442,701900,0.0,1.0
