,Name,Date,Close,High,Low,Open,Volume,Adj Close,Adjhigh,Adjlow,Adjopen,Adjvolume,Divcash,Splitfactor
0,MLM,2010-11-04 00:00:00+00:00,85.65,85.87,83.14,83.73,479000,75.3808195007,75.5744421545,73.1717610425,73.6910217957,479000,0.0,1.0
1,MLM,2010-11-05 00:00:00+00:00,86.96,88.31,85.41,85.63,421300,76.5337543933,77.7218934047,75.1695947876,75.3632174413,421300,0.0,1.0
2,MLM,2010-11-08 00:00:00+00:00,89.07,89.26,86.45,86.93,621500,78.3907716629,78.5579912275,76.0849018779,76.5073513041,621500,0.0,1.0
3,MLM,2010-11-09 00:00:00+00:00,89.16,89.88,88.3637,89.1,526100,78.4699809304,79.1036550698,77.7691549342,78.4171747521,526100,0.0,1.0
4,MLM,2010-11-10 00:00:00+00:00,88.59,89.06,86.7,89.0,412400,77.9683222367,78.3819706332,76.3049276207,78.329164455,412400,0.0,1.0
5,MLM,2010-11-11 00:00:00+00:00,88.0,88.37,87.47,87.87,274500,77.4490614835,77.774699583,76.9826069087,77.3346480973,274500,0.0,1.0
6,MLM,2010-11-12 00:00:00+00:00,86.16,88.37,85.96,87.23,346500,75.8296720162,77.774699583,75.6536514219,76.7713821956,346500,0.0,1.0
7,MLM,2010-11-15 00:00:00+00:00,85.65,87.14,85.58,86.87,266200,75.3808195007,76.6921729281,75.3192122927,76.4545451259,266200,0.0,1.0
8,MLM,2010-11-16 00:00:00+00:00,84.02,85.97,83.5,85.16,448800,73.9462516574,75.6624524516,73.4885981122,74.9495690448,448800,0.0,1.0
9,MLM,2010-11-17 00:00:00+00:00,84.91,85.33,83.67,84.21,228700,74.7295433019,75.0991865499,73.6382156174,74.1134712219,228700,0.0,1.0
10,MLM,2010-11-18 00:00:00+00:00,85.17,86.62,85.06,86.37,221300,74.9583700745,76.234519383,74.8615587476,76.0144936402,221300,0.0,1.0
11,MLM,2010-11-19 00:00:00+00:00,85.12,85.47,84.68,84.98,142400,74.9143649259,75.2224009659,74.5271196185,74.7911505099,142400,0.0,1.0
12,MLM,2010-11-22 00:00:00+00:00,85.77,85.96,84.51,84.7,205700,75.4864318573,75.6536514219,74.3775021133,74.5447216779,205700,0.0,1.0
13,MLM,2010-11-23 00:00:00+00:00,85.48,85.78,84.35,85.44,265900,75.2312019956,75.495232887,74.2366856379,75.1959978768,265900,0.0,1.0
14,MLM,2010-11-24 00:00:00+00:00,86.97,87.16,85.95,85.95,219100,76.542555423,76.7097749876,75.6448503922,75.6448503922,219100,0.0,1.0
15,MLM,2010-11-26 00:00:00+00:00,85.14,86.41,84.97,86.41,127300,74.9319669853,76.049697759,74.7823494802,76.049697759,127300,0.0,1.0
16,MLM,2010-11-29 00:00:00+00:00,85.09,85.37,83.76,84.84,148200,75.2400030253,75.4875902958,74.0639634904,75.0189429624,148200,0.4,1.0
17,MLM,2010-11-30 00:00:00+00:00,84.54,85.27,84.0,84.13,278600,74.7536708868,75.3991662706,74.2761811509,74.3911323836,278600,0.0,1.0
18,MLM,2010-12-01 00:00:00+00:00,88.39,88.66,85.62,85.62,368100,78.1579958563,78.3967407242,75.7086503588,75.7086503588,368100,0.0,1.0
19,MLM,2010-12-02 00:00:00+00:00,90.15,91.14,88.41,88.64,428000,79.7142586994,80.5896565487,78.1756806613,78.3790559192,428000,0.0,1.0
20,MLM,2010-12-03 00:00:00+00:00,89.61,90.37,88.51,89.68,351600,79.2367689634,79.9087915548,78.2641046865,79.2986657811,351600,0.0,1.0
21,MLM,2010-12-06 00:00:00+00:00,88.9,89.56,88.4,89.56,177200,78.6089583847,79.1925569509,78.1668382588,79.1925569509,177200,0.0,1.0
22,MLM,2010-12-07 00:00:00+00:00,89.03,90.38,88.94,90.38,266400,78.7239096174,79.9176339573,78.6443279947,79.9176339573,266400,0.0,1.0
23,MLM,2010-12-08 00:00:00+00:00,88.99,89.52,88.14,89.35,167500,78.6885400073,79.1571873408,77.9369357933,79.006866498,167500,0.0,1.0
24,MLM,2010-12-09 00:00:00+00:00,89.51,89.85,88.91,89.59,259600,79.1483449383,79.4489866239,78.6178007872,79.2190841584,259600,0.0,1.0
25,MLM,2010-12-10 00:00:00+00:00,90.5,90.95,89.6,89.91,179600,80.0237427875,80.4216509008,79.2279265609,79.502041039,179600,0.0,1.0
26,MLM,2010-12-13 00:00:00+00:00,91.75,92.23,90.65,90.65,313800,81.1290431023,81.5534784231,80.1563788253,80.1563788253,313800,0.0,1.0
27,MLM,2010-12-14 00:00:00+00:00,93.59,93.61,91.67,91.67,568500,82.7560451656,82.7737299706,81.0583038821,81.0583038821,568500,0.0,1.0
28,MLM,2010-12-15 00:00:00+00:00,93.54,94.82,93.18,93.42,536100,82.711833153,83.8436606753,82.3935066624,82.6057243228,536100,0.0,1.0
29,MLM,2010-12-16 00:00:00+00:00,94.8,94.99,93.42,93.82,252500,83.8259758703,83.9939815181,82.6057243228,82.9594204235,252500,0.0,1.0
30,MLM,2010-12-17 00:00:00+00:00,93.74,95.0,93.73,94.89,397900,82.8886812034,84.0028239206,82.8798388008,83.9055574929,397900,0.0,1.0
31,MLM,2010-12-20 00:00:00+00:00,93.08,94.0,92.84,93.79,373800,82.3050826372,83.1185836688,82.0928649767,82.9328932159,373800,0.0,1.0
32,MLM,2010-12-21 00:00:00+00:00,93.92,94.51,93.35,93.35,287700,83.0478444487,83.5695461972,82.5438275052,82.5438275052,287700,0.0,1.0
33,MLM,2010-12-22 00:00:00+00:00,93.75,94.3699,93.32,94.08,206400,82.8975236059,83.445664138,82.5173002976,83.189322889,206400,0.0,1.0
34,MLM,2010-12-23 00:00:00+00:00,92.68,93.9,92.47,93.765,187300,81.9513865365,83.0301596436,81.7656960836,82.9107872097,187300,0.0,1.0
35,MLM,2010-12-27 00:00:00+00:00,93.4,93.71,92.18,92.46,136000,82.5880395177,82.8621539958,81.5092664106,81.7568536811,136000,0.0,1.0
36,MLM,2010-12-28 00:00:00+00:00,93.14,93.57,92.78,93.49,203200,82.3581370523,82.7383603606,82.0398105616,82.6676211404,203200,0.0,1.0
37,MLM,2010-12-29 00:00:00+00:00,94.0,94.04,93.23,93.23,189500,83.1185836688,83.1539532789,82.4377186749,82.4377186749,189500,0.0,1.0
38,MLM,2010-12-30 00:00:00+00:00,92.98,94.37,92.88,93.62,231900,82.216658612,83.445752562,82.1282345868,82.7825723731,231900,0.0,1.0
39,MLM,2010-12-31 00:00:00+00:00,92.24,94.0,92.19,93.01,288400,81.5623208257,83.1185836688,81.5181088131,82.2431858195,288400,0.0,1.0
40,MLM,2011-01-03 00:00:00+00:00,93.0,93.91,92.67,92.97,344900,82.234343417,83.0390020462,81.9425441339,82.2078162095,344900,0.0,1.0
41,MLM,2011-01-04 00:00:00+00:00,86.98,90.41,85.95,90.41,989700,76.9112171012,79.9441611649,76.0004496419,79.9441611649,989700,0.0,1.0
42,MLM,2011-01-05 00:00:00+00:00,84.73,86.48,84.58,86.48,1001000,74.9216765347,76.4690969753,74.7890404969,76.4690969753,1001000,0.0,1.0
43,MLM,2011-01-06 00:00:00+00:00,82.85,84.6,81.8,84.5,1167900,73.2593048613,74.8067253019,72.3308525969,74.7183012768,1167900,0.0,1.0
44,MLM,2011-01-07 00:00:00+00:00,81.62,84.04,81.25,83.1,919100,72.1716893516,74.3115507609,71.8445204584,73.4803649242,919100,0.0,1.0
45,MLM,2011-01-10 00:00:00+00:00,82.67,83.3,80.38,81.47,572700,73.100141616,73.6572129746,71.0752314394,72.0390533138,572700,0.0,1.0
46,MLM,2011-01-11 00:00:00+00:00,82.97,83.54,82.41,82.8,223300,73.3654136915,73.869430635,72.8702391505,73.2150928487,223300,0.0,1.0
47,MLM,2011-01-12 00:00:00+00:00,83.6,84.49,82.93,82.93,426500,73.9224850501,74.7094588742,73.3300440814,73.3300440814,426500,0.0,1.0
48,MLM,2011-01-13 00:00:00+00:00,83.14,83.68,82.9,83.375,312100,73.5157345343,73.9932242703,73.3035168739,73.7235309935,312100,0.0,1.0
49,MLM,2011-01-14 00:00:00+00:00,83.89,84.1,82.47,82.87,620800,74.1789147232,74.364605176,72.9232935656,73.2769896663,620800,0.0,1.0
50,MLM,2011-01-18 00:00:00+00:00,83.98,84.11,83.04,83.88,428800,74.2584963458,74.3734475786,73.4273105091,74.1700723207,428800,0.0,1.0
51,MLM,2011-01-19 00:00:00+00:00,83.5,84.13,83.15,83.79,614200,73.834061025,74.3911323836,73.5245769368,74.090490698,614200,0.0,1.0
52,MLM,2011-01-20 00:00:00+00:00,83.35,84.62,83.08,83.08,530700,73.7014249872,74.824410107,73.4626801192,73.4626801192,530700,0.0,1.0
53,MLM,2011-01-21 00:00:00+00:00,83.53,84.49,82.6,84.07,417200,73.8605882325,74.7094588742,73.0382447984,74.3380779685,417200,0.0,1.0
54,MLM,2011-01-24 00:00:00+00:00,84.92,86.16,83.48,83.48,671400,75.0896821825,76.1861400947,73.8163762199,73.8163762199,671400,0.0,1.0
55,MLM,2011-01-25 00:00:00+00:00,84.54,85.62,83.51,84.31,382200,74.7536708868,75.7086503588,73.8429034275,74.5502956289,382200,0.0,1.0
56,MLM,2011-01-26 00:00:00+00:00,84.4,85.06,83.38,84.9,469600,74.6298772516,75.2134758178,73.7279521948,75.0719973775,469600,0.0,1.0
57,MLM,2011-01-27 00:00:00+00:00,84.71,85.05,83.73,84.14,272200,74.9039917296,75.2046334153,74.0374362829,74.3999747861,272200,0.0,1.0
58,MLM,2011-01-28 00:00:00+00:00,82.29,84.92,81.8,84.7,501800,72.7641303203,75.0896821825,72.3308525969,74.8951493271,501800,0.0,1.0
59,MLM,2011-01-31 00:00:00+00:00,83.5,83.82,82.0,82.51,576000,73.834061025,74.1170179055,72.5077006473,72.9586631757,576000,0.0,1.0
60,MLM,2011-02-01 00:00:00+00:00,83.83,85.05,83.12,83.67,673400,74.1258603081,75.2046334153,73.4980497293,73.9843818678,673400,0.0,1.0
61,MLM,2011-02-02 00:00:00+00:00,84.22,85.08,83.42,83.9,284300,74.4707140063,75.2311606228,73.7633218048,74.1877571257,284300,0.0,1.0
62,MLM,2011-02-03 00:00:00+00:00,86.21,86.599,82.22,83.95,746200,76.2303521073,76.5743215653,72.7022335027,74.2319691383,746200,0.0,1.0
63,MLM,2011-02-04 00:00:00+00:00,86.0,86.95,84.99,86.4,386200,76.0446616545,76.8846898937,75.1515790001,76.3983577552,386200,0.0,1.0
64,MLM,2011-02-07 00:00:00+00:00,88.62,89.07,86.21,86.21,548200,78.3613711142,78.7592792275,76.2303521073,76.2303521073,548200,0.0,1.0
65,MLM,2011-02-08 00:00:00+00:00,90.65,94.31,90.34,91.41,673800,80.1563788253,83.3926981469,79.8822643473,80.8284014167,673800,0.0,1.0
66,MLM,2011-02-09 00:00:00+00:00,88.13,89.289,86.06,88.69,611900,77.9280933908,78.9529278426,76.0977160696,78.4232679318,611900,0.0,1.0
67,MLM,2011-02-10 00:00:00+00:00,88.77,89.21,87.8,87.91,214000,78.4940071519,78.8830728627,77.6362941077,77.7335605354,214000,0.0,1.0
68,MLM,2011-02-11 00:00:00+00:00,89.54,89.62,87.65,88.35,292300,79.1748721458,79.245611366,77.5036580699,78.1226262462,292300,0.0,1.0
69,MLM,2011-02-14 00:00:00+00:00,90.8,91.14,88.84,89.34,501500,80.2890148631,80.5896565487,78.5559039696,78.9980240955,501500,0.0,1.0
70,MLM,2011-02-15 00:00:00+00:00,89.5,91.75,89.32,90.97,379200,79.1395025357,81.1290431023,78.9803392904,80.4393357059,379200,0.0,1.0
71,MLM,2011-02-16 00:00:00+00:00,91.59,92.25,89.73,89.96,660000,80.987564662,81.5711632282,79.3428777937,79.5462530516,660000,0.0,1.0
72,MLM,2011-02-17 00:00:00+00:00,92.08,92.45,90.76,91.37,487400,81.4208423854,81.7480112785,80.253645253,80.7930318066,487400,0.0,1.0
73,MLM,2011-02-18 00:00:00+00:00,92.14,93.05,90.93,92.23,359700,81.4738968005,82.2785554296,80.4039660958,81.5534784231,359700,0.0,1.0
74,MLM,2011-02-22 00:00:00+00:00,88.39,94.2,88.28,90.91,301700,78.1579958563,83.2954317192,78.0607294286,80.3862812908,301700,0.0,1.0
75,MLM,2011-02-23 00:00:00+00:00,86.78,89.07,85.46,88.63,320300,76.7343690509,78.7592792275,75.5671719185,78.3702135167,320300,0.0,1.0
76,MLM,2011-02-24 00:00:00+00:00,87.04,88.31,85.84,86.72,275100,76.9642715163,78.0872566361,75.9031832142,76.6813146358,275100,0.0,1.0
77,MLM,2011-02-25 00:00:00+00:00,88.08,88.33,86.7,87.07,228500,78.2375774789,78.4596414477,77.0117843713,77.3404390451,228500,0.4,1.0
78,MLM,2011-02-28 00:00:00+00:00,88.86,89.63,88.43,88.6,339900,78.9304170615,79.6143740853,78.5484670352,78.699470534,339900,0.0,1.0
79,MLM,2011-03-01 00:00:00+00:00,86.25,89.7,86.0,89.46,304600,76.6120692275,79.6765519966,76.3900052587,79.4633705866,304600,0.0,1.0
80,MLM,2011-03-02 00:00:00+00:00,86.12,87.38,85.69,86.26,354600,76.4965959637,77.6157983663,76.1146459374,76.6209517862,354600,0.0,1.0
81,MLM,2011-03-03 00:00:00+00:00,86.82,87.85,85.77,87.19,333400,77.1183750763,78.0332786276,76.1857064074,77.4470297501,333400,0.0,1.0
82,MLM,2011-03-04 00:00:00+00:00,86.45,87.63,85.44,86.94,229900,76.7897204025,77.8378623351,75.8925819686,77.2249657813,229900,0.0,1.0
83,MLM,2011-03-07 00:00:00+00:00,85.15,86.95,84.95,86.72,278500,75.6349877649,77.23384834,75.4573365898,77.0295494888,278500,0.0,1.0
84,MLM,2011-03-08 00:00:00+00:00,86.06,86.94,85.01,85.53,325200,76.4433006112,77.2249657813,75.5106319424,75.9725249974,325200,0.0,1.0
85,MLM,2011-03-09 00:00:00+00:00,85.58,86.3,84.89,85.98,234200,76.0169377912,76.6564820212,75.4040412373,76.3722401412,234200,0.0,1.0
86,MLM,2011-03-10 00:00:00+00:00,84.25,84.69,83.62,84.42,329000,74.8355574773,75.2263900623,74.275956276,74.986560976,329000,0.0,1.0
87,MLM,2011-03-11 00:00:00+00:00,84.92,85.5,83.73,83.73,126700,75.4306889136,75.9458773212,74.3736644222,74.3736644222,126700,0.0,1.0
88,MLM,2011-03-14 00:00:00+00:00,84.78,85.67,83.81,84.67,179000,75.3063330911,76.0968808199,74.4447248922,75.2086249448,179000,0.0,1.0
89,MLM,2011-03-15 00:00:00+00:00,85.65,86.54,82.0,82.27,483400,76.0791157024,76.8696634313,72.8369817583,73.0768108446,483400,0.0,1.0
90,MLM,2011-03-16 00:00:00+00:00,83.86,85.46,83.49,85.29,306100,74.489137686,75.9103470861,74.1604830122,75.7593435874,306100,0.0,1.0
91,MLM,2011-03-17 00:00:00+00:00,84.33,85.689,84.05,85.47,204400,74.9066179473,76.1137576815,74.6579063023,75.9192296449,204400,0.0,1.0
92,MLM,2011-03-18 00:00:00+00:00,84.83,85.99,84.14,85.4,356100,75.3507458848,76.3811227,74.737849331,75.8570517336,356100,0.0,1.0
93,MLM,2011-03-21 00:00:00+00:00,85.57,86.31,85.03,86.14,290900,76.0080552324,76.66536458,75.5283970599,76.5143610812,290900,0.0,1.0
94,MLM,2011-03-22 00:00:00+00:00,84.27,85.89,83.72,85.37,340300,74.8533225948,76.2922971124,74.3647818635,75.8304040574,340300,0.0,1.0
95,MLM,2011-03-23 00:00:00+00:00,84.39,84.72,83.37,84.07,431600,74.9599132998,75.2530377386,74.0538923072,74.6756714198,431600,0.0,1.0
96,MLM,2011-03-24 00:00:00+00:00,87.29,87.4,84.58,84.96,403000,77.5358553376,77.6335634838,75.1286819161,75.4662191486,403000,0.0,1.0
97,MLM,2011-03-25 00:00:00+00:00,88.19,88.69,87.22,87.7,211300,78.3352856252,78.7794135627,77.4736774263,77.9000402464,211300,0.0,1.0
98,MLM,2011-03-28 00:00:00+00:00,87.84,88.6,87.68,88.6,207900,78.0243960689,78.699470534,77.8822751289,78.699470534,207900,0.0,1.0
99,MLM,2011-03-29 00:00:00+00:00,88.33,89.03,87.13,87.54,234000,78.4596414477,79.0814205603,77.3937343976,77.7579193064,234000,0.0,1.0
100,MLM,2011-03-30 00:00:00+00:00,89.35,89.82,88.06,88.73,148000,79.3656624403,79.7831427016,78.2198123614,78.8149437977,148000,0.0,1.0
101,MLM,2011-03-31 00:00:00+00:00,89.67,90.02,88.72,89.08,162500,79.6499043203,79.9607938766,78.806061239,79.125833354,162500,0.0,1.0
102,MLM,2011-04-01 00:00:00+00:00,91.19,91.605,90.1918,90.38,505600,81.0000532505,81.3686794386,80.113396236,80.2805659916,505600,0.0,1.0
103,MLM,2011-04-04 00:00:00+00:00,89.28,91.17,88.73,91.17,269000,79.303484529,80.982288133,78.8149437977,80.982288133,269000,0.0,1.0
104,MLM,2011-04-05 00:00:00+00:00,90.45,90.54,89.01,89.73,202000,80.3427439029,80.4226869317,79.0636554428,79.7031996728,202000,0.0,1.0
105,MLM,2011-04-06 00:00:00+00:00,91.17,91.52,90.52,90.99,183800,80.982288133,81.2931776893,80.4049218142,80.8224020755,183800,0.0,1.0
106,MLM,2011-04-07 00:00:00+00:00,90.93,92.32,90.8,91.02,249100,80.769106723,82.0037823893,80.6536334592,80.8490497517,249100,0.0,1.0
107,MLM,2011-04-08 00:00:00+00:00,90.11,91.8,89.65,91.58,315300,80.0407369054,81.5418893343,79.6321392028,81.3464730418,315300,0.0,1.0
108,MLM,2011-04-11 00:00:00+00:00,88.45,90.02,88.0,90.02,266700,78.5662321527,79.9607938766,78.1665170089,79.9607938766,266700,0.0,1.0
109,MLM,2011-04-12 00:00:00+00:00,88.0,88.89,87.58,87.7,323900,78.1665170089,78.9570647377,77.7934495414,77.9000402464,323900,0.0,1.0
110,MLM,2011-04-13 00:00:00+00:00,88.71,88.91,87.6,88.71,338000,78.7971786802,78.9748298552,77.8112146589,78.7971786802,338000,0.0,1.0
111,MLM,2011-04-14 00:00:00+00:00,88.72,88.85,87.62,88.09,236200,78.806061239,78.9215345027,77.8289797764,78.2464600377,236200,0.0,1.0
112,MLM,2011-04-15 00:00:00+00:00,89.01,89.72,88.21,88.77,127200,79.0636554428,79.6943171141,78.3530507427,78.8504740327,127200,0.0,1.0
113,MLM,2011-04-18 00:00:00+00:00,86.56,87.8,86.35,87.61,479200,76.8874285488,77.9888658339,76.700894815,77.8200972176,479200,0.0,1.0
114,MLM,2011-04-19 00:00:00+00:00,86.56,87.0899,85.64,86.88,248500,76.8874285488,77.358115337,76.0702331437,77.1716704288,248500,0.0,1.0
115,MLM,2011-04-20 00:00:00+00:00,87.99,88.33,87.09,87.79,247600,78.1576344502,78.4596414477,77.3582041626,77.9799832751,247600,0.0,1.0
116,MLM,2011-04-21 00:00:00+00:00,90.21,90.35,88.57,88.65,304200,80.1295624929,80.2539183154,78.6728228577,78.7438833277,304200,0.0,1.0
117,MLM,2011-04-25 00:00:00+00:00,90.93,91.05,89.79,90.24,346600,80.769106723,80.875697428,79.7564950253,80.1562101691,346600,0.0,1.0
118,MLM,2011-04-26 00:00:00+00:00,91.67,92.05,91.4515,91.73,399800,81.4264160705,81.7639533031,81.2323321618,81.479711423,399800,0.0,1.0
119,MLM,2011-04-27 00:00:00+00:00,92.06,92.22,91.31,91.67,631100,81.7728358618,81.9149568018,81.1066439555,81.4264160705,631100,0.0,1.0
120,MLM,2011-04-28 00:00:00+00:00,91.52,92.37,91.11,91.75,237500,81.2931776893,82.0481951831,80.9289927805,81.4974765405,237500,0.0,1.0
121,MLM,2011-04-29 00:00:00+00:00,91.19,92.2,91.0,91.45,317000,81.0000532505,81.8971916843,80.8312846342,81.230999778,317000,0.0,1.0
122,MLM,2011-05-02 00:00:00+00:00,90.92,92.0,90.89,91.57,448700,80.7602241642,81.7195405093,80.7335764879,81.337590483,448700,0.0,1.0
123,MLM,2011-05-03 00:00:00+00:00,89.11,90.98,88.16,90.79,677400,79.1524810303,80.8135195167,78.3086379489,80.6447509004,677400,0.0,1.0
124,MLM,2011-05-04 00:00:00+00:00,87.97,89.66,86.87,89.01,428400,78.1398693327,79.6410217616,77.16278787,79.0636554428,428400,0.0,1.0
125,MLM,2011-05-05 00:00:00+00:00,86.98,88.7,86.61,87.32,338300,77.2604960163,78.7882961215,76.9318413425,77.5625030138,338300,0.0,1.0
126,MLM,2011-05-06 00:00:00+00:00,87.19,88.53,86.91,88.04,233200,77.4470297501,78.6372926227,77.198318105,78.2020472439,233200,0.0,1.0
127,MLM,2011-05-09 00:00:00+00:00,86.68,87.36,86.25,87.03,219000,76.9940192538,77.5980332488,76.6120692275,77.3049088101,219000,0.0,1.0
128,MLM,2011-05-10 00:00:00+00:00,88.36,88.47,86.77,87.2,440200,78.4862891239,78.5839972702,77.0739622825,77.4559123088,440200,0.0,1.0
129,MLM,2011-05-11 00:00:00+00:00,87.57,88.31,86.01,88.29,425800,77.7845669826,78.4418763302,76.3988878175,78.4241112127,425800,0.0,1.0
130,MLM,2011-05-12 00:00:00+00:00,86.9,87.66,86.0,87.31,170000,77.1894355463,77.8645100114,76.3900052587,77.5536204551,170000,0.0,1.0
131,MLM,2011-05-13 00:00:00+00:00,86.47,87.14,85.86,87.14,186700,76.80748552,77.4026169563,76.2656494362,77.4026169563,186700,0.0,1.0
132,MLM,2011-05-16 00:00:00+00:00,86.75,87.2,85.93,85.93,255200,77.056197165,77.4559123088,76.3278273474,76.3278273474,255200,0.0,1.0
133,MLM,2011-05-17 00:00:00+00:00,86.53,87.32,86.34,86.37,292700,76.8607808725,77.5625030138,76.6920122562,76.7186599325,292700,0.0,1.0
134,MLM,2011-05-18 00:00:00+00:00,86.65,86.97,85.76,86.66,238400,76.9673715775,77.2516134575,76.1768238487,76.9762541363,238400,0.0,1.0
135,MLM,2011-05-19 00:00:00+00:00,86.85,87.38,85.91,86.97,118800,77.1450227525,77.6157983663,76.3100622299,77.2516134575,118800,0.0,1.0
136,MLM,2011-05-20 00:00:00+00:00,86.28,86.89,85.87,86.54,207900,76.6387169037,77.1805529875,76.2745319949,76.8696634313,207900,0.0,1.0
137,MLM,2011-05-23 00:00:00+00:00,85.2,85.89,84.5,84.7,181900,75.6794005586,76.2922971124,75.057621446,75.2352726211,181900,0.0,1.0
138,MLM,2011-05-24 00:00:00+00:00,84.93,85.51,84.44,85.42,313500,75.4395714723,75.9547598799,75.0043260935,75.8748168511,313500,0.0,1.0
139,MLM,2011-05-25 00:00:00+00:00,83.56,84.65,83.21,84.65,762800,74.2226609235,75.1908598273,73.9117713672,75.1908598273,762800,0.0,1.0
140,MLM,2011-05-26 00:00:00+00:00,83.22,83.28,81.98,83.15,833400,73.9206539259,73.9739492784,72.8192166408,73.8584760147,833400,0.0,1.0
141,MLM,2011-05-27 00:00:00+00:00,84.14,84.68,82.54,82.54,520400,75.0931516811,75.5750901397,73.6651858778,73.6651858778,520400,0.4,1.0
142,MLM,2011-05-31 00:00:00+00:00,85.66,85.75,84.5,84.77,344400,76.4497191942,76.5300422706,75.4144439868,75.6554132161,344400,0.0,1.0
143,MLM,2011-06-01 00:00:00+00:00,84.23,85.66,84.16,85.66,484600,75.1734747575,76.4497191942,75.1110012536,76.4497191942,484600,0.0,1.0
144,MLM,2011-06-02 00:00:00+00:00,83.68,84.57,83.37,84.17,139000,74.6826115126,75.4769174907,74.4059431382,75.1199260399,139000,0.0,1.0
145,MLM,2011-06-03 00:00:00+00:00,82.01,82.99,81.78,82.54,279000,73.1921722054,74.0668012599,72.9869021212,73.6651858778,279000,0.0,1.0
146,MLM,2011-06-06 00:00:00+00:00,81.05,81.84,80.67,81.76,233500,72.3353927234,73.0404508388,71.9962508451,72.9690525486,233500,0.0,1.0
147,MLM,2011-06-07 00:00:00+00:00,81.01,81.85,80.52,81.82,192000,72.2996935783,73.0493756251,71.8623790511,73.0226012663,192000,0.0,1.0
148,MLM,2011-06-08 00:00:00+00:00,80.46,81.13,80.28,80.75,172000,71.8088303335,72.4067910136,71.6481841806,72.0676491353,172000,0.0,1.0
149,MLM,2011-06-09 00:00:00+00:00,80.65,81.06,80.16,80.55,251400,71.9784012726,72.3443175097,71.5410867453,71.8891534099,251400,0.0,1.0
150,MLM,2011-06-10 00:00:00+00:00,79.07,80.4,78.75,80.24,207000,70.5682850418,71.7552816158,70.2826918812,71.6124850355,207000,0.0,1.0
151,MLM,2011-06-13 00:00:00+00:00,79.37,79.93,78.95,79.16,195000,70.83602863,71.3358166611,70.4611876066,70.6486081183,195000,0.0,1.0
152,MLM,2011-06-14 00:00:00+00:00,82.38,82.9,80.26,80.26,692300,73.5223892974,73.9864781835,71.6303346081,71.6303346081,692300,0.0,1.0
153,MLM,2011-06-15 00:00:00+00:00,79.76,81.65,79.17,81.24,481200,71.1840952945,72.8708798997,70.6575329046,72.5049636626,481200,0.0,1.0
154,MLM,2011-06-16 00:00:00+00:00,79.99,81.04,79.13,79.8,325300,71.3893653787,72.3264679372,70.6218337595,71.2197944396,325300,0.0,1.0
155,MLM,2011-06-17 00:00:00+00:00,80.86,81.11,79.93,80.49,304000,72.1658217843,72.3889414411,71.3358166611,71.8356046923,304000,0.0,1.0
156,MLM,2011-06-20 00:00:00+00:00,81.3,82.0,79.99,80.44,251800,72.5585123802,73.1832474191,71.3893653787,71.7909807609,251800,0.0,1.0
157,MLM,2011-06-21 00:00:00+00:00,82.37,82.64,81.37,81.76,178200,73.5134645112,73.7544337405,72.6209858841,72.9690525486,178200,0.0,1.0
158,MLM,2011-06-22 00:00:00+00:00,81.24,81.99,81.1425,81.86,188800,72.5049636626,73.1743226329,72.4179469964,73.0583004114,188800,0.0,1.0
