,Name,Date,Close,High,Low,Open,Volume,Adj Close,Adjhigh,Adjlow,Adjopen,Adjvolume,Divcash,Splitfactor
0,MO,2010-11-04 00:00:00+00:00,26.15,26.15,25.83,25.93,13091800,15.4970413176,15.4970413176,15.3074025711,15.3666646794,13091800,0.0,1.0
1,MO,2010-11-05 00:00:00+00:00,26.11,26.22,26.0,26.21,10033900,15.4733364743,15.5385247934,15.4081481552,15.5325985826,10033900,0.0,1.0
2,MO,2010-11-08 00:00:00+00:00,25.87,25.9611,25.75,25.93,10294400,15.3311074144,15.385095195,15.2599928844,15.3666646794,10294400,0.0,1.0
3,MO,2010-11-09 00:00:00+00:00,25.58,25.95,25.53,25.95,14061500,15.1592473003,15.378517101,15.1296162462,15.378517101,14061500,0.0,1.0
4,MO,2010-11-10 00:00:00+00:00,25.21,25.56,24.94,25.53,21507200,14.9399774997,15.1473948787,14.7799698073,15.1296162462,21507200,0.0,1.0
5,MO,2010-11-11 00:00:00+00:00,25.23,25.29,24.95,24.95,10487600,14.9518299213,14.9873871863,14.7858960181,14.7858960181,10487600,0.0,1.0
6,MO,2010-11-12 00:00:00+00:00,24.85,25.05,24.54,25.04,18158100,14.7266339098,14.8451581264,14.5429213741,14.8392319156,18158100,0.0,1.0
7,MO,2010-11-15 00:00:00+00:00,24.69,24.9,24.66,24.88,11348400,14.6318145366,14.756264964,14.6140359041,14.7444125423,11348400,0.0,1.0
8,MO,2010-11-16 00:00:00+00:00,24.38,24.57,24.05,24.51,16483700,14.4481020009,14.5607000066,14.2525370435,14.5251427416,16483700,0.0,1.0
9,MO,2010-11-17 00:00:00+00:00,24.46,24.6,24.29,24.34,9214700,14.4955116875,14.5784786391,14.3947661034,14.4243971576,9214700,0.0,1.0
10,MO,2010-11-18 00:00:00+00:00,24.75,24.9,24.66,24.73,10741200,14.6673718015,14.756264964,14.6140359041,14.6555193799,10741200,0.0,1.0
11,MO,2010-11-19 00:00:00+00:00,24.74,24.82,24.55,24.78,10032100,14.6614455907,14.7088552773,14.548847585,14.685150434,10032100,0.0,1.0
12,MO,2010-11-22 00:00:00+00:00,24.48,24.71,24.34,24.6,11943200,14.5073641092,14.6436669582,14.4243971576,14.5784786391,11943200,0.0,1.0
13,MO,2010-11-23 00:00:00+00:00,24.54,24.61,24.18,24.31,13625000,14.5429213741,14.5844048499,14.3295777843,14.4066185251,13625000,0.0,1.0
14,MO,2010-11-24 00:00:00+00:00,24.57,24.72,24.38,24.69,9634200,14.5607000066,14.6495931691,14.4481020009,14.6318145366,9634200,0.0,1.0
15,MO,2010-11-26 00:00:00+00:00,24.36,24.49,24.32,24.35,5123700,14.4362495792,14.51329032,14.4125447359,14.4303233684,5123700,0.0,1.0
16,MO,2010-11-29 00:00:00+00:00,24.43,24.51,24.11,24.3,12899400,14.477733055,14.5251427416,14.2880943085,14.4006923142,12899400,0.0,1.0
17,MO,2010-11-30 00:00:00+00:00,24.0,24.35,23.9827,24.33,18993700,14.2229059894,14.4303233684,14.2126536446,14.4184709467,18993700,0.0,1.0
18,MO,2010-12-01 00:00:00+00:00,24.17,24.34,24.05,24.22,15975800,14.3236515735,14.4243971576,14.2525370435,14.3532826276,15975800,0.0,1.0
19,MO,2010-12-02 00:00:00+00:00,23.8,24.23,23.7,24.14,22566800,14.1043817728,14.3592088384,14.0451196645,14.305872941,22566800,0.0,1.0
20,MO,2010-12-03 00:00:00+00:00,23.81,23.98,23.75,23.78,14685400,14.1103079836,14.2110535677,14.0747507186,14.0925293511,14685400,0.0,1.0
21,MO,2010-12-06 00:00:00+00:00,24.05,24.11,23.81,23.83,20336200,14.2525370435,14.2880943085,14.1103079836,14.1221604053,20336200,0.0,1.0
22,MO,2010-12-07 00:00:00+00:00,24.05,24.21,23.97,24.19,12210400,14.2525370435,14.3473564168,14.2051273569,14.3355039951,12210400,0.0,1.0
23,MO,2010-12-08 00:00:00+00:00,24.4,24.42,24.04,24.05,12894100,14.4599544225,14.4718068442,14.2466108327,14.2525370435,12894100,0.0,1.0
24,MO,2010-12-09 00:00:00+00:00,24.59,24.61,24.43,24.56,12802900,14.5725524283,14.5844048499,14.477733055,14.5547737958,12802900,0.0,1.0
25,MO,2010-12-10 00:00:00+00:00,24.85,24.9,24.67,24.68,11570800,14.7266339098,14.756264964,14.6199621149,14.6258883257,11570800,0.0,1.0
26,MO,2010-12-13 00:00:00+00:00,24.74,24.93,24.65,24.93,9701800,14.6614455907,14.7740435965,14.6081096933,14.7740435965,9701800,0.0,1.0
27,MO,2010-12-14 00:00:00+00:00,24.79,24.82,24.655,24.77,6597800,14.6910766449,14.7088552773,14.6110727987,14.6792242232,6597800,0.0,1.0
