,Name,Date,Close,High,Low,Open,Volume,Adj Close,Adjhigh,Adjlow,Adjopen,Adjvolume,Divcash,Splitfactor
0,MSI,2010-11-04 00:00:00+00:00,8.1,8.13,8.02,8.11,40622400,47.2892646578,47.4644100825,46.8222101921,47.347646466,5803200,0.0,1.0
1,MSI,2010-11-05 00:00:00+00:00,8.2,8.21,8.05,8.09,28105000,47.87308274,47.9314645482,46.9973556167,47.2308828496,4015000,0.0,1.0
2,MSI,2010-11-08 00:00:00+00:00,8.15,8.28,8.07,8.16,30771300,47.5811736989,48.3401372058,47.1141192332,47.6395555071,4395900,0.0,1.0
3,MSI,2010-11-09 00:00:00+00:00,8.21,8.28,8.1,8.16,43859200,47.9314645482,48.3401372058,47.2892646578,47.6395555071,6265600,0.0,1.0
4,MSI,2010-11-10 00:00:00+00:00,8.2,8.21,8.06,8.17,30633400,47.87308274,47.9314645482,47.0557374249,47.6979373154,4376200,0.0,1.0
5,MSI,2010-11-11 00:00:00+00:00,8.1,8.15,7.83,8.04,75408200,47.2892646578,47.5811736989,45.7129558359,46.9389738085,10772600,0.0,1.0
6,MSI,2010-11-12 00:00:00+00:00,7.99,8.09,7.92,8.05,33138000,46.6470647674,47.2308828496,46.2383921099,46.9973556167,4734000,0.0,1.0
7,MSI,2010-11-15 00:00:00+00:00,7.94,8.2,7.93,8.16,41807500,46.3551557263,47.87308274,46.2967739181,47.6395555071,5972500,0.0,1.0
8,MSI,2010-11-16 00:00:00+00:00,7.81,8.04,7.79,8.03,42948500,45.5961922195,46.9389738085,45.479428603,46.8805920003,6135500,0.0,1.0
9,MSI,2010-11-17 00:00:00+00:00,7.91,7.98,7.81,7.83,37737000,46.1800103016,46.5886829592,45.5961922195,45.7129558359,5391000,0.0,1.0
10,MSI,2010-11-18 00:00:00+00:00,8.14,8.16,7.98,8.02,38376100,47.5227918907,47.6395555071,46.5886829592,46.8222101921,5482300,0.0,1.0
11,MSI,2010-11-19 00:00:00+00:00,8.12,8.19,8.03,8.09,39868500,47.4060282743,47.8147009318,46.8805920003,47.2308828496,5695500,0.0,1.0
12,MSI,2010-11-22 00:00:00+00:00,8.09,8.14,7.95,8.05,33171600,47.2308828496,47.5227918907,46.4135375345,46.9973556167,4738800,0.0,1.0
13,MSI,2010-11-23 00:00:00+00:00,7.86,8.01,7.81,7.98,50329300,45.8881012605,46.7638283838,45.5961922195,46.5886829592,7189900,0.0,1.0
14,MSI,2010-11-24 00:00:00+00:00,7.93,8.0,7.84,7.9,37716000,46.2967739181,46.7054465756,45.7713376441,46.1216284934,5388000,0.0,1.0
15,MSI,2010-11-26 00:00:00+00:00,7.82,7.88,7.81,7.83,12839400,45.6545740277,46.004864877,45.5961922195,45.7129558359,1834200,0.0,1.0
16,MSI,2010-11-29 00:00:00+00:00,7.77,7.85,7.7,7.79,38404800,45.3626649866,45.8297194523,44.953992329,45.479428603,5486400,0.0,1.0
17,MSI,2010-11-30 00:00:00+00:00,7.66,7.8,7.65,7.71,52319400,44.7204650962,45.5378104112,44.6620832879,45.0123741373,7474200,0.0,1.0
18,MSI,2010-12-01 00:00:00+00:00,8.01,8.2,7.82,7.87,98832300,46.7638283838,47.87308274,45.6545740277,45.9464830688,14118900,0.0,1.0
19,MSI,2010-12-02 00:00:00+00:00,7.97,8.01,7.87,7.89,90806800,46.530301151,46.7638283838,45.9464830688,46.0632466852,12972400,0.0,1.0
20,MSI,2010-12-03 00:00:00+00:00,8.24,8.26,7.85,7.93,110108600,48.1066099729,48.2233735893,45.8297194523,46.2967739181,15729800,0.0,1.0
21,MSI,2010-12-06 00:00:00+00:00,8.19,8.29,8.15,8.15,58998800,47.8147009318,48.398519014,47.5811736989,47.5811736989,8428400,0.0,1.0
22,MSI,2010-12-07 00:00:00+00:00,8.09,8.25,8.08,8.2,41190100,47.2308828496,48.1649917811,47.1725010414,47.87308274,5884300,0.0,1.0
23,MSI,2010-12-08 00:00:00+00:00,8.23,8.27,8.07,8.09,45360000,48.0482281647,48.2817553975,47.1141192332,47.2308828496,6480000,0.0,1.0
24,MSI,2010-12-09 00:00:00+00:00,8.34,8.4,8.14,8.2,43218000,48.6904280551,49.0407189044,47.5227918907,47.87308274,6174000,0.0,1.0
25,MSI,2010-12-10 00:00:00+00:00,8.64,8.69,8.32,8.33,116055800,50.4418823017,50.7337913428,48.5736644386,48.6320462469,16579400,0.0,1.0
26,MSI,2010-12-13 00:00:00+00:00,8.46,8.74,8.43,8.65,69802600,49.3910097537,51.0257003839,49.2158643291,50.5002641099,9971800,0.0,1.0
27,MSI,2010-12-14 00:00:00+00:00,8.46,8.53,8.38,8.39,37977100,49.3910097537,49.7996824113,48.923955288,48.9823370962,5425300,0.0,1.0
28,MSI,2010-12-15 00:00:00+00:00,8.47,8.54,8.35,8.39,51841300,49.4493915619,49.8580642195,48.7488098633,48.9823370962,7405900,0.0,1.0
29,MSI,2010-12-16 00:00:00+00:00,8.88,8.95,8.48,8.48,149243500,51.8430456989,52.2517183565,49.5077733702,49.5077733702,21320500,0.0,1.0
30,MSI,2010-12-17 00:00:00+00:00,8.88,8.91,8.75,8.86,65558500,51.8430456989,52.0181911236,51.0840821921,51.7262820825,9365500,0.0,1.0
31,MSI,2010-12-20 00:00:00+00:00,8.88,8.95,8.71,8.88,51233000,51.8430456989,52.2517183565,50.8505549592,51.8430456989,7319000,0.0,1.0
32,MSI,2010-12-21 00:00:00+00:00,9.0,9.16,8.83,8.9,52700900,52.5436273976,53.4777363291,51.5511366578,51.9598093154,7528700,0.0,1.0
33,MSI,2010-12-22 00:00:00+00:00,9.09,9.18,8.94,8.96,51200800,53.0690636716,53.5944999455,52.1933365483,52.3101001647,7314400,0.0,1.0
34,MSI,2010-12-23 00:00:00+00:00,9.05,9.16,9.0,9.09,37881900,52.8355364387,53.4777363291,52.5436273976,53.0690636716,5411700,0.0,1.0
35,MSI,2010-12-27 00:00:00+00:00,8.99,9.09,8.88,9.08,21703500,52.4852455894,53.0690636716,51.8430456989,53.0106818633,3100500,0.0,1.0
36,MSI,2010-12-28 00:00:00+00:00,8.96,9.05,8.93,8.96,16933000,52.3101001647,52.8355364387,52.13495474,52.3101001647,2419000,0.0,1.0
37,MSI,2010-12-29 00:00:00+00:00,8.97,9.02,8.93,8.95,13533800,52.3684819729,52.660391014,52.13495474,52.2517183565,1933400,0.0,1.0
38,MSI,2010-12-30 00:00:00+00:00,8.92,9.02,8.92,8.96,19457900,52.0765729318,52.660391014,52.0765729318,52.3101001647,2779700,0.0,1.0
39,MSI,2010-12-31 00:00:00+00:00,9.07,9.09,8.9,8.91,21955500,52.9523000551,53.0690636716,51.9598093154,52.0181911236,3136500,0.0,1.0
40,MSI,2011-01-03 00:00:00+00:00,9.11,9.23,9.08,9.1,7833000,53.185827288,53.8864089866,53.0106818633,53.1274454798,1119000,0.0,1.0
41,MSI,2011-01-04 00:00:00+00:00,39.77,39.99,37.12,37.3,12818516,33.169207327,33.35269301,30.959038873,31.1091635227,12818516,0.0,0.1428571429
42,MSI,2011-01-05 00:00:00+00:00,39.83,40.37,39.0,39.09,7825500,33.2192488769,33.669622826,32.5270074366,32.6020697614,7825500,0.0,1.0
43,MSI,2011-01-06 00:00:00+00:00,39.68,40.085,39.015,39.92,6588800,33.0941450022,33.431925464,32.5395178241,33.2943112018,6588800,0.0,1.0
44,MSI,2011-01-07 00:00:00+00:00,38.9,39.65,38.53,39.54,5385000,32.4436048534,33.0691242272,32.1350152957,32.9773813857,5385000,0.0,1.0
45,MSI,2011-01-10 00:00:00+00:00,38.53,39.31,38.35,38.63,5551900,32.1350152957,32.7855554444,31.984890646,32.2184178789,5551900,0.0,1.0
46,MSI,2011-01-11 00:00:00+00:00,38.38,38.95,38.17,38.61,4992700,32.0099114209,32.485306145,31.8347659963,32.2017373622,4992700,0.0,1.0
47,MSI,2011-01-12 00:00:00+00:00,37.96,38.6,37.84,38.32,5618700,31.6596205716,32.1933971039,31.5595374718,31.959869871,5618700,0.0,1.0
48,MSI,2011-01-13 00:00:00+00:00,37.85,38.17,37.77,37.77,4711100,31.5678777301,31.8347659963,31.5011556636,31.5011556636,4711100,0.0,1.0
49,MSI,2011-01-14 00:00:00+00:00,38.28,38.29,37.56,37.68,4145000,31.9265088378,31.9348490961,31.3260102389,31.4260933387,4145000,0.0,1.0
50,MSI,2011-01-18 00:00:00+00:00,37.71,38.19,37.6,37.93,2717200,31.4511141137,31.8514465129,31.3593712722,31.6345997967,2717200,0.0,1.0
51,MSI,2011-01-19 00:00:00+00:00,37.34,37.62,37.12,37.55,3626900,31.142524556,31.3760517888,30.959038873,31.3176699806,3626900,0.0,1.0
52,MSI,2011-01-20 00:00:00+00:00,37.04,37.34,36.52,37.19,3609700,30.8923168064,31.142524556,30.458623374,31.0174206812,3609700,0.0,1.0
53,MSI,2011-01-21 00:00:00+00:00,37.15,37.66,37.07,37.26,3233400,30.9840596479,31.4094128221,30.9173375814,31.0758024894,3233400,0.0,1.0
54,MSI,2011-01-24 00:00:00+00:00,38.66,38.68,37.13,37.13,7372400,32.2434386538,32.2601191704,30.9673791313,30.9673791313,7372400,0.0,1.0
55,MSI,2011-01-25 00:00:00+00:00,38.7,38.74,37.73,37.95,5569600,32.2767996871,32.3101607204,31.4677946303,31.6512803133,5569600,0.0,1.0
56,MSI,2011-01-26 00:00:00+00:00,39.24,39.4,38.6,38.62,5959000,32.7271736362,32.8606177693,32.1933971039,32.2100776205,5959000,0.0,1.0
57,MSI,2011-01-27 00:00:00+00:00,38.58,39.225,38.3,38.39,4044100,32.1767165873,32.7146632487,31.9431893544,32.0182516793,4044100,0.0,1.0
58,MSI,2011-01-28 00:00:00+00:00,37.96,39.04,37.87,38.79,2917500,31.6596205716,32.5603684699,31.5845582468,32.3518620119,2917500,0.0,1.0
59,MSI,2011-01-31 00:00:00+00:00,38.77,38.92,37.86,37.99,3561000,32.3351814953,32.4602853701,31.5762179884,31.6846413466,3561000,0.0,1.0
60,MSI,2011-02-01 00:00:00+00:00,39.02,39.23,38.83,38.91,4397000,32.5436879532,32.7188333779,32.3852230452,32.4519451117,4397000,0.0,1.0
61,MSI,2011-02-02 00:00:00+00:00,38.61,39.11,38.35,38.67,4227700,32.2017373622,32.6187502781,31.984890646,32.2517789121,4227700,0.0,1.0
62,MSI,2011-02-03 00:00:00+00:00,38.79,39.03,38.38,38.51,3450500,32.3518620119,32.5520282115,32.0099114209,32.1183347791,3450500,0.0,1.0
63,MSI,2011-02-04 00:00:00+00:00,39.31,39.33,38.43,38.66,4723700,32.7855554444,32.8022359611,32.0516127125,32.2434386538,4723700,0.0,1.0
64,MSI,2011-02-07 00:00:00+00:00,40.41,40.51,39.35,39.4,5092200,33.7029838593,33.7863864425,32.8189164777,32.8606177693,5092200,0.0,1.0
