,Name,Date,Close,High,Low,Open,Volume,Adj Close,Adjhigh,Adjlow,Adjopen,Adjvolume,Divcash,Splitfactor
0,MTB,2010-11-04 00:00:00+00:00,82.49,83.2,80.58,81.74,2186800,63.3222035237,63.867224308,61.8560208502,62.746477343,2186800,0.0,1.0
1,MTB,2010-11-05 00:00:00+00:00,82.7,84.49,82.26,82.6,2729000,63.4834068542,64.8574733388,63.1456474949,63.4066433635,2729000,0.0,1.0
2,MTB,2010-11-08 00:00:00+00:00,82.22,82.61,81.54,82.24,1442500,63.1149420986,63.4143197126,62.5929503615,63.1302947968,1442500,0.0,1.0
3,MTB,2010-11-09 00:00:00+00:00,80.32,82.87,79.95,82.87,1986300,61.6564357743,63.6139047885,61.3724108585,63.6139047885,1986300,0.0,1.0
4,MTB,2010-11-10 00:00:00+00:00,82.26,82.73,80.37,80.87,9431900,63.1456474949,63.5064359015,61.6948175197,62.0786349734,9431900,0.0,1.0
5,MTB,2010-11-11 00:00:00+00:00,82.09,83.0,81.19,81.72,2609000,63.0151495606,63.7136973265,62.3242781438,62.7311246448,2609000,0.0,1.0
6,MTB,2010-11-12 00:00:00+00:00,80.98,81.99,80.5499,81.5,1834700,62.1630748133,62.9383860699,61.8329150395,62.5622449652,1834700,0.0,1.0
7,MTB,2010-11-15 00:00:00+00:00,81.29,82.35,81.06,82.2,941200,62.4010416346,63.2147346366,62.2244856059,63.0995894005,941200,0.0,1.0
8,MTB,2010-11-16 00:00:00+00:00,79.76,81.17,78.78,80.72,1584400,61.2265602261,62.3089254457,60.4742780167,61.9634897373,1584400,0.0,1.0
9,MTB,2010-11-17 00:00:00+00:00,79.54,80.28,79.17,80.16,1267000,61.0576805464,61.625730378,60.7736556306,61.5336141891,1267000,0.0,1.0
10,MTB,2010-11-18 00:00:00+00:00,77.78,80.68,77.68,80.42,3502900,59.7066431091,61.932784341,59.6298796184,61.733199265,3502900,0.0,1.0
11,MTB,2010-11-19 00:00:00+00:00,77.8,78.7,77.23,77.53,2969300,59.7219958073,60.4128672241,59.28444391,59.5147343822,2969300,0.0,1.0
12,MTB,2010-11-22 00:00:00+00:00,76.86,78.05,76.48,76.94,2640000,59.0004189942,59.9139045341,58.7087177293,59.0618297868,2640000,0.0,1.0
13,MTB,2010-11-23 00:00:00+00:00,77.11,77.44,75.87,76.22,1610400,59.1923277211,59.4456472405,58.2404604357,58.5091326533,1610400,0.0,1.0
14,MTB,2010-11-24 00:00:00+00:00,77.32,77.93,76.48,77.51,822900,59.3535310516,59.8217883452,58.7087177293,59.4993816841,822900,0.0,1.0
15,MTB,2010-11-26 00:00:00+00:00,76.45,77.59,76.26,76.66,330100,58.6856886821,59.5607924767,58.5398380496,58.8468920127,330100,0.0,1.0
16,MTB,2010-11-29 00:00:00+00:00,76.99,77.38,75.35,75.66,747500,59.6375559674,59.9396555495,58.3671884939,58.607318931,747500,0.7,1.0
17,MTB,2010-11-30 00:00:00+00:00,76.96,77.2,75.97,76.62,1466100,59.614317538,59.8002249732,58.847449368,59.3509486716,1466100,0.0,1.0
18,MTB,2010-12-01 00:00:00+00:00,78.5,78.99,77.25,78.02,1113100,60.8072235802,61.1867845937,59.8389556888,60.4354087099,1113100,0.0,1.0
19,MTB,2010-12-02 00:00:00+00:00,80.64,80.75,78.48,78.645,1056400,62.4648982103,62.5501057848,60.791731294,60.9195426556,1056400,0.0,1.0
20,MTB,2010-12-03 00:00:00+00:00,80.86,81.07,79.22,80.28,849100,62.6353133592,62.797982365,61.3649458857,62.1860370576,849100,0.0,1.0
21,MTB,2010-12-06 00:00:00+00:00,79.64,80.84,79.45,80.57,565700,61.6902838972,62.619821073,61.5431071777,62.4106752084,565700,0.0,1.0
22,MTB,2010-12-07 00:00:00+00:00,79.47,80.85,79.14,80.0,754400,61.558599464,62.6275672161,61.3029767406,61.9691450499,754400,0.0,1.0
23,MTB,2010-12-08 00:00:00+00:00,81.34,81.98,79.445,79.6,1750600,63.0071282295,63.5028813899,61.5392341061,61.6592993247,1750600,0.0,1.0
24,MTB,2010-12-09 00:00:00+00:00,83.24,83.41,81.31,81.31,1132600,64.4788954245,64.6105798577,62.9838898001,62.9838898001,1132600,0.0,1.0
25,MTB,2010-12-10 00:00:00+00:00,85.02,86.2,83.82,83.87,1804400,65.8577089018,66.7717537913,64.9281717261,64.9669024417,1804400,0.0,1.0
26,MTB,2010-12-13 00:00:00+00:00,85.33,85.76,83.02,85.08,1722700,66.0978393389,66.4309234935,64.3084802756,65.9041857606,1722700,0.0,1.0
27,MTB,2010-12-14 00:00:00+00:00,83.86,85.93,83.47,85.27,820000,64.9591562986,66.5626079268,64.6570567165,66.0513624801,820000,0.0,1.0
28,MTB,2010-12-15 00:00:00+00:00,82.13,84.1,81.8608,83.5,836700,63.6190735369,65.1450637337,63.4105473638,64.6802951459,836700,0.0,1.0
29,MTB,2010-12-16 00:00:00+00:00,82.49,83.41,81.11,82.19,1048600,63.8979346896,64.6105798577,62.8289669375,63.6655503957,1048600,0.0,1.0
30,MTB,2010-12-17 00:00:00+00:00,82.75,83.38,82.29,82.5,1058300,64.099334411,64.5873414283,63.743011827,63.9056808327,1058300,0.0,1.0
31,MTB,2010-12-20 00:00:00+00:00,84.36,84.69,82.71,82.95,907600,65.3464634552,65.6020861785,64.0683498385,64.2542572736,907600,0.0,1.0
32,MTB,2010-12-21 00:00:00+00:00,85.74,86.25,84.33,84.63,724300,66.4154312073,66.810484507,65.3232250258,65.5556093197,724300,0.0,1.0
33,MTB,2010-12-22 00:00:00+00:00,86.16,86.84,85.32,85.76,756000,66.7407692188,67.2675069517,66.0900931958,66.4309234935,756000,0.0,1.0
34,MTB,2010-12-23 00:00:00+00:00,85.15,86.2901,85.01,85.98,480000,65.9584087625,66.8415465409,65.8499627587,66.6013386424,480000,0.0,1.0
35,MTB,2010-12-27 00:00:00+00:00,86.07,86.23,84.47,84.94,396600,66.6710539306,66.7949922207,65.4316710296,65.7957397568,396600,0.0,1.0
