,Name,Date,Close,High,Low,Open,Volume,Adj Close,Adjhigh,Adjlow,Adjopen,Adjvolume,Divcash,Splitfactor
0,MTD,2010-11-04 00:00:00+00:00,136.22,136.97,133.62,134.25,172300,136.22,136.97,133.62,134.25,172300,0.0,1.0
1,MTD,2010-11-05 00:00:00+00:00,141.48,141.81,139.25,139.65,272200,141.48,141.81,139.25,139.65,272200,0.0,1.0
2,MTD,2010-11-08 00:00:00+00:00,140.47,141.05,135.5,136.45,211800,140.47,141.05,135.5,136.45,211800,0.0,1.0
3,MTD,2010-11-09 00:00:00+00:00,139.18,140.94,138.9,140.55,139000,139.18,140.94,138.9,140.55,139000,0.0,1.0
4,MTD,2010-11-10 00:00:00+00:00,143.68,146.35,137.61,138.97,310400,143.68,146.35,137.61,138.97,310400,0.0,1.0
5,MTD,2010-11-11 00:00:00+00:00,144.44,145.02,141.76,142.5,145500,144.44,145.02,141.76,142.5,145500,0.0,1.0
6,MTD,2010-11-12 00:00:00+00:00,142.39,144.1,141.57,142.67,138400,142.39,144.1,141.57,142.67,138400,0.0,1.0
7,MTD,2010-11-15 00:00:00+00:00,144.23,144.85,142.34,142.66,124000,144.23,144.85,142.34,142.66,124000,0.0,1.0
8,MTD,2010-11-16 00:00:00+00:00,139.32,143.19,138.7,143.05,162600,139.32,143.19,138.7,143.05,162600,0.0,1.0
9,MTD,2010-11-17 00:00:00+00:00,141.13,141.56,139.09,139.21,141000,141.13,141.56,139.09,139.21,141000,0.0,1.0
10,MTD,2010-11-18 00:00:00+00:00,142.32,144.07,142.0,142.11,195200,142.32,144.07,142.0,142.11,195200,0.0,1.0
11,MTD,2010-11-19 00:00:00+00:00,143.32,143.58,141.99,142.3,69400,143.32,143.58,141.99,142.3,69400,0.0,1.0
12,MTD,2010-11-22 00:00:00+00:00,144.78,145.24,142.34,142.34,133900,144.78,145.24,142.34,142.34,133900,0.0,1.0
13,MTD,2010-11-23 00:00:00+00:00,142.35,143.1,141.56,143.05,162000,142.35,143.1,141.56,143.05,162000,0.0,1.0
14,MTD,2010-11-24 00:00:00+00:00,146.8,149.19,143.47,143.52,243300,146.8,149.19,143.47,143.52,243300,0.0,1.0
15,MTD,2010-11-26 00:00:00+00:00,146.08,146.87,145.55,145.89,60800,146.08,146.87,145.55,145.89,60800,0.0,1.0
16,MTD,2010-11-29 00:00:00+00:00,146.31,146.82,144.73,145.24,174300,146.31,146.82,144.73,145.24,174300,0.0,1.0
17,MTD,2010-11-30 00:00:00+00:00,145.18,146.25,144.7,144.75,122500,145.18,146.25,144.7,144.75,122500,0.0,1.0
18,MTD,2010-12-01 00:00:00+00:00,145.93,147.14,144.69,146.96,241100,145.93,147.14,144.69,146.96,241100,0.0,1.0
19,MTD,2010-12-02 00:00:00+00:00,149.23,149.71,145.91,145.91,142700,149.23,149.71,145.91,145.91,142700,0.0,1.0
20,MTD,2010-12-03 00:00:00+00:00,151.15,151.73,148.49,148.49,100600,151.15,151.73,148.49,148.49,100600,0.0,1.0
21,MTD,2010-12-06 00:00:00+00:00,150.87,151.21,149.87,150.99,61700,150.87,151.21,149.87,150.99,61700,0.0,1.0
22,MTD,2010-12-07 00:00:00+00:00,152.72,153.8,151.58,152.47,132100,152.72,153.8,151.58,152.47,132100,0.0,1.0
23,MTD,2010-12-08 00:00:00+00:00,152.48,153.58,151.64,152.61,97000,152.48,153.58,151.64,152.61,97000,0.0,1.0
24,MTD,2010-12-09 00:00:00+00:00,154.13,154.49,152.24,153.55,103500,154.13,154.49,152.24,153.55,103500,0.0,1.0
25,MTD,2010-12-10 00:00:00+00:00,155.19,156.85,153.86,154.07,159000,155.19,156.85,153.86,154.07,159000,0.0,1.0
26,MTD,2010-12-13 00:00:00+00:00,157.55,159.07,155.06,155.24,156300,157.55,159.07,155.06,155.24,156300,0.0,1.0
27,MTD,2010-12-14 00:00:00+00:00,157.08,158.35,156.29,157.55,135300,157.08,158.35,156.29,157.55,135300,0.0,1.0
28,MTD,2010-12-15 00:00:00+00:00,153.36,157.94,152.84,156.55,266500,153.36,157.94,152.84,156.55,266500,0.0,1.0
29,MTD,2010-12-16 00:00:00+00:00,155.36,155.61,153.42,153.48,167900,155.36,155.61,153.42,153.48,167900,0.0,1.0
30,MTD,2010-12-17 00:00:00+00:00,157.45,158.47,154.16,155.63,194400,157.45,158.47,154.16,155.63,194400,0.0,1.0
31,MTD,2010-12-20 00:00:00+00:00,156.93,158.61,155.35,157.64,103500,156.93,158.61,155.35,157.64,103500,0.0,1.0
32,MTD,2010-12-21 00:00:00+00:00,154.99,157.92,154.85,157.42,153600,154.99,157.92,154.85,157.42,153600,0.0,1.0
