,Name,Date,Close,High,Low,Open,Volume,Adj Close,Adjhigh,Adjlow,Adjopen,Adjvolume,Divcash,Splitfactor
0,MU,2010-11-04 00:00:00+00:00,8.56,8.68,8.45,8.47,44741200,8.56,8.68,8.45,8.47,44741200,0.0,1.0
1,MU,2010-11-05 00:00:00+00:00,8.655,8.78,8.47,8.57,24732700,8.655,8.78,8.47,8.57,24732700,0.0,1.0
2,MU,2010-11-08 00:00:00+00:00,8.24,8.64,8.22,8.62,47037000,8.24,8.64,8.22,8.62,47037000,0.0,1.0
3,MU,2010-11-09 00:00:00+00:00,7.9,8.32,7.83,8.3,48955100,7.9,8.32,7.83,8.3,48955100,0.0,1.0
4,MU,2010-11-10 00:00:00+00:00,7.871,7.99,7.75,7.92,40784800,7.871,7.99,7.75,7.92,40784800,0.0,1.0
5,MU,2010-11-11 00:00:00+00:00,7.85,7.89,7.7,7.77,33282700,7.85,7.89,7.7,7.77,33282700,0.0,1.0
6,MU,2010-11-12 00:00:00+00:00,7.72,7.86,7.46,7.8,38610900,7.72,7.86,7.46,7.8,38610900,0.0,1.0
7,MU,2010-11-15 00:00:00+00:00,7.42,7.66,7.42,7.65,35164900,7.42,7.66,7.42,7.65,35164900,0.0,1.0
8,MU,2010-11-16 00:00:00+00:00,7.22,7.41,7.13,7.36,37492300,7.22,7.41,7.13,7.36,37492300,0.0,1.0
9,MU,2010-11-17 00:00:00+00:00,7.1,7.32,7.09,7.25,29866900,7.1,7.32,7.09,7.25,29866900,0.0,1.0
10,MU,2010-11-18 00:00:00+00:00,7.2875,7.33,7.19,7.27,31839900,7.2875,7.33,7.19,7.27,31839900,0.0,1.0
11,MU,2010-11-19 00:00:00+00:00,7.39,7.545,7.26,7.27,31304800,7.39,7.545,7.26,7.27,31304800,0.0,1.0
12,MU,2010-11-22 00:00:00+00:00,7.321,7.5,7.23,7.45,22884300,7.321,7.5,7.23,7.45,22884300,0.0,1.0
13,MU,2010-11-23 00:00:00+00:00,7.42,7.52,7.18,7.21,36899800,7.42,7.52,7.18,7.21,36899800,0.0,1.0
14,MU,2010-11-24 00:00:00+00:00,7.75,7.85,7.47,7.48,54309300,7.75,7.85,7.47,7.48,54309300,0.0,1.0
15,MU,2010-11-26 00:00:00+00:00,7.63,7.68,7.55,7.64,10180600,7.63,7.68,7.55,7.64,10180600,0.0,1.0
16,MU,2010-11-29 00:00:00+00:00,7.571,7.63,7.48,7.57,18392800,7.571,7.63,7.48,7.57,18392800,0.0,1.0
17,MU,2010-11-30 00:00:00+00:00,7.269,7.4999,7.23,7.47,29110000,7.269,7.4999,7.23,7.47,29110000,0.0,1.0
18,MU,2010-12-01 00:00:00+00:00,7.39,7.525,7.32,7.45,28868400,7.39,7.525,7.32,7.45,28868400,0.0,1.0
19,MU,2010-12-02 00:00:00+00:00,7.91,7.91,7.42,7.44,47184900,7.91,7.91,7.42,7.44,47184900,0.0,1.0
20,MU,2010-12-03 00:00:00+00:00,7.919,7.98,7.74,7.8,29774300,7.919,7.98,7.74,7.8,29774300,0.0,1.0
21,MU,2010-12-06 00:00:00+00:00,7.955,8.04,7.8,7.87,26409900,7.955,8.04,7.8,7.87,26409900,0.0,1.0
22,MU,2010-12-07 00:00:00+00:00,7.92,8.29,7.88,8.12,36446200,7.92,8.29,7.88,8.12,36446200,0.0,1.0
23,MU,2010-12-08 00:00:00+00:00,7.94,7.95,7.72,7.89,26081900,7.94,7.95,7.72,7.89,26081900,0.0,1.0
24,MU,2010-12-09 00:00:00+00:00,8.19,8.3299,8.1,8.3299,30057700,8.19,8.3299,8.1,8.3299,30057700,0.0,1.0
25,MU,2010-12-10 00:00:00+00:00,8.25,8.32,8.07,8.2,31090800,8.25,8.32,8.07,8.2,31090800,0.0,1.0
26,MU,2010-12-13 00:00:00+00:00,8.14,8.38,8.14,8.3799,28082700,8.14,8.38,8.14,8.3799,28082700,0.0,1.0
27,MU,2010-12-14 00:00:00+00:00,8.065,8.19,8.0,8.15,25962700,8.065,8.19,8.0,8.15,25962700,0.0,1.0
28,MU,2010-12-15 00:00:00+00:00,7.92,8.105,7.88,8.0,20301400,7.92,8.105,7.88,8.0,20301400,0.0,1.0
29,MU,2010-12-16 00:00:00+00:00,8.05,8.1,7.88,7.96,19343400,8.05,8.1,7.88,7.96,19343400,0.0,1.0
30,MU,2010-12-17 00:00:00+00:00,8.21,8.22,8.0,8.06,42521900,8.21,8.22,8.0,8.06,42521900,0.0,1.0
31,MU,2010-12-20 00:00:00+00:00,8.115,8.365,8.1,8.29,24265800,8.115,8.365,8.1,8.29,24265800,0.0,1.0
32,MU,2010-12-21 00:00:00+00:00,8.14,8.29,8.09,8.2,30135600,8.14,8.29,8.09,8.2,30135600,0.0,1.0
33,MU,2010-12-22 00:00:00+00:00,8.28,8.3,8.09,8.17,43106100,8.28,8.3,8.09,8.17,43106100,0.0,1.0
34,MU,2010-12-23 00:00:00+00:00,7.94,8.1,7.91,8.08,35679400,7.94,8.1,7.91,8.08,35679400,0.0,1.0
35,MU,2010-12-27 00:00:00+00:00,7.81,7.9,7.75,7.88,15087600,7.81,7.9,7.75,7.88,15087600,0.0,1.0
36,MU,2010-12-28 00:00:00+00:00,7.76,7.85,7.65,7.81,15169100,7.76,7.85,7.65,7.81,15169100,0.0,1.0
37,MU,2010-12-29 00:00:00+00:00,7.75,7.82,7.65,7.78,13879700,7.75,7.82,7.65,7.78,13879700,0.0,1.0
38,MU,2010-12-30 00:00:00+00:00,7.9,7.92,7.68,7.71,13042600,7.9,7.92,7.68,7.71,13042600,0.0,1.0
39,MU,2010-12-31 00:00:00+00:00,8.02,8.04,7.84,7.91,15598400,8.02,8.04,7.84,7.91,15598400,0.0,1.0
40,MU,2011-01-03 00:00:00+00:00,8.275,8.48,8.14,8.14,43343100,8.275,8.48,8.14,8.14,43343100,0.0,1.0
41,MU,2011-01-04 00:00:00+00:00,8.44,8.58,8.36,8.38,44645900,8.44,8.58,8.36,8.38,44645900,0.0,1.0
42,MU,2011-01-05 00:00:00+00:00,8.54,8.78,8.4,8.41,38533500,8.54,8.78,8.4,8.41,38533500,0.0,1.0
43,MU,2011-01-06 00:00:00+00:00,8.58,8.7,8.55,8.67,25273800,8.58,8.7,8.55,8.67,25273800,0.0,1.0
44,MU,2011-01-07 00:00:00+00:00,8.645,8.7,8.45,8.56,24517000,8.645,8.7,8.45,8.56,24517000,0.0,1.0
45,MU,2011-01-10 00:00:00+00:00,8.55,8.68,8.39,8.68,30493200,8.55,8.68,8.39,8.68,30493200,0.0,1.0
46,MU,2011-01-11 00:00:00+00:00,8.72,8.73,8.48,8.62,27511400,8.72,8.73,8.48,8.62,27511400,0.0,1.0
47,MU,2011-01-12 00:00:00+00:00,9.34,9.495,8.84,8.85,92085800,9.34,9.495,8.84,8.85,92085800,0.0,1.0
48,MU,2011-01-13 00:00:00+00:00,9.63,9.87,9.58,9.79,75174700,9.63,9.87,9.58,9.79,75174700,0.0,1.0
49,MU,2011-01-14 00:00:00+00:00,9.71,9.86,9.65,9.73,40679500,9.71,9.86,9.65,9.73,40679500,0.0,1.0
50,MU,2011-01-18 00:00:00+00:00,9.66,9.91,9.59,9.75,28222900,9.66,9.91,9.59,9.75,28222900,0.0,1.0
51,MU,2011-01-19 00:00:00+00:00,9.37,9.68,9.22,9.61,43365400,9.37,9.68,9.22,9.61,43365400,0.0,1.0
52,MU,2011-01-20 00:00:00+00:00,9.6,9.66,9.27,9.46,31235700,9.6,9.66,9.27,9.46,31235700,0.0,1.0
53,MU,2011-01-21 00:00:00+00:00,9.8375,10.0,9.73,10.0,56867600,9.8375,10.0,9.73,10.0,56867600,0.0,1.0
54,MU,2011-01-24 00:00:00+00:00,10.05,10.08,9.62,9.83,65245900,10.05,10.08,9.62,9.83,65245900,0.0,1.0
55,MU,2011-01-25 00:00:00+00:00,9.975,10.22,9.89,10.05,51957000,9.975,10.22,9.89,10.05,51957000,0.0,1.0
56,MU,2011-01-26 00:00:00+00:00,9.95,10.1,9.9,10.02,38736200,9.95,10.1,9.9,10.02,38736200,0.0,1.0
57,MU,2011-01-27 00:00:00+00:00,10.59,10.65,10.33,10.36,82722000,10.59,10.65,10.33,10.36,82722000,0.0,1.0
58,MU,2011-01-28 00:00:00+00:00,10.37,10.77,10.16,10.76,51669200,10.37,10.77,10.16,10.76,51669200,0.0,1.0
59,MU,2011-01-31 00:00:00+00:00,10.54,10.63,10.25,10.5,34395000,10.54,10.63,10.25,10.5,34395000,0.0,1.0
60,MU,2011-02-01 00:00:00+00:00,10.81,10.9,10.65,10.67,40680300,10.81,10.9,10.65,10.67,40680300,0.0,1.0
61,MU,2011-02-02 00:00:00+00:00,10.89,11.0,10.68,10.69,28363400,10.89,11.0,10.68,10.69,28363400,0.0,1.0
62,MU,2011-02-03 00:00:00+00:00,10.895,11.02,10.74,11.0,24584200,10.895,11.02,10.74,11.0,24584200,0.0,1.0
63,MU,2011-02-04 00:00:00+00:00,11.05,11.1,10.81,10.9,28161100,11.05,11.1,10.81,10.9,28161100,0.0,1.0
64,MU,2011-02-07 00:00:00+00:00,11.29,11.43,11.15,11.17,51404700,11.29,11.43,11.15,11.17,51404700,0.0,1.0
65,MU,2011-02-08 00:00:00+00:00,11.44,11.46,11.02,11.33,39784000,11.44,11.46,11.02,11.33,39784000,0.0,1.0
66,MU,2011-02-09 00:00:00+00:00,11.26,11.6,11.18,11.47,49451400,11.26,11.6,11.18,11.47,49451400,0.0,1.0
67,MU,2011-02-10 00:00:00+00:00,11.31,11.38,11.02,11.07,36651100,11.31,11.38,11.02,11.07,36651100,0.0,1.0
68,MU,2011-02-11 00:00:00+00:00,11.321,11.5,11.14,11.21,53461100,11.321,11.5,11.14,11.21,53461100,0.0,1.0
69,MU,2011-02-14 00:00:00+00:00,11.65,11.95,11.51,11.53,66909300,11.65,11.95,11.51,11.53,66909300,0.0,1.0
70,MU,2011-02-15 00:00:00+00:00,11.67,11.82,11.51,11.68,37154500,11.67,11.82,11.51,11.68,37154500,0.0,1.0
71,MU,2011-02-16 00:00:00+00:00,11.63,11.82,11.55,11.8,32016100,11.63,11.82,11.55,11.8,32016100,0.0,1.0
72,MU,2011-02-17 00:00:00+00:00,11.8,11.87,11.55,11.58,25476300,11.8,11.87,11.55,11.58,25476300,0.0,1.0
73,MU,2011-02-18 00:00:00+00:00,11.701,11.89,11.65,11.88,23580000,11.701,11.89,11.65,11.88,23580000,0.0,1.0
74,MU,2011-02-22 00:00:00+00:00,10.921,11.45,10.85,11.4494,55901900,10.921,11.45,10.85,11.4494,55901900,0.0,1.0
75,MU,2011-02-23 00:00:00+00:00,10.55,10.88,10.27,10.84,59318200,10.55,10.88,10.27,10.84,59318200,0.0,1.0
76,MU,2011-02-24 00:00:00+00:00,10.91,10.95,10.45,10.61,49024300,10.91,10.95,10.45,10.61,49024300,0.0,1.0
77,MU,2011-02-25 00:00:00+00:00,11.44,11.45,11.11,11.14,39358300,11.44,11.45,11.11,11.14,39358300,0.0,1.0
78,MU,2011-02-28 00:00:00+00:00,11.13,11.66,10.92,11.62,47717800,11.13,11.66,10.92,11.62,47717800,0.0,1.0
79,MU,2011-03-01 00:00:00+00:00,10.96,11.3,10.94,11.2,28853400,10.96,11.3,10.94,11.2,28853400,0.0,1.0
80,MU,2011-03-02 00:00:00+00:00,11.09,11.28,10.96,10.97,40712200,11.09,11.28,10.96,10.97,40712200,0.0,1.0
81,MU,2011-03-03 00:00:00+00:00,11.57,11.63,11.26,11.2799,35260500,11.57,11.63,11.26,11.2799,35260500,0.0,1.0
82,MU,2011-03-04 00:00:00+00:00,11.64,11.67,11.39,11.6,32879300,11.64,11.67,11.39,11.6,32879300,0.0,1.0
83,MU,2011-03-07 00:00:00+00:00,11.03,11.67,10.85,11.66,52679800,11.03,11.67,10.85,11.66,52679800,0.0,1.0
84,MU,2011-03-08 00:00:00+00:00,10.89,11.1,10.81,10.98,33531400,10.89,11.1,10.81,10.98,33531400,0.0,1.0
85,MU,2011-03-09 00:00:00+00:00,10.32,10.84,10.3,10.83,57899800,10.32,10.84,10.3,10.83,57899800,0.0,1.0
86,MU,2011-03-10 00:00:00+00:00,9.925,10.14,9.65,10.06,69326200,9.925,10.14,9.65,10.06,69326200,0.0,1.0
87,MU,2011-03-11 00:00:00+00:00,10.24,10.29,9.9,9.91,46216700,10.24,10.29,9.9,9.91,46216700,0.0,1.0
88,MU,2011-03-14 00:00:00+00:00,10.36,10.85,10.34,10.66,51157100,10.36,10.85,10.34,10.66,51157100,0.0,1.0
89,MU,2011-03-15 00:00:00+00:00,10.43,10.54,9.85,10.01,56312600,10.43,10.54,9.85,10.01,56312600,0.0,1.0
90,MU,2011-03-16 00:00:00+00:00,10.055,10.6,10.0,10.33,56646700,10.055,10.6,10.0,10.33,56646700,0.0,1.0
91,MU,2011-03-17 00:00:00+00:00,10.21,10.37,10.14,10.25,27585700,10.21,10.37,10.14,10.25,27585700,0.0,1.0
92,MU,2011-03-18 00:00:00+00:00,10.07,10.41,10.02,10.4,33230700,10.07,10.41,10.02,10.4,33230700,0.0,1.0
93,MU,2011-03-21 00:00:00+00:00,10.36,10.43,10.18,10.28,27828700,10.36,10.43,10.18,10.28,27828700,0.0,1.0
94,MU,2011-03-22 00:00:00+00:00,10.35,10.37,10.16,10.27,35892700,10.35,10.37,10.16,10.27,35892700,0.0,1.0
95,MU,2011-03-23 00:00:00+00:00,10.61,10.7,10.19,10.35,52514000,10.61,10.7,10.19,10.35,52514000,0.0,1.0
96,MU,2011-03-24 00:00:00+00:00,11.5,11.55,11.19,11.33,100897100,11.5,11.55,11.19,11.33,100897100,0.0,1.0
97,MU,2011-03-25 00:00:00+00:00,11.55,11.7,11.41,11.52,34151500,11.55,11.7,11.41,11.52,34151500,0.0,1.0
98,MU,2011-03-28 00:00:00+00:00,11.55,11.82,11.51,11.62,33898600,11.55,11.82,11.51,11.62,33898600,0.0,1.0
