,Name,Date,Close,High,Low,Open,Volume,Adj Close,Adjhigh,Adjlow,Adjopen,Adjvolume,Divcash,Splitfactor
0,M,2010-11-04 00:00:00+00:00,25.56,25.85,24.6,24.67,11477800,17.5217924071,17.7205920862,16.8636969177,16.9116830471,11477800,0.0,1.0
1,M,2010-11-05 00:00:00+00:00,25.57,26.03,25.5,25.73,7505300,17.5286475685,17.8439849905,17.480661439,17.6383301501,7505300,0.0,1.0
2,M,2010-11-08 00:00:00+00:00,25.57,25.63,25.07,25.39,6574700,17.5286475685,17.5697785366,17.1858895011,17.4052546642,6574700,0.0,1.0
3,M,2010-11-09 00:00:00+00:00,25.22,25.75,25.01,25.74,7575700,17.2887169213,17.6520404728,17.144758533,17.6451853114,7575700,0.0,1.0
4,M,2010-11-10 00:00:00+00:00,24.86,25.6,24.74,25.33,12263400,17.0419311127,17.5492130525,16.9596691765,17.3641236961,12263400,0.0,1.0
5,M,2010-11-11 00:00:00+00:00,24.92,25.085,24.42,24.75,7344000,17.0830620808,17.1961722431,16.7403040134,16.9665243379,7344000,0.0,1.0
6,M,2010-11-12 00:00:00+00:00,25.06,25.28,24.63,24.74,10751700,17.1790343397,17.3298478894,16.8842624017,16.9596691765,10751700,0.0,1.0
7,M,2010-11-15 00:00:00+00:00,24.7,25.24,24.63,25.14,7762500,16.9322485312,17.302427244,16.8842624017,17.2338756305,7762500,0.0,1.0
8,M,2010-11-16 00:00:00+00:00,24.15,24.9,23.9,24.44,8772300,16.555214657,17.0693517581,16.3838356233,16.7540143361,8772300,0.0,1.0
9,M,2010-11-17 00:00:00+00:00,24.65,24.97,24.04,24.19,9480800,16.8979727244,17.1173378876,16.4798078821,16.5826353024,9480800,0.0,1.0
10,M,2010-11-18 00:00:00+00:00,24.73,25.2,24.7,25.01,6371400,16.9528140152,17.2750065986,16.9322485312,17.144758533,6371400,0.0,1.0
11,M,2010-11-19 00:00:00+00:00,25.08,25.18,24.6,24.73,6236000,17.1927446624,17.2612962759,16.8636969177,16.9528140152,6236000,0.0,1.0
12,M,2010-11-22 00:00:00+00:00,25.64,25.78,24.99,25.06,9155300,17.5766336979,17.6726059568,17.1310482103,17.1790343397,9155300,0.0,1.0
13,M,2010-11-23 00:00:00+00:00,25.45,26.14,25.3,25.35,11114500,17.4463856323,17.9193917654,17.3435582121,17.3778340188,11114500,0.0,1.0
14,M,2010-11-24 00:00:00+00:00,25.89,26.04,25.55,26.0,8252200,17.7480127316,17.8508401519,17.5149372458,17.8234195065,8252200,0.0,1.0
