,Name,Date,Close,High,Low,Open,Volume,Adj Close,Adjhigh,Adjlow,Adjopen,Adjvolume,Divcash,Splitfactor
0,NUE,2010-11-04 00:00:00+00:00,39.4,39.47,38.9,39.12,5102800,28.6848665501,28.7358295109,28.3208454009,28.4810147065,5102800,0.0,1.0
1,NUE,2010-11-05 00:00:00+00:00,40.4,40.81,39.36,39.36,4964700,29.4129088483,29.7114061905,28.6557448581,28.6557448581,4964700,0.0,1.0
2,NUE,2010-11-08 00:00:00+00:00,40.28,40.35,39.98,40.19,2620500,29.3255437725,29.3765067334,29.107131083,29.2600199656,2620500,0.0,1.0
3,NUE,2010-11-09 00:00:00+00:00,39.92,40.94,39.8,40.42,3813700,29.0634485451,29.8060516893,28.9760834693,29.4274696942,3813700,0.0,1.0
4,NUE,2010-11-10 00:00:00+00:00,40.5,40.56,39.615,39.96,2954400,29.4857130781,29.529395616,28.8413956442,29.0925702371,2954400,0.0,1.0
5,NUE,2010-11-11 00:00:00+00:00,40.64,40.71,40.06,40.22,2253400,29.5876389999,29.6386019607,29.1653744669,29.2818612346,2253400,0.0,1.0
6,NUE,2010-11-12 00:00:00+00:00,40.06,40.74,39.85,40.17,3787600,29.1653744669,29.6604432297,29.0124855843,29.2454591197,3787600,0.0,1.0
7,NUE,2010-11-15 00:00:00+00:00,39.36,40.35,39.35,40.28,2969000,28.6557448581,29.3765067334,28.6484644351,29.3255437725,2969000,0.0,1.0
8,NUE,2010-11-16 00:00:00+00:00,37.97,39.09,37.89,39.05,6064900,27.6437660636,28.4591734376,27.5855226797,28.4300517457,6064900,0.0,1.0
9,NUE,2010-11-17 00:00:00+00:00,37.64,38.55,37.62,37.93,4949400,27.4035121052,28.0660305966,27.3889512592,27.6146443717,4949400,0.0,1.0
10,NUE,2010-11-18 00:00:00+00:00,37.82,38.47,37.705,38.14,4029800,27.5345597189,28.0077872127,27.4508348546,27.7675332543,4029800,0.0,1.0
11,NUE,2010-11-19 00:00:00+00:00,37.96,38.24,37.51,37.85,4082600,27.6364856406,27.8403374841,27.3088666064,27.5564009878,4082600,0.0,1.0
12,NUE,2010-11-22 00:00:00+00:00,38.26,38.32,37.6,37.81,3028700,27.8548983301,27.898580868,27.3743904132,27.5272792959,3028700,0.0,1.0
13,NUE,2010-11-23 00:00:00+00:00,37.5,37.82,37.25,37.82,3066400,27.3015861834,27.5345597189,27.1195756089,27.5345597189,3066400,0.0,1.0
14,NUE,2010-11-24 00:00:00+00:00,37.96,38.02,37.45,37.64,3622300,27.6364856406,27.6801681785,27.2651840685,27.4035121052,3622300,0.0,1.0
15,NUE,2010-11-26 00:00:00+00:00,37.54,37.68,37.38,37.65,1233200,27.3307078754,27.4326337971,27.2142211076,27.4107925282,1233200,0.0,1.0
16,NUE,2010-11-29 00:00:00+00:00,37.62,37.66,37.0,37.38,3311800,27.3889512592,27.4180729511,26.9375650343,27.2142211076,3311800,0.0,1.0
17,NUE,2010-11-30 00:00:00+00:00,37.74,38.39,37.2,37.22,4301500,27.476316335,27.9495438288,27.083173494,27.0977343399,4301500,0.0,1.0
18,NUE,2010-12-01 00:00:00+00:00,39.22,39.25,38.41,38.49,4124100,28.5538189364,28.5756602053,27.9641046748,28.0223480587,4124100,0.0,1.0
19,NUE,2010-12-02 00:00:00+00:00,40.26,40.32,39.18,39.18,4648200,29.3109829265,29.3546654644,28.5246972444,28.5246972444,4648200,0.0,1.0
20,NUE,2010-12-03 00:00:00+00:00,39.91,40.28,39.62,40.18,4228800,29.0561681221,29.3255437725,28.8450358557,29.2527395427,4228800,0.0,1.0
21,NUE,2010-12-06 00:00:00+00:00,39.74,39.99,39.53,39.89,7125400,28.9324009314,29.114411506,28.7795120488,29.0416072762,7125400,0.0,1.0
22,NUE,2010-12-07 00:00:00+00:00,41.33,41.44,40.48,40.48,7834400,30.0899881856,30.1700728384,29.4711522321,29.4711522321,7834400,0.0,1.0
23,NUE,2010-12-08 00:00:00+00:00,41.2,41.98,40.815,41.46,5489200,29.9953426869,30.5632156795,29.715046402,30.1846336844,5489200,0.0,1.0
24,NUE,2010-12-09 00:00:00+00:00,41.44,41.65,40.88,41.37,3797100,30.1700728384,30.3229617211,29.7623691514,30.1191098776,3797100,0.0,1.0
25,NUE,2010-12-10 00:00:00+00:00,41.88,41.93,41.07,41.48,3031300,30.4904114496,30.5268135646,29.9006971881,30.1991945304,3031300,0.0,1.0
26,NUE,2010-12-13 00:00:00+00:00,42.71,42.96,42.04,42.24,6524300,31.0946865572,31.2766971317,30.6068982174,30.752506677,6524300,0.0,1.0
27,NUE,2010-12-14 00:00:00+00:00,43.19,43.28,42.65,42.73,7021300,31.4441468603,31.5096706672,31.0510040193,31.1092474031,7021300,0.0,1.0
28,NUE,2010-12-15 00:00:00+00:00,43.36,43.6,42.83,42.97,5173200,31.567914051,31.7426442026,31.182051633,31.2839775547,5173200,0.0,1.0
29,NUE,2010-12-16 00:00:00+00:00,44.35,44.47,42.4,42.61,10680400,32.2886759263,32.3760410021,30.8689934447,31.0218823274,10680400,0.0,1.0
30,NUE,2010-12-17 00:00:00+00:00,44.58,44.74,43.84,44.4,6991300,32.4561256549,32.5726124226,31.9173743542,32.3250780412,6991300,0.0,1.0
31,NUE,2010-12-20 00:00:00+00:00,44.29,44.8,44.16,44.71,4083800,32.2449933884,32.6162949605,32.1503478896,32.5507711536,4083800,0.0,1.0
32,NUE,2010-12-21 00:00:00+00:00,44.57,44.87,44.0,44.42,3882600,32.4488452319,32.6672579213,32.0338611219,32.3396388871,3882600,0.0,1.0
33,NUE,2010-12-22 00:00:00+00:00,44.5,44.69,44.24,44.6,3369700,32.397882271,32.5362103077,32.2085912735,32.4706865008,3369700,0.0,1.0
34,NUE,2010-12-23 00:00:00+00:00,44.57,44.84,44.35,44.35,2436200,32.4488452319,32.6454166524,32.2886759263,32.2886759263,2436200,0.0,1.0
35,NUE,2010-12-27 00:00:00+00:00,44.43,44.68,44.13,44.47,1731000,32.3469193101,32.5289298847,32.1285066207,32.3760410021,1731000,0.0,1.0
36,NUE,2010-12-28 00:00:00+00:00,44.56,44.73,44.36,44.5,2169700,32.4415648089,32.5653319996,32.2959563492,32.397882271,2169700,0.0,1.0
37,NUE,2010-12-29 00:00:00+00:00,44.25,44.58,44.2,44.37,2316500,32.4797870295,32.7220091701,32.4430867052,32.5678678079,2316500,0.3625,1.0
38,NUE,2010-12-30 00:00:00+00:00,44.46,44.7,44.18,44.18,1805300,32.6339283917,32.8100899485,32.4284065755,32.4284065755,1805300,0.0,1.0
39,NUE,2010-12-31 00:00:00+00:00,43.82,44.48,43.68,44.31,2436000,32.1641642403,32.6486085215,32.0614033322,32.5238274187,2436000,0.0,1.0
40,NUE,2011-01-03 00:00:00+00:00,44.21,44.59,43.92,44.24,3071500,32.4504267701,32.729349235,32.237564889,32.4724469647,3071500,0.0,1.0
41,NUE,2011-01-04 00:00:00+00:00,43.83,44.51,42.81,44.26,4724300,32.1715043052,32.670628716,31.4228176889,32.4871270944,4724300,0.0,1.0
42,NUE,2011-01-05 00:00:00+00:00,44.32,44.7,43.14,43.54,3852600,32.5311674836,32.8100899485,31.6650398295,31.9586424241,3852600,0.0,1.0
43,NUE,2011-01-06 00:00:00+00:00,43.91,44.51,43.81,44.24,2835100,32.2302248241,32.670628716,32.1568241755,32.4724469647,2835100,0.0,1.0
44,NUE,2011-01-07 00:00:00+00:00,43.99,44.45,43.32,43.89,5602700,32.288945343,32.6265883269,31.7971609971,32.2155446944,5602700,0.0,1.0
45,NUE,2011-01-10 00:00:00+00:00,43.75,44.16,43.17,43.86,4221000,32.1127837863,32.4137264458,31.6870600241,32.1935244998,4221000,0.0,1.0
46,NUE,2011-01-11 00:00:00+00:00,44.72,44.82,43.84,43.86,4475700,32.8247700782,32.8981707269,32.1788443701,32.1935244998,4475700,0.0,1.0
47,NUE,2011-01-12 00:00:00+00:00,44.73,45.25,44.36,44.98,3211900,32.8321101431,33.2137935161,32.5605277431,33.0156117647,3211900,0.0,1.0
48,NUE,2011-01-13 00:00:00+00:00,44.72,45.24,44.55,44.73,2791300,32.8247700782,33.2064534512,32.6999889755,32.8321101431,2791300,0.0,1.0
49,NUE,2011-01-14 00:00:00+00:00,44.2,44.74,44.1,44.55,3069100,32.4430867052,32.839450208,32.3696860566,32.6999889755,3069100,0.0,1.0
50,NUE,2011-01-18 00:00:00+00:00,45.04,45.2,44.4953,44.61,2968700,33.0596521539,33.1770931918,32.6598388207,32.7440293647,2968700,0.0,1.0
51,NUE,2011-01-19 00:00:00+00:00,43.79,45.19,43.65,45.07,4926400,32.1421440457,33.1697531269,32.0393831376,33.0816723485,4926400,0.0,1.0
52,NUE,2011-01-20 00:00:00+00:00,44.62,44.64,43.31,43.58,5277200,32.7513694296,32.7660495593,31.7898209322,31.9880026836,5277200,0.0,1.0
53,NUE,2011-01-21 00:00:00+00:00,44.55,45.32,44.44,45.05,8182300,32.6999889755,33.2651739702,32.619248262,33.0669922188,8182300,0.0,1.0
54,NUE,2011-01-24 00:00:00+00:00,45.07,45.46,44.51,44.66,2985700,33.0816723485,33.3679348783,32.670628716,32.780729689,2985700,0.0,1.0
55,NUE,2011-01-25 00:00:00+00:00,44.94,45.2,44.17,44.54,4050600,32.9862515053,33.1770931918,32.4210665106,32.6926489106,4050600,0.0,1.0
56,NUE,2011-01-26 00:00:00+00:00,46.5,46.65,45.25,45.25,6451500,34.1313016243,34.2414025973,33.2137935161,33.2137935161,6451500,0.0,1.0
57,NUE,2011-01-27 00:00:00+00:00,45.4,46.73,44.82,46.73,5751800,33.3238944891,34.3001231162,32.8981707269,34.3001231162,5751800,0.0,1.0
