,Name,Date,Close,High,Low,Open,Volume,Adj Close,Adjhigh,Adjlow,Adjopen,Adjvolume,Divcash,Splitfactor
0,O,2010-11-04 00:00:00+00:00,35.13,35.16,34.55,34.59,737900,22.2118244933,22.2307927465,21.8451049315,21.8703959358,737900,0.0,1.0
1,O,2010-11-05 00:00:00+00:00,35.22,35.47,34.97,35.09,440300,22.2687292529,22.4267980296,22.1106604763,22.1865334891,440300,0.0,1.0
2,O,2010-11-08 00:00:00+00:00,35.06,35.28,34.7,35.16,354400,22.1675652359,22.3066657593,21.9399461975,22.2307927465,354400,0.0,1.0
3,O,2010-11-09 00:00:00+00:00,34.19,35.22,34.03,35.22,768700,21.6174858932,22.2687292529,21.5163218761,22.2687292529,768700,0.0,1.0
4,O,2010-11-10 00:00:00+00:00,34.11,34.57,33.91,34.19,803200,21.5669038846,21.8577504337,21.4404488633,21.6174858932,803200,0.0,1.0
5,O,2010-11-11 00:00:00+00:00,34.04,34.3199,33.91,33.97,534900,21.5226446272,21.6996184295,21.4404488633,21.4783853697,534900,0.0,1.0
6,O,2010-11-12 00:00:00+00:00,33.86,34.14,33.63,33.82,655000,21.408835108,21.5858721378,21.2634118335,21.3835441037,655000,0.0,1.0
7,O,2010-11-15 00:00:00+00:00,33.82,34.216,33.77,34.07,561500,21.3835441037,21.6339250459,21.3519303484,21.5416128804,561500,0.0,1.0
8,O,2010-11-16 00:00:00+00:00,33.13,33.76,32.91,33.61,1126900,20.9472742802,21.3456075974,20.8081737568,21.2507663314,1126900,0.0,1.0
9,O,2010-11-17 00:00:00+00:00,33.65,33.79,33.17,33.18,581100,21.2760573356,21.3645758505,20.9725652845,20.9788880355,581100,0.0,1.0
10,O,2010-11-18 00:00:00+00:00,33.34,34.12,33.2175,33.99,728200,21.0800520526,21.5732266357,21.002598352,21.4910308719,728200,0.0,1.0
11,O,2010-11-19 00:00:00+00:00,33.69,33.76,33.0,33.34,783200,21.3013483399,21.3456075974,20.8650785164,21.0800520526,783200,0.0,1.0
12,O,2010-11-22 00:00:00+00:00,33.85,33.92,33.51,33.56,615700,21.4025123569,21.4467716144,21.1875388207,21.219152576,615700,0.0,1.0
13,O,2010-11-23 00:00:00+00:00,33.82,33.96,33.55,33.6,680300,21.3835441037,21.4720626187,21.212829825,21.2444435803,680300,0.0,1.0
14,O,2010-11-24 00:00:00+00:00,34.39,34.47,33.94,34.09,644600,21.7439409145,21.794522923,21.4594171165,21.5542583825,644600,0.0,1.0
15,O,2010-11-26 00:00:00+00:00,34.4,34.57,34.19,34.26,233200,21.7502636655,21.8577504337,21.6174858932,21.6617451506,233200,0.0,1.0
16,O,2010-11-29 00:00:00+00:00,34.31,34.5,33.92,34.19,727700,21.7843670041,21.9050032539,21.5367452282,21.7081756884,727700,0.1439375,1.0
17,O,2010-11-30 00:00:00+00:00,34.05,34.26,33.74,34.09,909600,21.6192858202,21.7526206226,21.4224582547,21.6446829254,909600,0.0,1.0
18,O,2010-12-01 00:00:00+00:00,34.0,34.35,33.65,34.35,905700,21.5875394386,21.8097641093,21.3653147679,21.8097641093,905700,0.0,1.0
19,O,2010-12-02 00:00:00+00:00,34.1,34.17,33.9,34.0,879500,21.6510322017,21.6954771358,21.5240466756,21.5875394386,879500,0.0,1.0
20,O,2010-12-03 00:00:00+00:00,34.02,34.02,33.1,33.33,7520200,21.6002379912,21.6002379912,21.0161045711,21.1621379262,7520200,0.0,1.0
21,O,2010-12-06 00:00:00+00:00,33.84,33.98,33.72,33.92,1078000,21.4859510178,21.574840886,21.4097597021,21.5367452282,1078000,0.0,1.0
22,O,2010-12-07 00:00:00+00:00,34.06,34.24,33.76,33.86,1766600,21.6256350965,21.73992207,21.4351568073,21.4986495704,1766600,0.0,1.0
23,O,2010-12-08 00:00:00+00:00,33.41,34.14,33.21,34.1,1133100,21.2129321366,21.6764293069,21.0859466105,21.6510322017,1133100,0.0,1.0
24,O,2010-12-09 00:00:00+00:00,33.22,33.67,33.18,33.53,709100,21.0922958868,21.3780133206,21.0668987816,21.2891234523,709100,0.0,1.0
25,O,2010-12-10 00:00:00+00:00,33.59,33.67,33.16,33.29,700200,21.3272191101,21.3780133206,21.054200229,21.1367408209,700200,0.0,1.0
26,O,2010-12-13 00:00:00+00:00,33.85,33.92,33.54,33.75,859600,21.4923002941,21.5367452282,21.2954727286,21.428807531,859600,0.0,1.0
27,O,2010-12-14 00:00:00+00:00,33.81,34.22,33.75,33.83,1508200,21.4669031888,21.7272235174,21.428807531,21.4796017414,1508200,0.0,1.0
28,O,2010-12-15 00:00:00+00:00,33.16,34.0,33.14,33.88,1219000,21.054200229,21.5875394386,21.0415016764,21.511348123,1219000,0.0,1.0
29,O,2010-12-16 00:00:00+00:00,33.31,33.52,33.15,33.17,725100,21.1494393736,21.282774176,21.0478509527,21.0605495053,725100,0.0,1.0
30,O,2010-12-17 00:00:00+00:00,33.89,33.89,33.33,33.42,2246200,21.5176973993,21.5176973993,21.1621379262,21.2192814129,2246200,0.0,1.0
31,O,2010-12-20 00:00:00+00:00,34.13,34.25,33.77,33.89,713400,21.6700800306,21.7462713463,21.4415060836,21.5176973993,713400,0.0,1.0
32,O,2010-12-21 00:00:00+00:00,34.36,34.36,34.14,34.21,538700,21.8161133856,21.8161133856,21.6764293069,21.7208742411,538700,0.0,1.0
33,O,2010-12-22 00:00:00+00:00,34.61,34.77,34.31,34.31,620000,21.9748452933,22.0764337142,21.7843670041,21.7843670041,620000,0.0,1.0
34,O,2010-12-23 00:00:00+00:00,34.22,34.61,34.18,34.6,507400,21.7272235174,21.9748452933,21.7018264121,21.968496017,507400,0.0,1.0
35,O,2010-12-27 00:00:00+00:00,34.6,34.6,34.07,34.07,562200,21.968496017,21.968496017,21.6319843728,21.6319843728,562200,0.0,1.0
36,O,2010-12-28 00:00:00+00:00,34.65,34.72,34.39,34.72,539200,22.0002423985,22.0446873326,21.8351612146,22.0446873326,539200,0.0,1.0
37,O,2010-12-29 00:00:00+00:00,34.62,34.75,34.431,34.75,448700,21.9811945696,22.0637351615,21.8611932474,22.0637351615,448700,0.0,1.0
38,O,2010-12-30 00:00:00+00:00,34.41,34.56,34.35,34.48,450200,21.9394480779,22.035086474,21.9011927194,21.9840793294,450200,0.14425,1.0
39,O,2010-12-31 00:00:00+00:00,34.2,34.47,34.2,34.33,683900,21.8055543233,21.9777034363,21.8055543233,21.8884409333,683900,0.0,1.0
40,O,2011-01-03 00:00:00+00:00,34.58,34.6,34.2,34.41,1053000,22.0478382602,22.0605900463,21.8055543233,21.9394480779,1053000,0.0,1.0
41,O,2011-01-04 00:00:00+00:00,33.89,34.7,33.66,34.67,690400,21.6079016379,22.1243489771,21.4612560971,22.1052212979,690400,0.0,1.0
42,O,2011-01-05 00:00:00+00:00,33.86,34.0299,33.72,33.8,594900,21.5887739586,21.697100382,21.4995114556,21.5505186002,594900,0.0,1.0
43,O,2011-01-06 00:00:00+00:00,33.63,33.9861,33.6,33.8,558800,21.4421284179,21.6691739703,21.4230007386,21.5505186002,558800,0.0,1.0
44,O,2011-01-07 00:00:00+00:00,33.81,33.98,33.58,33.68,516700,21.5568944933,21.6652846756,21.4102489525,21.4740078833,516700,0.0,1.0
45,O,2011-01-10 00:00:00+00:00,33.71,33.8925,33.48,33.66,513800,21.4931355625,21.6094956111,21.3464900217,21.4612560971,513800,0.0,1.0
46,O,2011-01-11 00:00:00+00:00,33.55,33.93,33.4,33.81,561200,21.3911212732,21.6334052102,21.2954828771,21.5568944933,561200,0.0,1.0
47,O,2011-01-12 00:00:00+00:00,33.6,33.82,33.4,33.82,547600,21.4230007386,21.5632703863,21.2954828771,21.5632703863,547600,0.0,1.0
48,O,2011-01-13 00:00:00+00:00,33.68,33.78,33.485,33.65,438400,21.4740078833,21.537766814,21.3496779682,21.454880204,438400,0.0,1.0
49,O,2011-01-14 00:00:00+00:00,33.71,33.79,33.56,33.69,506400,21.4931355625,21.5441427071,21.3974971663,21.4803837763,506400,0.0,1.0
50,O,2011-01-18 00:00:00+00:00,34.42,34.44,33.646,33.86,902600,21.9458239709,21.9585757571,21.4523298468,21.5887739586,902600,0.0,1.0
51,O,2011-01-19 00:00:00+00:00,33.96,34.49,33.87,34.49,673100,21.6525328894,21.9904552225,21.5951498517,21.9904552225,673100,0.0,1.0
52,O,2011-01-20 00:00:00+00:00,33.7,34.11,33.65,33.85,712900,21.4867596694,21.7481712856,21.454880204,21.5823980656,712900,0.0,1.0
53,O,2011-01-21 00:00:00+00:00,33.83,34.0,33.58,33.81,538000,21.5696462794,21.6780364617,21.4102489525,21.5568944933,538000,0.0,1.0
54,O,2011-01-24 00:00:00+00:00,34.19,34.38,33.93,33.98,572800,21.7991784302,21.9203203986,21.6334052102,21.6652846756,572800,0.0,1.0
55,O,2011-01-25 00:00:00+00:00,34.72,34.72,34.08,34.18,687700,22.1371007633,22.1371007633,21.7290436063,21.7928025371,687700,0.0,1.0
56,O,2011-01-26 00:00:00+00:00,34.81,34.98,34.5,34.87,543200,22.1944838009,22.3028739833,21.9968311156,22.2327391594,543200,0.0,1.0
57,O,2011-01-27 00:00:00+00:00,35.12,35.2,34.79,35.08,669800,22.3921364863,22.443143631,22.1817320148,22.366632914,669800,0.0,1.0
58,O,2011-01-28 00:00:00+00:00,34.54,35.07,34.5,35.07,564200,22.1143069455,22.4536405495,22.0886968622,22.4536405495,564200,0.14425,1.0
59,O,2011-01-31 00:00:00+00:00,34.96,35.11,34.65,34.75,559600,22.3832128203,22.4792506328,22.1847346746,22.2487598829,559600,0.0,1.0
60,O,2011-02-01 00:00:00+00:00,35.08,35.22,34.68,35.11,658200,22.4600430703,22.5496783619,22.2039422371,22.4792506328,658200,0.0,1.0
61,O,2011-02-02 00:00:00+00:00,34.82,35.08,34.81,35.0,438600,22.2935775287,22.4600430703,22.2871750079,22.4088229037,438600,0.0,1.0
62,O,2011-02-03 00:00:00+00:00,35.0,35.17,34.7,34.85,521300,22.4088229037,22.5176657578,22.2167472788,22.3127850912,521300,0.0,1.0
63,O,2011-02-04 00:00:00+00:00,34.55,35.16,34.44,35.15,585100,22.1207094663,22.5112632369,22.0502817372,22.5048607161,585100,0.0,1.0
64,O,2011-02-07 00:00:00+00:00,34.83,34.93,34.63,34.7,438800,22.2999800496,22.3640052579,22.171929633,22.2167472788,438800,0.0,1.0
65,O,2011-02-08 00:00:00+00:00,34.98,35.03,34.78,34.93,479200,22.396017862,22.4280304662,22.2679674454,22.3640052579,479200,0.0,1.0
