,Name,Date,Close,High,Low,Open,Volume,Adj Close,Adjhigh,Adjlow,Adjopen,Adjvolume,Divcash,Splitfactor
0,PGR,2010-11-04 00:00:00+00:00,21.97,21.99,21.54,21.68,4248600,15.3266698027,15.3406221648,15.0266940169,15.1243605518,4248600,0.0,1.0
1,PGR,2010-11-05 00:00:00+00:00,21.94,22.13,21.76,21.96,4014100,15.3057412595,15.4382886998,15.1801700003,15.3196936216,4014100,0.0,1.0
2,PGR,2010-11-08 00:00:00+00:00,21.75,21.91,21.68,21.73,2562900,15.1731938192,15.2848127163,15.1243605518,15.1592414571,2562900,0.0,1.0
3,PGR,2010-11-09 00:00:00+00:00,21.46,21.84,21.41,21.83,5231000,14.9708845683,15.2359794488,14.936003663,15.2290032678,5231000,0.0,1.0
4,PGR,2010-11-10 00:00:00+00:00,21.69,21.69,21.28,21.41,3907000,15.1313367328,15.1313367328,14.8453133091,14.936003663,3907000,0.0,1.0
5,PGR,2010-11-11 00:00:00+00:00,21.58,21.74,21.41,21.44,3034900,15.0545987411,15.1662176382,14.936003663,14.9569322062,3034900,0.0,1.0
6,PGR,2010-11-12 00:00:00+00:00,21.18,21.6,21.15,21.5,3291700,14.7755514985,15.0685511033,14.7546229553,14.9987892926,3291700,0.0,1.0
7,PGR,2010-11-15 00:00:00+00:00,21.2,21.3399,21.075,21.25,5707200,14.7895038606,14.8871006337,14.7023015973,14.8243847659,5707200,0.0,1.0
8,PGR,2010-11-16 00:00:00+00:00,20.85,21.18,20.77,21.11,4082600,14.5453375233,14.7755514985,14.4895280747,14.726718231,4082600,0.0,1.0
9,PGR,2010-11-17 00:00:00+00:00,20.65,20.915,20.6,20.84,4611000,14.405813902,14.5906827002,14.3709329966,14.5383613422,4611000,0.0,1.0
10,PGR,2010-11-18 00:00:00+00:00,20.91,21.05,20.79,20.83,2964100,14.5871946097,14.6848611446,14.5034804369,14.5313851611,2964100,0.0,1.0
11,PGR,2010-11-19 00:00:00+00:00,20.76,20.85,20.64,20.85,3737100,14.4825518937,14.5453375233,14.3988377209,14.5453375233,3737100,0.0,1.0
12,PGR,2010-11-22 00:00:00+00:00,20.97,21.01,20.58,20.63,12472000,14.6290516961,14.6569564203,14.3569806345,14.3918615398,12472000,0.0,1.0
13,PGR,2010-11-23 00:00:00+00:00,20.66,20.86,20.66,20.76,4768600,14.412790083,14.5523137043,14.412790083,14.4825518937,4768600,0.0,1.0
14,PGR,2010-11-24 00:00:00+00:00,20.86,20.88,20.72,20.81,3672600,14.5523137043,14.5662660665,14.4546471694,14.517432799,3672600,0.0,1.0
15,PGR,2010-11-26 00:00:00+00:00,20.65,20.83,20.63,20.67,1444500,14.405813902,14.5313851611,14.3918615398,14.4197662641,1444500,0.0,1.0
16,PGR,2010-11-29 00:00:00+00:00,20.5,20.57,20.3,20.57,3841100,14.301171186,14.3500044534,14.1616475646,14.3500044534,3841100,0.0,1.0
17,PGR,2010-11-30 00:00:00+00:00,20.34,20.44,20.24,20.27,21583600,14.1895522889,14.2593140996,14.1197904782,14.1407190214,21583600,0.0,1.0
18,PGR,2010-12-01 00:00:00+00:00,20.56,20.66,20.43,20.66,14166200,14.3430282724,14.412790083,14.2523379185,14.412790083,14166200,0.0,1.0
19,PGR,2010-12-02 00:00:00+00:00,20.9,20.92,20.48,20.55,11943600,14.5802184286,14.5941707907,14.2872188238,14.3360520913,11943600,0.0,1.0
20,PGR,2010-12-03 00:00:00+00:00,20.85,20.89,20.6,20.77,3427700,14.5453375233,14.5732422475,14.3709329966,14.4895280747,3427700,0.0,1.0
21,PGR,2010-12-06 00:00:00+00:00,20.78,20.86,20.68,20.76,6140500,14.4965042558,14.5523137043,14.4267424452,14.4825518937,6140500,0.0,1.0
22,PGR,2010-12-07 00:00:00+00:00,20.74,20.96,20.73,20.96,3633400,14.4685995315,14.622075515,14.4616233505,14.622075515,3633400,0.0,1.0
23,PGR,2010-12-08 00:00:00+00:00,20.8,20.86,20.7,20.73,2558000,14.5104566179,14.5523137043,14.4406948073,14.4616233505,2558000,0.0,1.0
24,PGR,2010-12-09 00:00:00+00:00,20.87,21.02,20.77,20.91,2542100,14.5592898854,14.6639326014,14.4895280747,14.5871946097,2542100,0.0,1.0
25,PGR,2010-12-10 00:00:00+00:00,20.97,21.01,20.85,20.91,3008800,14.6290516961,14.6569564203,14.5453375233,14.5871946097,3008800,0.0,1.0
26,PGR,2010-12-13 00:00:00+00:00,20.87,21.13,20.86,21.06,4478600,14.5592898854,14.7406705931,14.5523137043,14.6918373257,4478600,0.0,1.0
27,PGR,2010-12-14 00:00:00+00:00,20.44,20.85,20.42,20.66,7378400,14.2593140996,14.5453375233,14.2453617374,14.412790083,7378400,0.0,1.0
28,PGR,2010-12-15 00:00:00+00:00,20.75,20.78,20.38,20.45,6730100,14.4755757126,14.4965042558,14.2174570132,14.2662902806,6730100,0.0,1.0
29,PGR,2010-12-16 00:00:00+00:00,19.76,19.9,19.64,19.72,5544000,14.4825518937,14.585161067,14.3946011737,14.453234987,5544000,1.0,1.0
30,PGR,2010-12-17 00:00:00+00:00,19.62,19.815,19.54,19.75,7737000,14.3799427203,14.5228626403,14.321308907,14.475222667,7737000,0.0,1.0
31,PGR,2010-12-20 00:00:00+00:00,19.68,19.7425,19.57,19.67,2845800,14.4239180803,14.469725747,14.343296587,14.4165888537,2845800,0.0,1.0
32,PGR,2010-12-21 00:00:00+00:00,19.81,19.89,19.635,19.78,4550400,14.519198027,14.5778318403,14.3909365603,14.497210347,4550400,0.0,1.0
33,PGR,2010-12-22 00:00:00+00:00,19.82,19.93,19.79,19.8,2882800,14.5265272537,14.607148747,14.5045395737,14.5118688003,2882800,0.0,1.0
34,PGR,2010-12-23 00:00:00+00:00,19.75,19.88,19.72,19.82,1695900,14.475222667,14.5705026137,14.453234987,14.5265272537,1695900,0.0,1.0
35,PGR,2010-12-27 00:00:00+00:00,19.77,19.81,19.65,19.66,1843200,14.4898811203,14.519198027,14.4019304003,14.409259627,1843200,0.0,1.0
