,Name,Date,Close,High,Low,Open,Volume,Adj Close,Adjhigh,Adjlow,Adjopen,Adjvolume,Divcash,Splitfactor
0,PM,2010-11-04 00:00:00+00:00,60.82,60.83,59.7,59.88,8143400,38.0589800701,38.0652377123,37.3581241398,37.4707617001,8143400,0.0,1.0
1,PM,2010-11-05 00:00:00+00:00,60.44,60.87,60.18,60.87,7494700,37.8211896652,38.0902682813,37.6584909671,38.0902682813,7494700,0.0,1.0
2,PM,2010-11-08 00:00:00+00:00,60.22,60.39,59.85,60.03,6237200,37.683521536,37.789901454,37.4519887734,37.5646263336,6237200,0.0,1.0
3,PM,2010-11-09 00:00:00+00:00,59.56,60.2,59.41,60.01,5744300,37.2705171486,37.6710062516,37.176652515,37.5521110491,5744300,0.0,1.0
4,PM,2010-11-10 00:00:00+00:00,59.61,59.79,59.16,59.48,5302300,37.3018053597,37.41444292,37.0202114592,37.2204560107,5302300,0.0,1.0
5,PM,2010-11-11 00:00:00+00:00,59.82,59.86,59.02,59.05,5694300,37.4332158467,37.4582464156,36.9326044679,36.9513773946,5694300,0.0,1.0
6,PM,2010-11-12 00:00:00+00:00,59.64,59.88,59.29,59.66,5838700,37.3205782864,37.4707617001,37.1015608082,37.3330935709,5838700,0.0,1.0
7,PM,2010-11-15 00:00:00+00:00,59.45,59.96,59.35,59.61,4685000,37.201683084,37.5208228379,37.1391066616,37.3018053597,4685000,0.0,1.0
8,PM,2010-11-16 00:00:00+00:00,58.54,59.51,58.26,59.22,9158000,36.6322376406,37.2392289374,36.4570236581,37.0577573126,9158000,0.0,1.0
9,PM,2010-11-17 00:00:00+00:00,57.79,58.94,57.79,58.68,7483900,36.1629144731,36.88254333,36.1629144731,36.7198446319,7483900,0.0,1.0
10,PM,2010-11-18 00:00:00+00:00,59.45,59.85,58.34,58.51,9374300,37.201683084,37.4519887734,36.507084796,36.6134647139,9374300,0.0,1.0
11,PM,2010-11-19 00:00:00+00:00,59.81,59.86,58.97,59.46,7446400,37.4269582044,37.4582464156,36.9013162567,37.2079407262,7446400,0.0,1.0
12,PM,2010-11-22 00:00:00+00:00,59.48,59.53,58.86,59.24,7451000,37.2204560107,37.2517442219,36.8324821922,37.0702725971,7451000,0.0,1.0
13,PM,2010-11-23 00:00:00+00:00,58.77,58.96,58.41,58.78,8530600,36.776163412,36.8950586145,36.5508882916,36.7824210543,8530600,0.0,1.0
14,PM,2010-11-24 00:00:00+00:00,59.21,59.29,58.86,59.18,6333700,37.0514996704,37.1015608082,36.8324821922,37.0327267437,6333700,0.0,1.0
15,PM,2010-11-26 00:00:00+00:00,58.78,59.09,58.5,58.92,2064500,36.7824210543,36.9764079635,36.6072070717,36.8700280456,2064500,0.0,1.0
16,PM,2010-11-29 00:00:00+00:00,57.82,58.36,57.33,58.34,11539600,36.1816873998,36.5196000804,35.8750629303,36.507084796,11539600,0.0,1.0
17,PM,2010-11-30 00:00:00+00:00,56.89,57.58,56.75,57.48,11511900,35.599726672,36.0315039861,35.5121196807,35.9689275638,11511900,0.0,1.0
18,PM,2010-12-01 00:00:00+00:00,57.7,57.965,56.71,57.37,8113900,36.106595693,36.2724232122,35.4870891117,35.9000934992,8113900,0.0,1.0
19,PM,2010-12-02 00:00:00+00:00,57.93,58.0099,57.3,57.51,6584600,36.2505214643,36.3005200258,35.8562900036,35.9877004905,6584600,0.0,1.0
20,PM,2010-12-03 00:00:00+00:00,58.12,58.54,57.46,57.6,7030100,36.3694166668,36.6322376406,35.9564122793,36.0440192706,7030100,0.0,1.0
21,PM,2010-12-06 00:00:00+00:00,58.53,58.65,57.81,58.08,9234000,36.6259799984,36.7010717052,36.1754297575,36.3443860979,9234000,0.0,1.0
22,PM,2010-12-07 00:00:00+00:00,59.4,59.4,58.89,58.96,10943400,37.1703948728,37.1703948728,36.8512551189,36.8950586145,10943400,0.0,1.0
23,PM,2010-12-08 00:00:00+00:00,59.35,59.5,59.08,59.45,6173000,37.1391066616,37.2329712952,36.9701503213,37.201683084,6173000,0.0,1.0
24,PM,2010-12-09 00:00:00+00:00,59.39,59.8,59.18,59.71,4848900,37.1641372306,37.4207005622,37.0327267437,37.3643817821,4848900,0.0,1.0
25,PM,2010-12-10 00:00:00+00:00,59.0,59.9225,58.89,59.52,6760500,36.9200891834,37.4973566796,36.8512551189,37.2454865796,6760500,0.0,1.0
26,PM,2010-12-13 00:00:00+00:00,58.7,59.23,58.34,59.05,7765600,36.7323599164,37.0640149548,36.507084796,36.9513773946,7765600,0.0,1.0
