,Name,Date,Close,High,Low,Open,Volume,Adj Close,Adjhigh,Adjlow,Adjopen,Adjvolume,Divcash,Splitfactor
0,PNR,2010-11-04 00:00:00+00:00,33.94,34.02,33.62,33.84,573200,18.7184248234,18.7625460369,18.5419399694,18.6632733065,853494,0.0,1.0
1,PNR,2010-11-05 00:00:00+00:00,33.87,34.05,33.71,33.97,710400,18.6798187616,18.7790914919,18.5915763346,18.7349702785,1057785,0.0,1.0
2,PNR,2010-11-08 00:00:00+00:00,33.61,33.84,33.36,33.82,531300,18.5364248177,18.6632733065,18.3985460256,18.6522430032,791105,0.0,1.0
3,PNR,2010-11-09 00:00:00+00:00,32.94,33.77,32.8,33.66,554200,18.1669096548,18.6246672447,18.0896975312,18.5640005762,825203,0.0,1.0
4,PNR,2010-11-10 00:00:00+00:00,33.11,33.41,32.64,32.99,525400,18.2606672334,18.426121784,18.0014551042,18.1944854132,782320,0.0,1.0
5,PNR,2010-11-11 00:00:00+00:00,33.1,33.47,32.81,32.9,460600,18.2551520817,18.4592126941,18.0952126828,18.144849048,685833,0.0,1.0
6,PNR,2010-11-12 00:00:00+00:00,32.82,32.98,32.57,32.8,418100,18.1007278345,18.1889702615,17.9628490424,18.0896975312,622550,0.0,1.0
7,PNR,2010-11-15 00:00:00+00:00,32.85,33.4,32.78,33.02,412600,18.1172732896,18.4206066323,18.0786672278,18.2110308683,614361,0.0,1.0
8,PNR,2010-11-16 00:00:00+00:00,32.47,32.63,32.2,32.58,803400,17.9076975255,17.9959399525,17.75878843,17.9683641941,1196262,0.0,1.0
9,PNR,2010-11-17 00:00:00+00:00,32.32,32.57,32.09,32.57,497700,17.8249702502,17.9628490424,17.6981217614,17.9628490424,741075,0.0,1.0
10,PNR,2010-11-18 00:00:00+00:00,32.57,32.96,32.54,32.7,439700,17.9628490424,18.1779399581,17.9463035873,18.0345460143,654713,0.0,1.0
11,PNR,2010-11-19 00:00:00+00:00,32.53,32.64,32.12,32.5,734300,17.9407884356,18.0014551042,17.7146672165,17.9242429806,1093372,0.0,1.0
12,PNR,2010-11-22 00:00:00+00:00,32.63,32.74,32.24,32.4,766300,17.9959399525,18.056606621,17.7808490367,17.8690914637,1141020,0.0,1.0
13,PNR,2010-11-23 00:00:00+00:00,32.51,32.58,32.07,32.25,478000,17.9297581322,17.9683641941,17.687091458,17.7863641884,711742,0.0,1.0
14,PNR,2010-11-24 00:00:00+00:00,33.09,33.13,32.74,32.81,288500,18.2496369301,18.2716975368,18.056606621,18.0952126828,429576,0.0,1.0
15,PNR,2010-11-26 00:00:00+00:00,33.11,33.28,32.7,32.79,295900,18.2606672334,18.3544248121,18.0345460143,18.0841823795,440595,0.0,1.0
16,PNR,2010-11-29 00:00:00+00:00,32.79,32.88,32.08,32.87,440500,18.0841823795,18.1338187446,17.6926066097,18.128303593,655904,0.0,1.0
17,PNR,2010-11-30 00:00:00+00:00,32.9,33.45,32.36,32.48,947800,18.144849048,18.4481823908,17.847030857,17.9132126772,1411274,0.0,1.0
18,PNR,2010-12-01 00:00:00+00:00,33.51,33.81,33.38,33.38,599400,18.4812733009,18.6467278515,18.409576329,18.409576329,892506,0.0,1.0
19,PNR,2010-12-02 00:00:00+00:00,33.98,34.09,33.46,33.51,437400,18.7404854301,18.8011520987,18.4536975424,18.4812733009,651288,0.0,1.0
20,PNR,2010-12-03 00:00:00+00:00,34.04,34.17,33.71,33.92,649600,18.7735763403,18.8452733122,18.5915763346,18.70739452,967254,0.0,1.0
21,PNR,2010-12-06 00:00:00+00:00,34.27,34.49,33.92,34.12,315900,18.900424829,19.0217581661,18.70739452,18.8176975537,470375,0.0,1.0
22,PNR,2010-12-07 00:00:00+00:00,34.85,35.16,34.43,34.5,813700,19.2203036268,19.3912733291,18.988667256,19.0272733178,1211599,0.0,1.0
23,PNR,2010-12-08 00:00:00+00:00,35.0,35.25,34.73,34.81,552600,19.3030309021,19.4409096943,19.1541218066,19.1982430201,822821,0.0,1.0
24,PNR,2010-12-09 00:00:00+00:00,35.2,35.21,34.79,35.12,566700,19.4133339359,19.4188490876,19.1872127167,19.3692127224,843816,0.0,1.0
25,PNR,2010-12-10 00:00:00+00:00,35.5,35.65,35.22,35.22,483200,19.5787884865,19.6615157618,19.4243642392,19.4243642392,719484,0.0,1.0
26,PNR,2010-12-13 00:00:00+00:00,35.88,36.02,35.33,35.62,681200,19.7883642505,19.8655763741,19.4850309078,19.6449703067,1014306,0.0,1.0
27,PNR,2010-12-14 00:00:00+00:00,35.78,36.03,35.56,35.88,629300,19.7332127337,19.8710915258,19.6118793966,19.7883642505,937027,0.0,1.0
28,PNR,2010-12-15 00:00:00+00:00,35.59,36.04,35.58,35.77,339100,19.6284248516,19.8766066775,19.6229097,19.727697582,504919,0.0,1.0
29,PNR,2010-12-16 00:00:00+00:00,36.38,36.39,35.51,35.74,908400,20.0641218349,20.0696369865,19.5843036381,19.7111521269,1352607,0.0,1.0
30,PNR,2010-12-17 00:00:00+00:00,36.39,36.46,35.99,36.33,897800,20.0696369865,20.1082430483,19.8490309191,20.0365460764,1336824,0.0,1.0
31,PNR,2010-12-20 00:00:00+00:00,36.43,36.63,36.26,36.57,503300,20.0916975933,20.202000627,19.9979400146,20.1689097169,749413,0.0,1.0
32,PNR,2010-12-21 00:00:00+00:00,37.15,37.22,36.44,36.46,470100,20.4887885147,20.5273945765,20.097212745,20.1082430483,699978,0.0,1.0
33,PNR,2010-12-22 00:00:00+00:00,36.5,37.19,36.48,37.05,798200,20.1303036551,20.5108491214,20.1192733517,20.4336369978,1188519,0.0,1.0
34,PNR,2010-12-23 00:00:00+00:00,36.56,36.8,36.25,36.41,313800,20.1633945652,20.2957582057,19.9924248629,20.0806672899,467248,0.0,1.0
35,PNR,2010-12-27 00:00:00+00:00,36.59,36.65,36.18,36.38,194800,20.1799400203,20.2130309304,19.9538188011,20.0641218349,290057,0.0,1.0
36,PNR,2010-12-28 00:00:00+00:00,36.75,36.84,36.23,36.77,320100,20.2681824473,20.3178188124,19.9813945596,20.2792127506,476628,0.0,1.0
37,PNR,2010-12-29 00:00:00+00:00,36.62,36.9,36.55,36.8,153900,20.1964854753,20.3509097225,20.1578794135,20.2957582057,229157,0.0,1.0
38,PNR,2010-12-30 00:00:00+00:00,36.76,36.88,36.58,36.64,262100,20.2736975989,20.3398794192,20.1744248686,20.2075157787,390266,0.0,1.0
39,PNR,2010-12-31 00:00:00+00:00,36.51,36.81,36.48,36.68,195400,20.1358188068,20.3012733574,20.1192733517,20.2295763854,290950,0.0,1.0
40,PNR,2011-01-03 00:00:00+00:00,36.98,37.21,36.75,36.83,323000,20.395030936,20.5218794248,20.2681824473,20.3123036607,480947,0.0,1.0
41,PNR,2011-01-04 00:00:00+00:00,36.39,37.04,35.87,36.97,419300,20.0696369865,20.4281218462,19.7828490989,20.3895157843,624337,0.0,1.0
42,PNR,2011-01-05 00:00:00+00:00,36.41,36.79,36.23,36.23,389800,20.0806672899,20.290243054,19.9813945596,19.9813945596,580412,0.0,1.0
43,PNR,2011-01-06 00:00:00+00:00,36.58,37.2,36.48,36.48,463200,20.1744248686,20.5163642731,20.1192733517,20.1192733517,689704,0.0,1.0
44,PNR,2011-01-07 00:00:00+00:00,36.52,37.11,36.12,36.63,410100,20.1413339585,20.466727908,19.920727891,20.202000627,610638,0.0,1.0
45,PNR,2011-01-10 00:00:00+00:00,36.05,36.24,35.06,35.94,1027200,19.8821218292,19.9869097112,19.3361218123,19.8214551607,1529500,0.0,1.0
