,Name,Date,Close,High,Low,Open,Volume,Adj Close,Adjhigh,Adjlow,Adjopen,Adjvolume,Divcash,Splitfactor
0,PPG,2010-11-04 00:00:00+00:00,79.13,79.41,78.53,78.69,1175800,33.1474436544,33.2647352534,32.8961045139,32.9631282847,2351600,0.0,1.0
1,PPG,2010-11-05 00:00:00+00:00,79.67,79.84,78.66,79.06,1273900,33.3736488809,33.4448616374,32.9505613277,33.1181207547,2547800,0.0,1.0
2,PPG,2010-11-08 00:00:00+00:00,79.09,79.37,78.66,78.96,1073700,33.3610819239,33.4791891807,33.1797029224,33.3062464118,2147400,0.55,1.0
3,PPG,2010-11-09 00:00:00+00:00,78.26,79.42,77.94,79.2,869700,33.0109782699,33.5002797623,32.8759985479,33.4074812034,1739400,0.0,1.0
4,PPG,2010-11-10 00:00:00+00:00,78.02,78.33,77.12,78.13,1472400,32.9097434784,33.0405050841,32.5301130101,32.9561427578,2944800,0.0,1.0
5,PPG,2010-11-11 00:00:00+00:00,78.11,78.48,77.14,77.37,1093800,32.9477065252,33.1037768288,32.5385492428,32.635565918,2187600,0.0,1.0
6,PPG,2010-11-12 00:00:00+00:00,76.78,77.8,76.4,77.11,1010700,32.3866970555,32.8169449195,32.2264086356,32.5258948938,2021400,0.0,1.0
7,PPG,2010-11-15 00:00:00+00:00,76.86,77.87,76.72,76.91,1150200,32.420441986,32.8464717337,32.3613883576,32.4415325676,2300400,0.0,1.0
8,PPG,2010-11-16 00:00:00+00:00,75.58,76.38,75.02,76.29,1544200,31.8805230979,32.2179724029,31.6443085843,32.1800093561,3088400,0.0,1.0
9,PPG,2010-11-17 00:00:00+00:00,76.08,76.64,75.35,75.68,1128800,32.0914289135,32.3276434271,31.7835064226,31.922704261,2257600,0.0,1.0
10,PPG,2010-11-18 00:00:00+00:00,77.55,78.02,77.0042,77.12,989000,32.7114920116,32.9097434784,32.4812672232,32.5301130101,1978000,0.0,1.0
11,PPG,2010-11-19 00:00:00+00:00,77.38,77.74,76.91,77.41,944800,32.6397840343,32.7916362216,32.4415325676,32.6524383832,1889600,0.0,1.0
12,PPG,2010-11-22 00:00:00+00:00,77.35,77.56,76.01,76.93,746700,32.6271296854,32.7157101279,32.0619020993,32.4499688002,1493400,0.0,1.0
13,PPG,2010-11-23 00:00:00+00:00,75.92,76.4181,75.349,76.3,861600,32.0239390525,32.2340434261,31.783084611,32.1842274724,1723200,0.0,1.0
14,PPG,2010-11-24 00:00:00+00:00,77.79,77.82,76.41,76.41,761600,32.8127268032,32.8253811521,32.2306267519,32.2306267519,1523200,0.0,1.0
15,PPG,2010-11-26 00:00:00+00:00,77.63,78.0,76.87,76.97,615800,32.7452369421,32.9013072457,32.4246601023,32.4668412654,1231600,0.0,1.0
