,Name,Date,Close,High,Low,Open,Volume,Adj Close,Adjhigh,Adjlow,Adjopen,Adjvolume,Divcash,Splitfactor
0,PVH,2010-11-04 00:00:00+00:00,63.1,63.2,61.9,62.53,1017300,62.1481609325,62.2466524712,60.9662624678,61.5867591618,1017300,0.0,1.0
1,PVH,2010-11-05 00:00:00+00:00,64.32,64.39,62.9,63.0,804600,63.3497577049,63.418701782,61.951177855,62.0496693938,804600,0.0,1.0
2,PVH,2010-11-08 00:00:00+00:00,65.01,65.05,63.88,64.02,850800,64.029349322,64.0687459375,62.9163949345,63.0542830887,850800,0.0,1.0
3,PVH,2010-11-09 00:00:00+00:00,65.53,66.17,64.83,64.99,1317400,64.5415053234,65.1718511712,63.8520645524,64.0096510143,1317400,0.0,1.0
4,PVH,2010-11-10 00:00:00+00:00,63.15,64.43,62.79,64.42,1810300,62.1974067019,63.4580983975,61.8428371625,63.4482492436,1810300,0.0,1.0
5,PVH,2010-11-11 00:00:00+00:00,62.49,63.015,61.91,62.26,1011500,61.5473625463,62.0644431246,60.9761116217,61.3208320072,1011500,0.0,1.0
6,PVH,2010-11-12 00:00:00+00:00,59.52,62.23,59.48,61.88,1568100,58.6221638463,61.2912845456,58.5827672308,60.9465641601,1568100,0.0,1.0
7,PVH,2010-11-15 00:00:00+00:00,60.08,62.42,59.99,61.6,1364100,59.1737164631,61.4784184692,59.0850740783,60.6707878517,1364100,0.0,1.0
8,PVH,2010-11-16 00:00:00+00:00,59.5,60.35,59.06,59.76,1387000,58.6393998656,59.4771055779,58.2057639674,58.89563926,1387000,0.0375,1.0
9,PVH,2010-11-17 00:00:00+00:00,61.54,61.69,59.68,59.84,1088500,60.6498935753,60.7977239951,58.8167963694,58.9744821505,1088500,0.0,1.0
10,PVH,2010-11-18 00:00:00+00:00,62.85,63.15,62.05,62.28,724200,61.9409459084,62.2366067481,61.1525170027,61.3791903131,724200,0.0,1.0
11,PVH,2010-11-19 00:00:00+00:00,64.01,64.07,62.56,62.63,570900,63.0841678218,63.1432999897,61.6551404301,61.7241279594,570900,0.0,1.0
12,PVH,2010-11-22 00:00:00+00:00,65.3,65.42,63.02,63.52,629600,64.3555094323,64.4737737682,62.1084870509,62.601255117,629600,0.0,1.0
13,PVH,2010-11-23 00:00:00+00:00,64.75,65.66,64.0,64.11,717800,63.8134645596,64.7103024399,63.0743124605,63.182721435,717800,0.0,1.0
14,PVH,2010-11-24 00:00:00+00:00,67.53,67.6,65.3,65.83,895000,66.5532550071,66.6222425364,64.3555094323,64.8778435824,895000,0.0,1.0
15,PVH,2010-11-26 00:00:00+00:00,67.54,67.77,66.77,66.87,278300,66.5631103684,66.7897836788,65.8042475466,65.9028011599,278300,0.0,1.0
16,PVH,2010-11-29 00:00:00+00:00,67.86,68.1,66.63,67.04,853200,66.8784819307,67.1150106025,65.6662724881,66.0703423023,853200,0.0,1.0
17,PVH,2010-11-30 00:00:00+00:00,67.84,68.43,66.51,66.9,2486000,66.8587712081,67.4402375261,65.5480081523,65.9323672438,2486000,0.0,1.0
18,PVH,2010-12-01 00:00:00+00:00,70.02,70.72,69.26,69.29,1222900,69.0072399763,69.6971152688,68.2582325158,68.2877985998,1222900,0.0,1.0
19,PVH,2010-12-02 00:00:00+00:00,71.23,71.62,69.12,70.08,1305000,70.1997386962,70.5840977878,68.1202574573,69.0663721442,1305000,0.0,1.0
20,PVH,2010-12-03 00:00:00+00:00,70.0,72.42,68.5,70.72,2166200,68.9875292536,71.3725266935,67.5092250553,69.6971152688,2166200,0.0,1.0
21,PVH,2010-12-06 00:00:00+00:00,69.38,70.33,68.9,70.27,795900,68.3764968517,69.3127561772,67.9034395082,69.2536240093,795900,0.0,1.0
22,PVH,2010-12-07 00:00:00+00:00,68.8,70.5,68.57,70.07,1022400,67.804885895,69.4802973197,67.5782125846,69.0565167829,1022400,0.0,1.0
23,PVH,2010-12-08 00:00:00+00:00,68.55,69.58,67.79,69.13,774100,67.5585018619,68.5736040781,66.8094944015,68.1301128186,774100,0.0,1.0
24,PVH,2010-12-09 00:00:00+00:00,69.18,69.31,68.65,69.14,661300,68.1793896252,68.3075093224,67.6570554752,68.1399681799,661300,0.0,1.0
25,PVH,2010-12-10 00:00:00+00:00,69.18,69.719,68.44,69.28,541000,68.1793896252,68.7105936005,67.4500928874,68.2779432384,541000,0.0,1.0
26,PVH,2010-12-13 00:00:00+00:00,68.13,69.98,68.01,69.45,931500,67.1445766864,68.967818531,67.0263123506,68.4454843809,931500,0.0,1.0
27,PVH,2010-12-14 00:00:00+00:00,66.49,68.35,66.3,68.19,1328900,65.5282974296,67.3613946355,65.3410455645,67.2037088544,1328900,0.0,1.0
28,PVH,2010-12-15 00:00:00+00:00,65.64,66.83,65.61,66.43,905300,64.6905917173,65.8633797146,64.6610256333,65.4691652617,905300,0.0,1.0
29,PVH,2010-12-16 00:00:00+00:00,66.65,66.72,65.65,65.95,1044100,65.6859832108,65.75497074,64.7004470786,64.9961079182,1044100,0.0,1.0
