,Name,Date,Close,High,Low,Open,Volume,Adj Close,Adjhigh,Adjlow,Adjopen,Adjvolume,Divcash,Splitfactor
0,PX,2010-11-04 00:00:00+00:00,92.29,93.2,91.48,93.2,1994000,77.3875132077,78.1505713616,76.7083075983,78.1505713616,1994000,0.0,1.0
1,PX,2010-11-05 00:00:00+00:00,92.94,93.06,92.33,92.6,1452200,77.9325547462,78.0331777994,77.4210542255,77.6474560953,1452200,0.0,1.0
2,PX,2010-11-08 00:00:00+00:00,93.62,93.95,92.5,92.52,1150800,78.502752048,78.7794654444,77.5636035509,77.5803740598,1150800,0.0,1.0
3,PX,2010-11-09 00:00:00+00:00,92.02,93.99,91.57,93.3,1272900,77.1611113379,78.8130064622,76.7837748882,78.234423906,1272900,0.0,1.0
4,PX,2010-11-10 00:00:00+00:00,93.09,93.15,91.29,92.01,1015700,78.0583335628,78.1086450894,76.5489877639,77.1527260835,1015700,0.0,1.0
5,PX,2010-11-11 00:00:00+00:00,92.82,93.32,92.0,92.07,936400,77.8319316929,78.2511944148,77.144340829,77.2030376101,936400,0.0,1.0
6,PX,2010-11-12 00:00:00+00:00,91.58,92.44,90.9,92.42,950500,76.7921601426,77.5132920243,76.2219628409,77.4965215154,950500,0.0,1.0
7,PX,2010-11-15 00:00:00+00:00,91.51,92.59,91.46,91.73,777100,76.7334633616,77.6390708409,76.6915370894,76.9179389592,777100,0.0,1.0
8,PX,2010-11-16 00:00:00+00:00,90.4,91.18,90.04,90.31,1708100,75.802700119,76.4567499651,75.5008309592,75.727232829,1708100,0.0,1.0
9,PX,2010-11-17 00:00:00+00:00,90.31,91.17,90.15,90.66,1213500,75.727232829,76.4483647107,75.593068758,76.0207167343,1213500,0.0,1.0
10,PX,2010-11-18 00:00:00+00:00,91.87,92.65,91.18,91.25,1116000,77.0353325213,77.6893823675,76.4567499651,76.5154467462,1116000,0.0,1.0
11,PX,2010-11-19 00:00:00+00:00,92.49,92.69,91.8,91.98,1599900,77.5552182965,77.7229233852,76.9766357403,77.1275703202,1599900,0.0,1.0
12,PX,2010-11-22 00:00:00+00:00,92.0,92.31,91.0,92.24,1091600,77.144340829,77.4042837166,76.3058153852,77.3455869355,1091600,0.0,1.0
13,PX,2010-11-23 00:00:00+00:00,91.16,91.56,90.39,91.07,1388400,76.4399794562,76.7753896338,75.7943148645,76.3645121663,1388400,0.0,1.0
14,PX,2010-11-24 00:00:00+00:00,92.65,92.69,90.96,91.5,975600,77.6893823675,77.7229233852,76.2722743675,76.7250781071,975600,0.0,1.0
15,PX,2010-11-26 00:00:00+00:00,92.05,92.69,91.65,91.9,596100,77.1862671012,77.7229233852,76.8508569237,77.0604882846,596100,0.0,1.0
16,PX,2010-11-29 00:00:00+00:00,91.92,92.14,90.04,91.79,1155000,77.0772587935,77.2617343912,75.5008309592,76.9682504858,1155000,0.0,1.0
