,Name,Date,Close,High,Low,Open,Volume,Adj Close,Adjhigh,Adjlow,Adjopen,Adjvolume,Divcash,Splitfactor
0,RHT,2010-11-04 00:00:00+00:00,43.43,43.59,42.88,43.44,1622200,43.43,43.59,42.88,43.44,1622200,0.0,1.0
1,RHT,2010-11-05 00:00:00+00:00,43.1,43.48,42.803,43.32,1224400,43.1,43.48,42.803,43.32,1224400,0.0,1.0
2,RHT,2010-11-08 00:00:00+00:00,43.01,43.47,42.79,42.97,2089000,43.01,43.47,42.79,42.97,2089000,0.0,1.0
3,RHT,2010-11-09 00:00:00+00:00,42.94,43.39,42.73,43.15,1808500,42.94,43.39,42.73,43.15,1808500,0.0,1.0
4,RHT,2010-11-10 00:00:00+00:00,43.68,43.79,42.55,42.9,1298400,43.68,43.79,42.55,42.9,1298400,0.0,1.0
5,RHT,2010-11-11 00:00:00+00:00,43.57,43.745,42.57,43.27,1628300,43.57,43.745,42.57,43.27,1628300,0.0,1.0
6,RHT,2010-11-12 00:00:00+00:00,41.96,43.27,41.8,43.27,2041800,41.96,43.27,41.8,43.27,2041800,0.0,1.0
7,RHT,2010-11-15 00:00:00+00:00,41.31,42.51,41.25,42.17,1743100,41.31,42.51,41.25,42.17,1743100,0.0,1.0
8,RHT,2010-11-16 00:00:00+00:00,40.91,41.15,40.47,41.03,2362200,40.91,41.15,40.47,41.03,2362200,0.0,1.0
9,RHT,2010-11-17 00:00:00+00:00,40.93,41.75,40.47,40.92,2125900,40.93,41.75,40.47,40.92,2125900,0.0,1.0
10,RHT,2010-11-18 00:00:00+00:00,41.76,42.22,41.34,41.49,1146900,41.76,42.22,41.34,41.49,1146900,0.0,1.0
11,RHT,2010-11-19 00:00:00+00:00,41.87,42.92,41.74,41.95,2202400,41.87,42.92,41.74,41.95,2202400,0.0,1.0
12,RHT,2010-11-22 00:00:00+00:00,42.67,42.73,41.69,41.96,1926500,42.67,42.73,41.69,41.96,1926500,0.0,1.0
13,RHT,2010-11-23 00:00:00+00:00,42.25,43.31,41.94,42.71,2143700,42.25,43.31,41.94,42.71,2143700,0.0,1.0
14,RHT,2010-11-24 00:00:00+00:00,43.31,43.68,42.59,42.64,2241800,43.31,43.68,42.59,42.64,2241800,0.0,1.0
15,RHT,2010-11-26 00:00:00+00:00,43.32,43.43,42.755,42.9,887900,43.32,43.43,42.755,42.9,887900,0.0,1.0
16,RHT,2010-11-29 00:00:00+00:00,43.04,43.17,42.25,43.09,1806700,43.04,43.17,42.25,43.09,1806700,0.0,1.0
