,Name,Date,Close,High,Low,Open,Volume,Adj Close,Adjhigh,Adjlow,Adjopen,Adjvolume,Divcash,Splitfactor
0,ROK,2010-11-04 00:00:00+00:00,66.37,66.53,65.3,65.99,1125900,53.3299456159,53.4585095951,52.4701740051,53.0246061653,1125900,0.0,1.0
1,ROK,2010-11-05 00:00:00+00:00,66.47,66.86,66.27,66.3,688600,53.4102981029,53.7236728022,53.2495931289,53.273698875,688600,0.0,1.0
2,ROK,2010-11-08 00:00:00+00:00,66.33,66.72,65.9,66.17,785400,53.2978046211,53.6111793204,52.952288927,53.1692406419,785400,0.0,1.0
3,ROK,2010-11-09 00:00:00+00:00,65.01,67.75,64.62,67.08,2110700,52.2371517928,54.4388099364,51.9237770936,53.9004482735,2110700,0.0,1.0
4,ROK,2010-11-10 00:00:00+00:00,65.99,66.35,63.67,64.77,1763300,53.3058398698,53.5966430575,51.4317748827,52.3203401783,1763300,0.35,1.0
5,ROK,2010-11-11 00:00:00+00:00,65.84,66.29,64.75,65.22,966800,53.1846718749,53.5481758595,52.3041844457,52.6838441629,966800,0.0,1.0
6,ROK,2010-11-12 00:00:00+00:00,64.7,65.78,64.36,65.1,753700,52.2637951141,53.136204677,51.989147659,52.586909767,753700,0.0,1.0
7,ROK,2010-11-15 00:00:00+00:00,64.68,65.52,64.16,64.97,910900,52.2476393814,52.9261801526,51.8275903326,52.4818975048,910900,0.0,1.0
8,ROK,2010-11-16 00:00:00+00:00,63.72,64.43,63.07,63.9,915700,51.4721642143,52.0456927233,50.9471029033,51.6175658082,915700,0.0,1.0
9,ROK,2010-11-17 00:00:00+00:00,63.81,64.21,63.0,63.7,796800,51.5448650112,51.8679796642,50.890557839,51.4560084817,796800,0.0,1.0
10,ROK,2010-11-18 00:00:00+00:00,65.9,66.27,64.71,64.81,1034500,53.2331390729,53.5320201269,52.2718729804,52.3526516436,1034500,0.0,1.0
11,ROK,2010-11-19 00:00:00+00:00,66.22,66.26,65.3893,65.72,682800,53.4916307952,53.5239422605,52.8206024397,53.0877374791,682800,0.0,1.0
12,ROK,2010-11-22 00:00:00+00:00,66.95,67.16,65.32,65.88,908700,54.0813150369,54.2509502297,52.7646228261,53.2169833402,908700,0.0,1.0
13,ROK,2010-11-23 00:00:00+00:00,65.86,66.27,65.47,65.9,722600,53.2008276076,53.5320201269,52.885790821,53.2331390729,722600,0.0,1.0
14,ROK,2010-11-24 00:00:00+00:00,67.3,67.48,65.98,66.24,852700,54.3640403582,54.509441952,53.2977620035,53.5077865279,852700,0.0,1.0
15,ROK,2010-11-26 00:00:00+00:00,67.09,67.46,66.25,66.47,324900,54.1944051654,54.4932862194,53.5158643942,53.6935774533,324900,0.0,1.0
16,ROK,2010-11-29 00:00:00+00:00,66.52,66.68,65.58,66.62,689000,53.733966785,53.8632126461,52.9746473505,53.8147454482,689000,0.0,1.0
17,ROK,2010-11-30 00:00:00+00:00,66.12,66.51,64.92,65.58,980200,53.410852132,53.7258889186,52.4415081732,52.9746473505,980200,0.0,1.0
18,ROK,2010-12-01 00:00:00+00:00,67.61,68.01,66.84,67.38,901200,54.6144542142,54.9375688672,53.9924585073,54.4286632888,901200,0.0,1.0
19,ROK,2010-12-02 00:00:00+00:00,68.45,68.64,67.27,67.39,734900,55.2929949854,55.4464744456,54.3398067592,54.4367411551,734900,0.0,1.0
20,ROK,2010-12-03 00:00:00+00:00,68.39,68.45,67.54,67.9,538700,55.2445277875,55.2929949854,54.55790915,54.8487123376,538700,0.0,1.0
21,ROK,2010-12-06 00:00:00+00:00,68.76,68.99,67.88,68.01,654400,55.5434088415,55.7291997669,54.832556605,54.9375688672,654400,0.0,1.0
22,ROK,2010-12-07 00:00:00+00:00,69.57,70.16,69.27,69.45,857200,56.1977160137,56.6743101268,55.955380024,56.1007816178,857200,0.0,1.0
23,ROK,2010-12-08 00:00:00+00:00,68.98,69.79,68.56,69.59,568300,55.7211219006,56.3754290728,55.381851515,56.2138717463,568300,0.0,1.0
