,Name,Date,Close,High,Low,Open,Volume,Adj Close,Adjhigh,Adjlow,Adjopen,Adjvolume,Divcash,Splitfactor
0,SBAC,2010-11-04 00:00:00+00:00,39.14,39.54,38.63,39.54,1438300,38.837374865,39.2342821196,38.3313181153,39.2342821196,1438300,0.0,1.0
1,SBAC,2010-11-05 00:00:00+00:00,38.43,38.78,37.53,38.78,1978800,38.132864488,38.4801583358,37.2398231651,38.4801583358,1978800,0.0,1.0
2,SBAC,2010-11-08 00:00:00+00:00,38.02,38.43,37.83,38.24,1685900,37.726034552,38.132864488,37.5375036061,37.9443335421,1685900,0.0,1.0
3,SBAC,2010-11-09 00:00:00+00:00,37.79,38.49,37.75,38.19,1285300,37.4978128806,38.1924005762,37.4581221552,37.8947201353,1285300,0.0,1.0
4,SBAC,2010-11-10 00:00:00+00:00,38.18,38.45,37.52,37.93,1362300,37.8847974539,38.1527098508,37.2299004838,37.6367304198,1362300,0.0,1.0
5,SBAC,2010-11-11 00:00:00+00:00,38.13,38.2299,37.68,37.95,948100,37.8351840471,37.9343116339,37.3886633856,37.6565757825,948100,0.0,1.0
6,SBAC,2010-11-12 00:00:00+00:00,37.51,37.95,37.225,37.86,957000,37.2199778024,37.6565757825,36.9371813835,37.5672716502,957000,0.0,1.0
7,SBAC,2010-11-15 00:00:00+00:00,37.01,37.69,36.91,37.56,1453700,36.7238437341,37.398586067,36.6246169205,37.2695912092,1453700,0.0,1.0
8,SBAC,2010-11-16 00:00:00+00:00,36.86,36.91,36.38,36.89,1620600,36.5750035136,36.6246169205,36.0987148081,36.6047715577,1620600,0.0,1.0
9,SBAC,2010-11-17 00:00:00+00:00,37.23,37.57,36.76,36.96,1246500,36.9421427242,37.2795138906,36.4757767,36.6742303273,1246500,0.0,1.0
10,SBAC,2010-11-18 00:00:00+00:00,37.93,38.08,37.45,37.54,1216100,37.6367304198,37.7855706402,37.1604417142,37.2497458465,1216100,0.0,1.0
11,SBAC,2010-11-19 00:00:00+00:00,38.41,38.48,37.621,37.96,1146900,38.1130191253,38.1824778949,37.3301195656,37.6664984638,1146900,0.0,1.0
12,SBAC,2010-11-22 00:00:00+00:00,38.08,38.3,37.9,38.14,1424100,37.7855706402,38.0038696303,37.6069623757,37.8451067284,1424100,0.0,1.0
