,Name,Date,Close,High,Low,Open,Volume,Adj Close,Adjhigh,Adjlow,Adjopen,Adjvolume,Divcash,Splitfactor
0,SEE,2010-11-04 00:00:00+00:00,23.63,23.63,23.25,23.48,484900,19.7476927102,19.7476927102,19.4301250746,19.6223370646,484900,0.0,1.0
1,SEE,2010-11-05 00:00:00+00:00,23.59,23.74,23.34,23.62,899100,19.714264538,19.8396201837,19.505338462,19.7393356672,899100,0.0,1.0
2,SEE,2010-11-08 00:00:00+00:00,23.52,23.56,23.2,23.44,769000,19.6557652367,19.6891934089,19.3883398594,19.5889088924,769000,0.0,1.0
3,SEE,2010-11-09 00:00:00+00:00,23.26,23.61,23.11,23.58,1189900,19.4384821176,19.7309786241,19.313126472,19.705907495,1189900,0.0,1.0
4,SEE,2010-11-10 00:00:00+00:00,22.92,23.37,22.82,23.22,1229900,19.1543426542,19.5304095911,19.0707722237,19.4050539455,1229900,0.0,1.0
5,SEE,2010-11-11 00:00:00+00:00,22.81,22.965,22.69,22.74,1337400,19.0624151807,19.1919493479,18.9621306642,19.0039158794,1337400,0.0,1.0
6,SEE,2010-11-12 00:00:00+00:00,22.52,22.68,22.35,22.68,1108800,18.8200609325,18.9537736211,18.6779912007,18.9537736211,1108800,0.0,1.0
7,SEE,2010-11-15 00:00:00+00:00,22.49,22.92,22.46,22.62,680400,18.7949898033,19.1543426542,18.7699186742,18.9036313629,680400,0.0,1.0
8,SEE,2010-11-16 00:00:00+00:00,22.25,22.48,22.01,22.31,900500,18.5944207703,18.7866327603,18.3938517373,18.6445630286,900500,0.0,1.0
9,SEE,2010-11-17 00:00:00+00:00,22.46,22.61,22.26,22.32,1285000,18.7699186742,18.8952743198,18.6027778133,18.6529200716,1285000,0.0,1.0
10,SEE,2010-11-18 00:00:00+00:00,22.7,22.81,22.61,22.66,832100,18.9704877072,19.0624151807,18.8952743198,18.9370595351,832100,0.0,1.0
11,SEE,2010-11-19 00:00:00+00:00,22.87,22.88,22.64,22.71,725300,19.112557439,19.120914482,18.920345449,18.9788447503,725300,0.0,1.0
