,Name,Date,Close,High,Low,Open,Volume,Adj Close,Adjhigh,Adjlow,Adjopen,Adjvolume,Divcash,Splitfactor
0,SLG,2010-11-04 00:00:00+00:00,69.75,69.99,67.68,67.72,1326900,53.4777198743,53.661729233,51.8906391554,51.9213073819,1326900,0.0,1.0
1,SLG,2010-11-05 00:00:00+00:00,70.27,70.89,69.27,69.27,1616000,53.8764068182,54.3517643282,53.1097011569,53.1097011569,1616000,0.0,1.0
2,SLG,2010-11-08 00:00:00+00:00,68.39,70.0,68.18,69.51,1363900,52.435000175,53.6693962896,52.2739919861,53.2937105156,1363900,0.0,1.0
3,SLG,2010-11-09 00:00:00+00:00,65.43,70.42,64.68,69.45,2268900,50.1655514176,53.9914126674,49.5905221716,53.2477081759,2268900,0.0,1.0
4,SLG,2010-11-10 00:00:00+00:00,65.32,66.26,64.65,65.43,1840300,50.0812137948,50.8019171164,49.5675210018,50.1655514176,1840300,0.0,1.0
5,SLG,2010-11-11 00:00:00+00:00,64.75,65.18,63.94,64.58,1073300,49.6441915679,49.9738750022,49.0231599823,49.5138516055,1073300,0.0,1.0
6,SLG,2010-11-12 00:00:00+00:00,64.25,65.23,63.86,64.17,1002800,49.2608387373,50.0122102853,48.9618235294,49.1995022843,1002800,0.0,1.0
7,SLG,2010-11-15 00:00:00+00:00,63.54,65.04,63.39,64.48,699600,48.7164777177,49.8665362097,48.6014718686,49.4371810393,699600,0.0,1.0
8,SLG,2010-11-16 00:00:00+00:00,61.5,63.14,61.13,63.01,1426800,47.1523981687,48.4097954532,46.8687170741,48.3101237173,1426800,0.0,1.0
9,SLG,2010-11-17 00:00:00+00:00,62.85,63.54,61.26,61.76,974700,48.1874508115,48.7164777177,46.96838881,47.3517416407,974700,0.0,1.0
10,SLG,2010-11-18 00:00:00+00:00,63.85,64.5,63.64,63.83,898700,48.9541564727,49.4525151526,48.7931482839,48.9388223595,898700,0.0,1.0
11,SLG,2010-11-19 00:00:00+00:00,64.14,64.34,62.83,63.44,490100,49.1765011145,49.3298422468,48.1721166982,48.6398071516,490100,0.0,1.0
12,SLG,2010-11-22 00:00:00+00:00,63.91,65.15,63.57,63.86,852200,49.0001588124,49.9508738324,48.7394788876,48.9618235294,852200,0.0,1.0
13,SLG,2010-11-23 00:00:00+00:00,63.55,63.83,62.99,63.06,689500,48.7241447744,48.9388223595,48.294789604,48.3484590003,689500,0.0,1.0
