,Name,Date,Close,High,Low,Open,Volume,Adj Close,Adjhigh,Adjlow,Adjopen,Adjvolume,Divcash,Splitfactor
0,SO,2010-11-04 00:00:00+00:00,38.45,38.47,37.95,38.12,4297900,24.5088580772,24.5216065079,24.190147309,24.2985089702,4297900,0.0,1.0
1,SO,2010-11-05 00:00:00+00:00,38.47,38.48,38.24,38.37,2565100,24.5216065079,24.5279807233,24.3749995545,24.4578643543,2565100,0.0,1.0
2,SO,2010-11-08 00:00:00+00:00,38.32,38.37,37.99,38.23,2770700,24.4259932774,24.4578643543,24.2156441704,24.3686253392,2770700,0.0,1.0
3,SO,2010-11-09 00:00:00+00:00,38.25,38.39,38.15,38.3,3012000,24.3813737699,24.470612785,24.3176316162,24.4132448467,3012000,0.0,1.0
4,SO,2010-11-10 00:00:00+00:00,37.97,38.2,37.88,38.2,3734500,24.2028957397,24.3495026931,24.1455278014,24.3495026931,3734500,0.0,1.0
5,SO,2010-11-11 00:00:00+00:00,38.26,38.29,37.8,37.8,3667300,24.3877479853,24.4068706314,24.0945340785,24.0945340785,3667300,0.0,1.0
6,SO,2010-11-12 00:00:00+00:00,38.09,38.22,37.81,38.22,3032700,24.2793863241,24.3622511238,24.1009082938,24.3622511238,3032700,0.0,1.0
7,SO,2010-11-15 00:00:00+00:00,38.33,38.44,38.13,38.13,2805500,24.4323674928,24.5024838618,24.3048831855,24.3048831855,2805500,0.0,1.0
8,SO,2010-11-16 00:00:00+00:00,38.13,38.34,38.01,38.11,5340700,24.3048831855,24.4387417082,24.2283926011,24.2921347548,5340700,0.0,1.0
9,SO,2010-11-17 00:00:00+00:00,37.91,38.24,37.76,38.22,3241700,24.1646504475,24.3749995545,24.069037217,24.3622511238,3241700,0.0,1.0
10,SO,2010-11-18 00:00:00+00:00,38.03,38.17,37.76,38.12,3294900,24.2411410319,24.330380047,24.069037217,24.2985089702,3294900,0.0,1.0
11,SO,2010-11-19 00:00:00+00:00,38.07,38.13,37.75,38.03,2785100,24.2666378933,24.3048831855,24.0626630017,24.2411410319,2785100,0.0,1.0
12,SO,2010-11-22 00:00:00+00:00,38.23,38.33,37.9,38.12,3142400,24.3686253392,24.4323674928,24.1582762321,24.2985089702,3142400,0.0,1.0
13,SO,2010-11-23 00:00:00+00:00,37.96,38.1,37.75,38.03,2975900,24.1965215243,24.2857605394,24.0626630017,24.2411410319,2975900,0.0,1.0
14,SO,2010-11-24 00:00:00+00:00,38.01,38.09,37.85,38.08,1969800,24.2283926011,24.2793863241,24.1264051553,24.2730121087,1969800,0.0,1.0
15,SO,2010-11-26 00:00:00+00:00,37.83,38.03,37.7,37.89,1643600,24.1136567246,24.2411410319,24.0307919248,24.1519020168,1643600,0.0,1.0
16,SO,2010-11-29 00:00:00+00:00,37.55,37.76,37.35,37.67,3376700,23.9351786944,24.069037217,23.8076943871,24.0116692787,3376700,0.0,1.0
17,SO,2010-11-30 00:00:00+00:00,37.72,37.82,37.32,37.33,3807300,24.0435403556,24.1072825092,23.788571741,23.7949459563,3807300,0.0,1.0
18,SO,2010-12-01 00:00:00+00:00,38.23,38.35,37.92,38.03,3585200,24.3686253392,24.4451159235,24.1710246629,24.2411410319,3585200,0.0,1.0
19,SO,2010-12-02 00:00:00+00:00,38.08,38.29,37.98,38.29,3670200,24.2730121087,24.4068706314,24.209269955,24.4068706314,3670200,0.0,1.0
20,SO,2010-12-03 00:00:00+00:00,38.12,38.23,37.8,37.98,4154000,24.2985089702,24.3686253392,24.0945340785,24.209269955,4154000,0.0,1.0
21,SO,2010-12-06 00:00:00+00:00,38.08,38.2,38.0,38.03,2678900,24.2730121087,24.3495026931,24.2220183858,24.2411410319,2678900,0.0,1.0
22,SO,2010-12-07 00:00:00+00:00,37.89,38.35,37.85,38.31,2832700,24.1519020168,24.4451159235,24.1264051553,24.4196190621,2832700,0.0,1.0
23,SO,2010-12-08 00:00:00+00:00,37.58,38.01,37.43,37.97,4492400,23.9543013405,24.2283926011,23.85868811,24.2028957397,4492400,0.0,1.0
