,Name,Date,Close,High,Low,Open,Volume,Adj Close,Adjhigh,Adjlow,Adjopen,Adjvolume,Divcash,Splitfactor
0,STI,2010-11-04 00:00:00+00:00,26.41,26.52,25.38,25.38,8306800,22.2515555577,22.3442352666,21.3837364655,21.3837364655,8306800,0.0,1.0
1,STI,2010-11-05 00:00:00+00:00,26.47,27.72,26.34,26.53,10540500,22.3021081262,23.3552866361,22.1925775611,22.3526606946,10540500,0.0,1.0
2,STI,2010-11-08 00:00:00+00:00,26.33,26.68,26.04,26.37,4752000,22.184152133,22.4790421158,21.9398147187,22.2178538454,4752000,0.0,1.0
3,STI,2010-11-09 00:00:00+00:00,26.04,26.65,25.9175,26.35,5383500,21.9398147187,22.4537658316,21.8366032248,22.2010029892,5383500,0.0,1.0
4,STI,2010-11-10 00:00:00+00:00,26.04,26.3,25.48,26.1,7592100,21.9398147187,22.1588758488,21.4679907463,21.9903672872,7592100,0.0,1.0
5,STI,2010-11-11 00:00:00+00:00,25.71,26.07,25.46,25.61,5180200,21.6617755921,21.965091003,21.4511398901,21.5775213113,5180200,0.0,1.0
6,STI,2010-11-12 00:00:00+00:00,25.11,25.75,24.8296,25.51,4020800,21.1562499074,21.6954773044,20.920000904,21.4932670305,4020800,0.0,1.0
7,STI,2010-11-15 00:00:00+00:00,25.27,25.66,25.17,25.17,3431400,21.2910567566,21.6196484517,21.2068024758,21.2068024758,3431400,0.0,1.0
8,STI,2010-11-16 00:00:00+00:00,24.84,25.16,24.15,25.08,7530100,20.9287633492,21.1983770478,20.3474088117,21.1309736231,7530100,0.0,1.0
9,STI,2010-11-17 00:00:00+00:00,24.12,24.81,24.09,24.81,6755900,20.3221325275,20.903487065,20.2968562433,20.903487065,6755900,0.0,1.0
10,STI,2010-11-18 00:00:00+00:00,24.07,24.68,24.0,24.43,6866800,20.2800053871,20.7939564999,20.2210273905,20.583320798,6866800,0.0,1.0
11,STI,2010-11-19 00:00:00+00:00,24.16,24.17,23.68,23.91,6241100,20.3558342398,20.3642596679,19.951413692,20.1451985378,6241100,0.0,1.0
12,STI,2010-11-22 00:00:00+00:00,23.84,24.099,23.72,23.92,4103700,20.0862205413,20.3044391285,19.9851154043,20.1536239659,4103700,0.0,1.0
13,STI,2010-11-23 00:00:00+00:00,23.4,24.05,23.29,23.56,8080900,19.7155017058,20.2631545309,19.6228219969,19.8503085551,8080900,0.0,1.0
14,STI,2010-11-24 00:00:00+00:00,23.99,24.0,23.34,23.55,5248200,20.2126019625,20.2210273905,19.6649491373,19.841883127,5248200,0.0,1.0
15,STI,2010-11-26 00:00:00+00:00,23.58,23.83,23.5,23.68,2084700,19.8755848393,20.0863098694,19.8081528297,19.9598748513,2084700,0.01,1.0
16,STI,2010-11-29 00:00:00+00:00,23.75,23.97,23.25,23.43,5800200,20.0188778598,20.2043158863,19.5974277996,19.7491498212,5800200,0.0,1.0
17,STI,2010-11-30 00:00:00+00:00,23.36,23.63,23.3432,23.52,5606300,19.6901468128,19.9177298453,19.6759860908,19.8250108321,5606300,0.0,1.0
18,STI,2010-12-01 00:00:00+00:00,24.0,24.1,23.55,23.87,6397700,20.2296028899,20.3138929019,19.8502978357,20.1200258742,6397700,0.0,1.0
19,STI,2010-12-02 00:00:00+00:00,25.38,25.41,24.0,24.05,8116000,21.392805056,21.4180920596,20.2296028899,20.2717478959,8116000,0.0,1.0
20,STI,2010-12-03 00:00:00+00:00,25.74,25.86,25.03,25.3,5203000,21.6962490994,21.7973971138,21.0977900139,21.3253730464,5203000,0.0,1.0
21,STI,2010-12-06 00:00:00+00:00,25.59,25.74,25.39,25.55,3526700,21.5698140813,21.6962490994,21.4012340572,21.5360980765,3526700,0.0,1.0
22,STI,2010-12-07 00:00:00+00:00,25.51,26.18,25.3,26.0,6976000,21.5023820717,22.0671251524,21.3253730464,21.9154031307,6976000,0.0,1.0
23,STI,2010-12-08 00:00:00+00:00,26.45,26.67,25.53,25.59,7280200,22.2947081849,22.4801462114,21.5192400741,21.5698140813,7280200,0.0,1.0
24,STI,2010-12-09 00:00:00+00:00,27.02,27.22,26.68,26.78,6563800,22.7751612535,22.9437412776,22.4885752126,22.5728652246,6563800,0.0,1.0
25,STI,2010-12-10 00:00:00+00:00,27.58,27.67,26.93,27.13,5817800,23.2471853209,23.3230463318,22.6993002427,22.8678802668,5817800,0.0,1.0
26,STI,2010-12-13 00:00:00+00:00,27.25,27.53,26.86,27.53,6193600,22.9690282812,23.2050403149,22.6402972342,23.2050403149,6193600,0.0,1.0
27,STI,2010-12-14 00:00:00+00:00,26.99,27.5,26.905,27.23,5471400,22.7498742499,23.1797533113,22.6782277397,22.9521702788,5471400,0.0,1.0
28,STI,2010-12-15 00:00:00+00:00,26.01,26.82,25.86,26.46,8393400,21.9238321319,22.6065812294,21.7973971138,22.3031371861,8393400,0.0,1.0
29,STI,2010-12-16 00:00:00+00:00,25.86,26.43,25.72,26.06,6690500,21.7973971138,22.2778501825,21.679391097,21.9659771379,6690500,0.0,1.0
30,STI,2010-12-17 00:00:00+00:00,27.04,27.18,25.94,26.15,9616000,22.7920192559,22.9100252728,21.8648291235,22.0418381488,9616000,0.0,1.0
31,STI,2010-12-20 00:00:00+00:00,27.05,27.21,26.8,26.97,5269000,22.8004482571,22.9353122764,22.589723227,22.7330162475,5269000,0.0,1.0
32,STI,2010-12-21 00:00:00+00:00,27.86,28.12,27.36,27.45,7441700,23.4831973547,23.702351386,23.0617472944,23.1376083053,7441700,0.0,1.0
33,STI,2010-12-22 00:00:00+00:00,28.85,29.36,28.15,28.16,8902200,24.3176684739,24.7475475353,23.7276383896,23.7360673908,8902200,0.0,1.0
34,STI,2010-12-23 00:00:00+00:00,28.69,28.9,28.6201,28.6201,4611300,24.1828044546,24.3598134799,24.1238857362,24.1238857362,4611300,0.0,1.0
35,STI,2010-12-27 00:00:00+00:00,29.3,29.38,28.5256,28.57,3334100,24.696973528,24.7644055377,24.0442316748,24.0816564401,3334100,0.0,1.0
36,STI,2010-12-28 00:00:00+00:00,29.66,29.82,29.28,29.33,3545500,25.0004175714,25.1352815907,24.6801155256,24.7222605317,3545500,0.0,1.0
37,STI,2010-12-29 00:00:00+00:00,29.35,29.66,29.25,29.58,2990900,24.7391185341,25.0004175714,24.654828522,24.9329855618,2990900,0.0,1.0
38,STI,2010-12-30 00:00:00+00:00,29.39,29.48,29.06,29.35,2704700,24.7728345389,24.8486955497,24.4946774991,24.7391185341,2704700,0.0,1.0
39,STI,2010-12-31 00:00:00+00:00,29.51,29.671,29.19,29.29,2199900,24.8739825533,25.0096894727,24.6042545148,24.6885445268,2199900,0.0,1.0
40,STI,2011-01-03 00:00:00+00:00,30.24,30.35,29.73,29.94,6294300,25.4892996412,25.5820186545,25.0594205798,25.2364296051,6294300,0.0,1.0
