,Name,Date,Close,High,Low,Open,Volume,Adj Close,Adjhigh,Adjlow,Adjopen,Adjvolume,Divcash,Splitfactor
0,STX,2010-11-04 00:00:00+00:00,14.92,14.98,14.7,14.73,7191300,9.1943265914,9.2313010952,9.0587534111,9.077240663,7191300,0.0,1.0
1,STX,2010-11-05 00:00:00+00:00,15.32,15.32,14.75,14.89,8504100,9.4408232829,9.4408232829,9.0895654976,9.1758393396,8504100,0.0,1.0
2,STX,2010-11-08 00:00:00+00:00,15.06,15.24,14.94,15.13,6282700,9.2806004335,9.3915239446,9.206651426,9.3237373545,6282700,0.0,1.0
3,STX,2010-11-09 00:00:00+00:00,14.64,15.11,14.54,15.1,9155600,9.0217789074,9.3114125199,8.9601547346,9.3052501026,9155600,0.0,1.0
4,STX,2010-11-10 00:00:00+00:00,14.415,14.7,14.27,14.68,7409500,8.8831245185,9.0587534111,8.7937694678,9.0464285766,7409500,0.0,1.0
5,STX,2010-11-11 00:00:00+00:00,14.42,14.78,14.0,14.25,10400100,8.8862057271,9.1080527494,8.6273842011,8.7814446333,10400100,0.0,1.0
6,STX,2010-11-12 00:00:00+00:00,14.09,14.4,14.04,14.24,16132700,8.6828459567,8.8738808925,8.6520338702,8.775282216,16132700,0.0,1.0
7,STX,2010-11-15 00:00:00+00:00,14.05,14.36,14.04,14.21,14307500,8.6581962875,8.8492312234,8.6520338702,8.7567949641,14307500,0.0,1.0
8,STX,2010-11-16 00:00:00+00:00,13.85,14.18,13.8,13.97,12954900,8.5349479418,8.7383077122,8.5041358554,8.6088969492,12954900,0.0,1.0
9,STX,2010-11-17 00:00:00+00:00,13.94,14.1502,13.85,13.85,9607400,8.5904096974,8.7199437087,8.5349479418,8.5349479418,9607400,0.0,1.0
10,STX,2010-11-18 00:00:00+00:00,14.22,14.28,14.01,14.12,15156800,8.7629573814,8.7999318851,8.6335466184,8.7013332085,15156800,0.0,1.0
11,STX,2010-11-19 00:00:00+00:00,14.93,15.07,14.39,14.4,25277900,9.2004890087,9.2867628507,8.8677184753,8.8738808925,25277900,0.0,1.0
12,STX,2010-11-22 00:00:00+00:00,14.3425,14.79,14.16,14.78,21868900,8.8384469932,9.1142151667,8.7259828777,9.1080527494,21868900,0.0,1.0
13,STX,2010-11-23 00:00:00+00:00,13.81,14.43,13.795,14.4,16942800,8.5102982726,8.8923681444,8.5010546467,8.8738808925,16942800,0.0,1.0
14,STX,2010-11-24 00:00:00+00:00,14.07,14.24,13.97,14.07,8166600,8.6705211221,8.775282216,8.6088969492,8.6705211221,8166600,0.0,1.0
15,STX,2010-11-26 00:00:00+00:00,13.89,14.15,13.87,13.97,4815600,8.5595976109,8.7198204604,8.5472727764,8.6088969492,4815600,0.0,1.0
16,STX,2010-11-29 00:00:00+00:00,13.86,13.9495,13.58,13.78,12079900,8.5411103591,8.5962639938,8.3685626751,8.4918110208,12079900,0.0,1.0
17,STX,2010-11-30 00:00:00+00:00,13.41,13.53,13.15,13.26,41715000,8.2638015812,8.3377505886,8.1035787317,8.1713653219,41715000,0.0,1.0
18,STX,2010-12-01 00:00:00+00:00,13.92,14.08,13.58,13.6,19969700,8.5780848628,8.6766835394,8.3685626751,8.3808875096,19969700,0.0,1.0
19,STX,2010-12-02 00:00:00+00:00,14.53,14.92,14.01,14.03,25637400,8.9539923173,9.1943265914,8.6335466184,8.6458714529,25637400,0.0,1.0
20,STX,2010-12-03 00:00:00+00:00,14.98,15.0,14.39,14.45,11530000,9.2313010952,9.2436259297,8.8677184753,8.904692979,11530000,0.0,1.0
21,STX,2010-12-06 00:00:00+00:00,14.85,15.04,14.765,15.02,6736500,9.1511896704,9.2682755989,9.0988091235,9.2559507643,6736500,0.0,1.0
22,STX,2010-12-07 00:00:00+00:00,15.16,15.33,15.05,15.29,13360500,9.3422246063,9.4469857002,9.2744380162,9.422336031,13360500,0.0,1.0
23,STX,2010-12-08 00:00:00+00:00,15.07,15.2,14.76,15.2,8670100,9.2867628507,9.3668742755,9.0957279149,9.3668742755,8670100,0.0,1.0
24,STX,2010-12-09 00:00:00+00:00,15.14,15.26,15.0,15.17,6820400,9.3298997717,9.4038487792,9.2436259297,9.3483870236,6820400,0.0,1.0
25,STX,2010-12-10 00:00:00+00:00,15.255,15.34,15.14,15.16,6319100,9.4007675705,9.4531481175,9.3298997717,9.3422246063,6319100,0.0,1.0
26,STX,2010-12-13 00:00:00+00:00,15.01,15.32,14.96,15.29,5954200,9.249788347,9.4408232829,9.2189762606,9.422336031,5954200,0.0,1.0
27,STX,2010-12-14 00:00:00+00:00,14.71,15.03,14.62,15.03,7655400,9.0649158284,9.2621131816,9.0094540729,9.2621131816,7655400,0.0,1.0
28,STX,2010-12-15 00:00:00+00:00,14.51,14.74,14.4,14.62,13602000,8.9416674827,9.0834030803,8.8738808925,9.0094540729,13602000,0.0,1.0
29,STX,2010-12-16 00:00:00+00:00,14.59,14.83,14.51,14.51,8194500,8.990966821,9.1388648359,8.9416674827,8.9416674827,8194500,0.0,1.0
30,STX,2010-12-17 00:00:00+00:00,14.7,14.75,14.51,14.55,12387000,9.0587534111,9.0895654976,8.9416674827,8.9663171518,12387000,0.0,1.0
31,STX,2010-12-20 00:00:00+00:00,14.69,14.9,14.65,14.75,8670300,9.0525909939,9.1820017569,9.0279413247,9.0895654976,8670300,0.0,1.0
