,Name,Date,Close,High,Low,Open,Volume,Adj Close,Adjhigh,Adjlow,Adjopen,Adjvolume,Divcash,Splitfactor
0,SYK,2010-11-04 00:00:00+00:00,51.76,52.15,51.5,51.72,2445900,45.128524244,45.4685575604,44.9018353664,45.0936490321,2445900,0.0,1.0
1,SYK,2010-11-05 00:00:00+00:00,52.43,52.76,51.58,51.61,2418200,45.7126840439,46.0004045424,44.9715857903,44.9977421993,2418200,0.0,1.0
2,SYK,2010-11-08 00:00:00+00:00,52.09,52.3,51.8,52.05,1724000,45.4162447425,45.5993396051,45.1633994559,45.3813695305,1724000,0.0,1.0
3,SYK,2010-11-09 00:00:00+00:00,52.17,52.72,51.95,52.27,2138200,45.4859951663,45.9655293304,45.2941815007,45.5731831962,2138200,0.0,1.0
4,SYK,2010-11-10 00:00:00+00:00,52.12,52.17,51.36,51.82,2003100,45.4424011514,45.4859951663,44.7797721247,45.1808370619,2003100,0.0,1.0
5,SYK,2010-11-11 00:00:00+00:00,52.19,52.41,51.37,51.38,2195000,45.5034327723,45.695246438,44.7884909276,44.7972097306,2195000,0.0,1.0
6,SYK,2010-11-12 00:00:00+00:00,51.59,52.0,51.37,51.7,1777600,44.9803045933,45.3377755156,44.7884909276,45.0762114261,1777600,0.0,1.0
7,SYK,2010-11-15 00:00:00+00:00,51.42,51.99,51.24,51.65,2042000,44.8320849426,45.3290567126,44.6751464889,45.0326174112,2042000,0.0,1.0
8,SYK,2010-11-16 00:00:00+00:00,50.7,51.255,50.5,51.04,1826800,44.2043311277,44.6882246933,44.0299550681,44.5007704292,1826800,0.0,1.0
9,SYK,2010-11-17 00:00:00+00:00,50.57,50.91,50.48,50.6,1819100,44.0909866889,44.3874259904,44.0125174621,44.1171430979,1819100,0.0,1.0
10,SYK,2010-11-18 00:00:00+00:00,51.39,51.67,50.751,51.05,1271100,44.8059285336,45.0500550172,44.2487970229,44.5094892322,1271100,0.0,1.0
11,SYK,2010-11-19 00:00:00+00:00,51.64,51.715,51.28,51.41,1441700,45.0238986082,45.0892896306,44.7100217008,44.8233661396,1441700,0.0,1.0
12,SYK,2010-11-22 00:00:00+00:00,51.39,51.58,50.7,51.34,1206600,44.8059285336,44.9715857903,44.2043311277,44.7623345187,1206600,0.0,1.0
13,SYK,2010-11-23 00:00:00+00:00,50.88,51.0,50.57,50.88,1660900,44.3612695814,44.4658952172,44.0909866889,44.3612695814,1660900,0.0,1.0
14,SYK,2010-11-24 00:00:00+00:00,51.3,51.47,50.02,50.65,1300000,44.7274593068,44.8756789575,43.6114525248,44.1607371128,1300000,0.0,1.0
15,SYK,2010-11-26 00:00:00+00:00,51.46,51.57,50.82,51.0,893800,44.8669601545,44.9628669873,44.3089567635,44.4658952172,893800,0.0,1.0
16,SYK,2010-11-29 00:00:00+00:00,50.77,51.0,50.18,50.91,2132400,44.2653627486,44.4658952172,43.7509533726,44.3874259904,2132400,0.0,1.0
17,SYK,2010-11-30 00:00:00+00:00,50.09,50.42,50.03,50.17,2244400,43.6724841457,43.9602046442,43.6201713278,43.7422345696,2244400,0.0,1.0
18,SYK,2010-12-01 00:00:00+00:00,50.95,51.26,50.46,50.78,2621400,44.4223012023,44.6925840948,43.9950798561,44.2740815516,2621400,0.0,1.0
19,SYK,2010-12-02 00:00:00+00:00,51.4,51.62,50.64,50.84,1344500,44.8146473366,45.0064610022,44.1520183098,44.3263943695,1344500,0.0,1.0
20,SYK,2010-12-03 00:00:00+00:00,52.11,52.13,51.15,51.15,1544400,45.4336823484,45.4511199544,44.596677262,44.596677262,1544400,0.0,1.0
21,SYK,2010-12-06 00:00:00+00:00,51.53,51.9,51.5,51.89,1288000,44.9279917754,45.2505874858,44.9018353664,45.2418686828,1288000,0.0,1.0
22,SYK,2010-12-07 00:00:00+00:00,51.28,52.14,51.25,51.96,3498400,44.7100217008,45.4598387574,44.6838652918,45.3029003037,3498400,0.0,1.0
23,SYK,2010-12-08 00:00:00+00:00,52.09,52.09,51.2739,51.34,2188600,45.4162447425,45.4162447425,44.704703231,44.7623345187,2188600,0.0,1.0
24,SYK,2010-12-09 00:00:00+00:00,53.0,53.12,52.22,52.41,2657400,46.209655814,46.3142814498,45.5295891813,45.695246438,2657400,0.0,1.0
25,SYK,2010-12-10 00:00:00+00:00,53.0,53.34,52.84,53.09,2560500,46.209655814,46.5060951154,46.0701549663,46.2881250408,2560500,0.0,1.0
26,SYK,2010-12-13 00:00:00+00:00,53.08,53.35,52.85,53.22,1651200,46.2794062379,46.5148139184,46.0788737692,46.4014694796,1651200,0.0,1.0
27,SYK,2010-12-14 00:00:00+00:00,54.05,54.36,53.21,53.21,1477900,47.1251301273,47.3954130198,46.3927506767,46.3927506767,1477900,0.0,1.0
28,SYK,2010-12-15 00:00:00+00:00,53.55,54.01,53.49,53.59,2673400,46.6891899781,47.0902549154,46.6368771602,46.72406519,2673400,0.0,1.0
29,SYK,2010-12-16 00:00:00+00:00,54.38,54.39,53.125,53.55,2385600,47.4128506258,47.4215694287,46.3186408513,46.6891899781,2385600,0.0,1.0
30,SYK,2010-12-17 00:00:00+00:00,54.53,54.59,54.04,54.35,1897700,47.5436326705,47.5959454884,47.1164113243,47.3866942168,1897700,0.0,1.0
31,SYK,2010-12-20 00:00:00+00:00,54.8,55.0,54.43,54.69,1454600,47.7790403511,47.9534164107,47.4564446407,47.6831335183,1454600,0.0,1.0
32,SYK,2010-12-21 00:00:00+00:00,54.18,54.94,54.16,54.86,1247700,47.2384745661,47.9011035928,47.2210369601,47.831353169,1247700,0.0,1.0
33,SYK,2010-12-22 00:00:00+00:00,54.38,54.5,53.87,54.2,1294200,47.4128506258,47.5174762616,46.9681916736,47.255912172,1294200,0.0,1.0
34,SYK,2010-12-23 00:00:00+00:00,53.7,54.25,53.62,54.25,1294800,46.8199720229,47.299506187,46.750221599,47.299506187,1294800,0.0,1.0
35,SYK,2010-12-27 00:00:00+00:00,54.01,54.21,53.51,53.55,958800,47.0902549154,47.264630975,46.6543147662,46.6891899781,958800,0.0,1.0
36,SYK,2010-12-28 00:00:00+00:00,54.05,54.2,53.6601,53.99,748400,47.1251301273,47.255912172,46.785183999,47.0728173094,748400,0.0,1.0
37,SYK,2010-12-29 00:00:00+00:00,54.1,54.39,53.99,54.14,990300,47.3256625959,47.5793491422,47.2294366646,47.3606538437,990300,0.18,1.0
