,Name,Date,Close,High,Low,Open,Volume,Adj Close,Adjhigh,Adjlow,Adjopen,Adjvolume,Divcash,Splitfactor
0,TMO,2010-11-04 00:00:00+00:00,52.88,52.92,52.25,52.61,2469500,50.7699574192,50.8083613204,50.1650959749,50.5107310859,2469500,0.0,1.0
1,TMO,2010-11-05 00:00:00+00:00,52.38,53.05,52.09,52.77,2978700,50.2899086539,50.9331739994,50.01148037,50.6643466908,2978700,0.0,1.0
2,TMO,2010-11-08 00:00:00+00:00,51.96,52.29,51.81,52.26,1938500,49.886667691,50.2034998761,49.7426530614,50.1746969502,1938500,0.0,1.0
3,TMO,2010-11-09 00:00:00+00:00,51.4,52.21,51.175,52.01,2786200,49.3490130738,50.1266920737,49.1329911295,49.9346725675,2786200,0.0,1.0
4,TMO,2010-11-10 00:00:00+00:00,52.36,52.41,51.01,51.5,3760700,50.2707067032,50.3187115798,48.9745750369,49.4450228269,3760700,0.0,1.0
5,TMO,2010-11-11 00:00:00+00:00,52.58,52.58,51.65,51.86,1918100,50.48192816,50.48192816,49.5890374565,49.7906579379,1918100,0.0,1.0
6,TMO,2010-11-12 00:00:00+00:00,52.2,52.67,51.69,52.07,2259700,50.1170910983,50.5683369377,49.6274413577,49.9922784194,2259700,0.0,1.0
7,TMO,2010-11-15 00:00:00+00:00,51.35,52.28,51.29,52.27,2554300,49.3010081973,50.1938989008,49.2434023455,50.1842979255,2554300,0.0,1.0
8,TMO,2010-11-16 00:00:00+00:00,50.27,51.16,50.09,50.99,3545500,48.2641028642,49.1185896665,48.0912853087,48.9553730863,3545500,0.0,1.0
9,TMO,2010-11-17 00:00:00+00:00,50.48,50.9699,50.25,50.39,2058000,48.4657233457,48.9360751259,48.2449009136,48.3793145679,2058000,0.0,1.0
10,TMO,2010-11-18 00:00:00+00:00,51.25,51.64,50.82,50.87,2233200,49.2049984443,49.5794364812,48.7921565061,48.8401613826,2233200,0.0,1.0
11,TMO,2010-11-19 00:00:00+00:00,51.2,51.54,51.01,51.38,2924200,49.1569935677,49.4834267281,48.9745750369,49.3298111232,2924200,0.0,1.0
12,TMO,2010-11-22 00:00:00+00:00,51.53,51.59,50.7201,50.83,1902700,49.4738257528,49.5314316047,48.6962427628,48.8017574814,1902700,0.0,1.0
13,TMO,2010-11-23 00:00:00+00:00,50.69,51.26,50.43,51.12,2022800,48.6673438271,49.2145994196,48.4177184691,49.0801857653,2022800,0.0,1.0
14,TMO,2010-11-24 00:00:00+00:00,51.76,51.87,50.99,50.99,1932300,49.6946481849,49.8002589132,48.9553730863,48.9553730863,1932300,0.0,1.0
15,TMO,2010-11-26 00:00:00+00:00,51.47,51.78,51.19,51.44,905600,49.416219901,49.7138501355,49.1473925924,49.3874169751,905600,0.0,1.0
16,TMO,2010-11-29 00:00:00+00:00,51.08,51.19,49.91,51.1,2282600,49.0417818641,49.1473925924,47.9184677532,49.0609838147,2282600,0.0,1.0
17,TMO,2010-11-30 00:00:00+00:00,50.86,51.4,50.54,50.55,3432500,48.8305604073,49.3490130738,48.5233291975,48.5329301728,3432500,0.0,1.0
18,TMO,2010-12-01 00:00:00+00:00,51.55,51.95,51.35,51.64,2867600,49.4930277034,49.8770667157,49.3010081973,49.5794364812,2867600,0.0,1.0
19,TMO,2010-12-02 00:00:00+00:00,52.5,52.61,51.38,51.52,2093400,50.4051203575,50.5107310859,49.3298111232,49.4642247775,2093400,0.0,1.0
20,TMO,2010-12-03 00:00:00+00:00,52.85,52.885,52.05,52.22,2322800,50.7411544932,50.7747579068,49.9730764688,50.136293049,2322800,0.0,1.0
21,TMO,2010-12-06 00:00:00+00:00,52.42,52.75,52.21,52.7,1531000,50.3283125551,50.6451447402,50.1266920737,50.5971398637,1531000,0.0,1.0
22,TMO,2010-12-07 00:00:00+00:00,52.33,52.94,52.23,52.82,1776500,50.2419037773,50.827563271,50.1458940243,50.7123515673,1776500,0.0,1.0
23,TMO,2010-12-08 00:00:00+00:00,52.1,52.5,51.77,52.33,1538500,50.0210813453,50.4051203575,49.7042491602,50.2419037773,1538500,0.0,1.0
24,TMO,2010-12-09 00:00:00+00:00,52.03,52.27,51.5,52.23,3021700,49.9538745181,50.1842979255,49.4450228269,50.1458940243,3021700,0.0,1.0
25,TMO,2010-12-10 00:00:00+00:00,53.04,53.3,52.09,52.56,2373700,50.9235730241,51.173198382,50.01148037,50.4627262094,2373700,0.0,1.0
26,TMO,2010-12-13 00:00:00+00:00,55.56,55.72,54.31,54.97,8186900,53.3430188012,53.4966344061,52.142896888,52.7765612582,8186900,0.0,1.0
27,TMO,2010-12-14 00:00:00+00:00,55.11,56.25,55.06,55.92,3314100,52.9109749124,54.0054860974,52.8629700359,53.6886539123,3314100,0.0,1.0
28,TMO,2010-12-15 00:00:00+00:00,55.37,56.21,54.17,54.71,4156100,53.1606002704,53.9670821961,52.0084832337,52.5269359002,4156100,0.0,1.0
29,TMO,2010-12-16 00:00:00+00:00,55.37,55.43,54.83,55.35,2738400,53.1606002704,53.2182061222,52.6421476039,53.1413983198,2738400,0.0,1.0
30,TMO,2010-12-17 00:00:00+00:00,55.78,55.88,54.75,55.29,3858500,53.554240258,53.650250011,52.5653398014,53.083792468,3858500,0.0,1.0
31,TMO,2010-12-20 00:00:00+00:00,55.54,55.74,55.1,55.65,2959100,53.3238168506,53.5158363567,52.9013739371,53.429427579,2959100,0.0,1.0
32,TMO,2010-12-21 00:00:00+00:00,55.53,55.75,55.3101,55.6,1130500,53.3142158753,53.525437332,53.1030904283,53.3814227025,1130500,0.0,1.0
33,TMO,2010-12-22 00:00:00+00:00,55.54,55.65,55.31,55.47,1326500,53.3238168506,53.429427579,53.1029944186,53.2566100235,1326500,0.0,1.0
34,TMO,2010-12-23 00:00:00+00:00,55.77,55.79,55.29,55.29,1271700,53.5446392827,53.5638412333,53.083792468,53.083792468,1271700,0.0,1.0
35,TMO,2010-12-27 00:00:00+00:00,55.82,56.12,55.23,55.69,971900,53.5926441592,53.8806734184,53.0261866161,53.4678314802,971900,0.0,1.0
36,TMO,2010-12-28 00:00:00+00:00,55.19,55.9,55.19,55.86,1721900,52.9877827149,53.6694519616,52.9877827149,53.6310480604,1721900,0.0,1.0
37,TMO,2010-12-29 00:00:00+00:00,55.74,56.0,55.14,55.37,1377600,53.5158363567,53.7654617147,52.9397778384,53.1606002704,1377600,0.0,1.0
38,TMO,2010-12-30 00:00:00+00:00,55.67,55.79,55.35,55.52,1055100,53.4486295296,53.5638412333,53.1413983198,53.3046149,1055100,0.0,1.0
