,Name,Date,Close,High,Low,Open,Volume,Adj Close,Adjhigh,Adjlow,Adjopen,Adjvolume,Divcash,Splitfactor
0,TROW,2010-11-04 00:00:00+00:00,59.13,59.25,57.08,57.64,2730600,44.185221718,44.2748923861,42.6533478042,43.0718109221,2730600,0.0,1.0
1,TROW,2010-11-05 00:00:00+00:00,60.46,60.52,58.8,59.06,2941900,45.179071623,45.2239069571,43.9386273806,44.1329138282,2941900,0.0,1.0
2,TROW,2010-11-08 00:00:00+00:00,59.01,60.09,58.81,60.0,1949100,44.0955510498,44.902587063,43.9460999363,44.8353340619,1949100,0.0,1.0
3,TROW,2010-11-09 00:00:00+00:00,57.86,59.3595,57.52,59.24,2093600,43.236207147,44.3567168708,42.982140254,44.2674198304,2093600,0.0,1.0
4,TROW,2010-11-10 00:00:00+00:00,58.31,58.54,57.16,57.72,2105000,43.5724721525,43.744340933,42.7131282496,43.1315913675,2105000,0.0,1.0
5,TROW,2010-11-11 00:00:00+00:00,58.66,58.87,57.51,57.6,1338700,43.8340116012,43.9909352704,42.9746676983,43.0419206994,1338700,0.0,1.0
6,TROW,2010-11-12 00:00:00+00:00,57.74,58.26,57.39,58.1,1725100,43.1465364789,43.5351093741,42.8849970302,43.4155484832,1725100,0.0,1.0
7,TROW,2010-11-15 00:00:00+00:00,58.17,58.81,57.8,57.96,1502600,43.467856373,43.9460999363,43.1913718129,43.3109327038,1502600,0.0,1.0
8,TROW,2010-11-16 00:00:00+00:00,56.86,58.12,56.46,57.74,1862000,42.4889515793,43.4304935946,42.1900493522,43.1465364789,1862000,0.0,1.0
9,TROW,2010-11-17 00:00:00+00:00,57.4,57.75,56.63,56.87,1323800,42.8924695859,43.1540090345,42.3170827987,42.496424135,1323800,0.0,1.0
10,TROW,2010-11-18 00:00:00+00:00,58.54,59.31,58.13,58.15,1866800,43.744340933,44.3197277202,43.4379661503,43.4529112616,1866800,0.0,1.0
11,TROW,2010-11-19 00:00:00+00:00,58.98,59.03,57.8,58.44,1404400,44.0731333828,44.1104961612,43.1913718129,43.6696153763,1404400,0.0,1.0
12,TROW,2010-11-22 00:00:00+00:00,58.54,59.0,57.99,58.82,1179400,43.744340933,44.0880784942,43.3333503708,43.953572492,1179400,0.0,1.0
13,TROW,2010-11-23 00:00:00+00:00,57.18,57.85,57.0,57.5119,2537300,42.728073361,43.2287345913,42.5935673588,42.9760874839,2537300,0.0,1.0
14,TROW,2010-11-24 00:00:00+00:00,59.22,59.335,57.7201,57.76,1743600,44.2524747191,44.3384091093,43.1316660931,43.1614815902,1743600,0.0,1.0
15,TROW,2010-11-26 00:00:00+00:00,58.65,59.05,58.35,58.73,451100,43.8265390455,44.1254412726,43.6023623752,43.8863194909,451100,0.0,1.0
16,TROW,2010-11-29 00:00:00+00:00,58.34,58.66,57.66,58.17,1227100,43.5948898195,43.8340116012,43.0867560335,43.467856373,1227100,0.0,1.0
17,TROW,2010-11-30 00:00:00+00:00,58.33,58.94,57.51,57.8,1504500,43.5874172638,44.0432431601,42.9746676983,43.1913718129,1504500,0.0,1.0
18,TROW,2010-12-01 00:00:00+00:00,59.46,59.99,59.18,59.59,2466500,44.4318160553,44.8278615062,44.2225844964,44.5289592791,2466500,0.0,1.0
19,TROW,2010-12-02 00:00:00+00:00,61.47,61.52,59.7,59.7,2086200,45.9337997464,45.9711625248,44.6111573916,44.6111573916,2086200,0.0,1.0
20,TROW,2010-12-03 00:00:00+00:00,61.32,61.5,60.02,60.99,1496100,45.8217114112,45.9562174134,44.8502791732,45.5751170739,1496100,0.0,1.0
21,TROW,2010-12-06 00:00:00+00:00,61.58,61.6599,60.73,61.22,1351000,46.0159978588,46.0757035787,45.3808306263,45.7469858545,1351000,0.0,1.0
22,TROW,2010-12-07 00:00:00+00:00,62.1,63.22,62.07,62.57,2932100,46.404570754,47.2414969899,46.382153087,46.7557808709,2932100,0.0,1.0
23,TROW,2010-12-08 00:00:00+00:00,61.84,62.57,61.57,62.26,2658100,46.2102843064,46.7557808709,46.0085253032,46.5241316449,2658100,0.0,1.0
24,TROW,2010-12-09 00:00:00+00:00,62.44,62.68,61.67,62.22,1879300,46.658637647,46.8379789833,46.0832508599,46.4942414222,1879300,0.0,1.0
25,TROW,2010-12-10 00:00:00+00:00,63.02,63.16,62.03,62.46,1224100,47.2938048796,47.3988688701,46.5508523751,46.8735489175,1224100,0.27,1.0
26,TROW,2010-12-13 00:00:00+00:00,63.45,64.04,63.03,63.66,1981900,47.6165014219,48.0592710963,47.3013094503,47.7740974077,1981900,0.0,1.0
27,TROW,2010-12-14 00:00:00+00:00,62.78,63.9,62.43,63.9,1089900,47.1136951815,47.9542071058,46.8510352052,47.9542071058,1089900,0.0,1.0
28,TROW,2010-12-15 00:00:00+00:00,62.7,63.82,62.55,63.76,2539800,47.0536586155,47.8941705398,46.9410900542,47.8491431152,2539800,0.0,1.0
29,TROW,2010-12-16 00:00:00+00:00,62.64,62.96,62.17,62.75,2669600,47.008631191,47.2487774551,46.6559163657,47.0911814693,2669600,0.0,1.0
30,TROW,2010-12-17 00:00:00+00:00,62.99,63.2899,62.55,62.55,2410300,47.2712911673,47.4963532442,46.9410900542,46.9410900542,2410300,0.0,1.0
31,TROW,2010-12-20 00:00:00+00:00,63.36,63.64,62.83,63.45,1014100,47.5489602852,47.7590882662,47.1512180353,47.6165014219,1014100,0.0,1.0
32,TROW,2010-12-21 00:00:00+00:00,64.27,64.54,63.61,63.73,1345600,48.2318762236,48.4344996339,47.736574554,47.826629403,1345600,0.0,1.0
33,TROW,2010-12-22 00:00:00+00:00,65.37,65.38,64.41,64.49,1439300,49.0573790063,49.0648835771,48.3369402141,48.3969767801,1439300,0.0,1.0
34,TROW,2010-12-23 00:00:00+00:00,64.4,65.24,63.98,65.13,920300,48.3294356434,48.9598195866,48.0142436718,48.8772693083,920300,0.0,1.0
35,TROW,2010-12-27 00:00:00+00:00,64.73,64.75,64.04,64.18,563300,48.5770864782,48.5920956197,48.0592710963,48.1643350868,563300,0.0,1.0
36,TROW,2010-12-28 00:00:00+00:00,64.38,65.04,64.04,64.79,560900,48.3144265019,48.8097281715,48.0592710963,48.6221139027,560900,0.0,1.0
37,TROW,2010-12-29 00:00:00+00:00,63.91,64.3,63.68,64.3,916100,47.9617116765,48.2543899359,47.7891065492,48.2543899359,916100,0.0,1.0
38,TROW,2010-12-30 00:00:00+00:00,64.22,64.45,63.85,64.01,978700,48.1943533698,48.3669584971,47.916684252,48.036757384,978700,0.0,1.0
39,TROW,2010-12-31 00:00:00+00:00,64.54,64.62,63.8,64.16,1177400,48.4344996339,48.4945361999,47.8791613983,48.1493259453,1177400,0.0,1.0
40,TROW,2011-01-03 00:00:00+00:00,65.78,66.15,64.88,64.92,2496500,49.3650664072,49.642735525,48.6896550395,48.7196733225,2496500,0.0,1.0
41,TROW,2011-01-04 00:00:00+00:00,64.28,65.36,64.15,64.65,2078800,48.2393807944,49.0498744356,48.1418213746,48.5170499122,2078800,0.0,1.0
42,TROW,2011-01-05 00:00:00+00:00,65.16,65.16,64.34,64.35,1886700,48.8997830205,48.8997830205,48.2844082189,48.2919127896,1886700,0.0,1.0
43,TROW,2011-01-06 00:00:00+00:00,65.16,66.09,64.945,65.24,1563900,48.8997830205,49.5977081005,48.7384347494,48.9598195866,1563900,0.0,1.0
44,TROW,2011-01-07 00:00:00+00:00,64.63,65.81,63.97,65.29,1452200,48.5020407707,49.3875801194,48.006739101,48.9973424403,1452200,0.0,1.0
45,TROW,2011-01-10 00:00:00+00:00,64.73,64.95,63.68,64.23,1281600,48.5770864782,48.7421870347,47.7891065492,48.2018579406,1281600,0.0,1.0
46,TROW,2011-01-11 00:00:00+00:00,65.21,66.01,64.91,64.99,1087400,48.9373058743,49.5376715345,48.7121687517,48.7722053178,1087400,0.0,1.0
47,TROW,2011-01-12 00:00:00+00:00,66.61,66.65,65.54,65.59,1444700,49.9879457796,50.0179640626,49.1849567091,49.2224795629,1444700,0.0,1.0
48,TROW,2011-01-13 00:00:00+00:00,66.74,67.47,66.31,66.49,1533600,50.0855051994,50.6333388643,49.762808657,49.8978909306,1533600,0.0,1.0
49,TROW,2011-01-14 00:00:00+00:00,67.7,67.76,66.09,66.51,1884000,50.8059439916,50.8509714161,49.5977081005,49.9129000721,1884000,0.0,1.0
50,TROW,2011-01-18 00:00:00+00:00,67.86,67.92,66.94,67.57,1324500,50.9260171236,50.9710445481,50.2355966144,50.7083845718,1324500,0.0,1.0
51,TROW,2011-01-19 00:00:00+00:00,66.02,67.59,65.89,67.44,1544300,49.5451761052,50.7233937133,49.4476166854,50.610825152,1544300,0.0,1.0
52,TROW,2011-01-20 00:00:00+00:00,65.63,66.96,65.42,66.26,1241100,49.2524978459,50.2506057559,49.0949018601,49.7252858033,1241100,0.0,1.0
53,TROW,2011-01-21 00:00:00+00:00,66.25,66.75,65.87,66.16,1189200,49.7177812325,50.0930097701,49.4326075439,49.6502400957,1189200,0.0,1.0
54,TROW,2011-01-24 00:00:00+00:00,66.52,66.53,65.31,65.34,1271900,49.9204046428,49.9279092136,49.0123515818,49.0348652941,1271900,0.0,1.0
55,TROW,2011-01-25 00:00:00+00:00,66.83,66.85,65.84,66.5,1452300,50.1530463361,50.1680554776,49.4100938317,49.9053955013,1452300,0.0,1.0
56,TROW,2011-01-26 00:00:00+00:00,67.29,67.52,66.59,67.18,1279200,50.4982565907,50.670861718,49.9729366381,50.4157063125,1279200,0.0,1.0
57,TROW,2011-01-27 00:00:00+00:00,68.07,68.23,67.13,67.37,1534400,51.0836131094,51.2036862414,50.3781834587,50.5582931567,1534400,0.0,1.0
58,TROW,2011-01-28 00:00:00+00:00,65.85,68.98,64.96,68.9,2830200,49.4175984024,51.7665290478,48.7496916055,51.7064924818,2830200,0.0,1.0
59,TROW,2011-01-31 00:00:00+00:00,65.92,66.34,64.97,65.91,2165400,49.4701303977,49.7853223693,48.7571961762,49.4626258269,2165400,0.0,1.0
60,TROW,2011-02-01 00:00:00+00:00,67.21,67.6,65.965,66.0,1737700,50.4382200247,50.730898284,49.5039009661,49.5301669637,1737700,0.0,1.0
61,TROW,2011-02-02 00:00:00+00:00,66.52,67.02,66.3,66.75,1308700,49.9204046428,50.2956331804,49.7553040863,50.0930097701,1308700,0.0,1.0
62,TROW,2011-02-03 00:00:00+00:00,66.12,66.75,65.51,66.43,1170800,49.6202218127,50.0930097701,49.1624429969,49.8528635061,1170800,0.0,1.0
63,TROW,2011-02-04 00:00:00+00:00,66.08,66.87,65.93,66.29,1437000,49.5902035297,50.1830646191,49.4776349684,49.7477995155,1437000,0.0,1.0
64,TROW,2011-02-07 00:00:00+00:00,67.01,67.56,66.2,66.28,1511500,50.2881286097,50.700880001,49.6802583788,49.7402949448,1511500,0.0,1.0
65,TROW,2011-02-08 00:00:00+00:00,67.25,67.5,66.8,67.25,1008000,50.4682383077,50.6558525765,50.1305326239,50.4682383077,1008000,0.0,1.0
