,Name,Date,Close,High,Low,Open,Volume,Adj Close,Adjhigh,Adjlow,Adjopen,Adjvolume,Divcash,Splitfactor
0,VMC,2010-11-04 00:00:00+00:00,41.34,41.35,39.26,39.34,2723600,38.4407025381,38.4500012083,36.50657914,36.5809685014,2723600,0.0,1.0
1,VMC,2010-11-05 00:00:00+00:00,42.39,43.49,41.1775,41.36,3053100,39.4170629074,40.4399166275,38.2895991476,38.4592998785,3053100,0.0,1.0
2,VMC,2010-11-08 00:00:00+00:00,43.43,43.5,42.1,42.26,2016300,40.3841246064,40.4492152977,39.147401472,39.296180195,2016300,0.0,1.0
3,VMC,2010-11-09 00:00:00+00:00,42.12,43.48,41.87,43.48,1320200,39.1659988124,40.4306179573,38.9335320578,40.4306179573,1320200,0.0,1.0
4,VMC,2010-11-10 00:00:00+00:00,41.81,42.22,40.82,42.1,1488400,38.8777400367,39.2589855142,37.9571716886,39.147401472,1488400,0.0,1.0
5,VMC,2010-11-11 00:00:00+00:00,41.63,41.8,41.01,41.31,1149500,38.7103639734,38.8684413665,38.133846422,38.4128065275,1149500,0.0,1.0
6,VMC,2010-11-12 00:00:00+00:00,40.66,41.81,40.54,41.2,1271500,37.8083929656,38.8777400367,37.6968089234,38.3105211555,1271500,0.0,1.0
7,VMC,2010-11-15 00:00:00+00:00,39.61,40.95,39.56,40.81,1184000,36.8320325964,38.0780544009,36.7855392455,37.9478730184,1184000,0.0,1.0
8,VMC,2010-11-16 00:00:00+00:00,39.15,39.82,38.71,39.45,1323200,36.4042937679,37.0273046702,35.9951522799,36.6832538734,1323200,0.0,1.0
9,VMC,2010-11-17 00:00:00+00:00,38.94,39.35,38.67,39.08,719800,36.2090216941,36.5902671716,35.9579575991,36.3392030767,719800,0.0,1.0
10,VMC,2010-11-18 00:00:00+00:00,39.62,40.21,39.31,39.54,806100,36.8413312666,37.3899528074,36.5530724909,36.7669419051,806100,0.0,1.0
11,VMC,2010-11-19 00:00:00+00:00,39.55,39.71,39.17,39.63,841200,36.7762405753,36.9250192982,36.4228911083,36.8506299367,841200,0.0,1.0
12,VMC,2010-11-22 00:00:00+00:00,40.0,40.03,39.0,39.32,843600,37.1946807335,37.2225767441,36.2648137152,36.5623711611,843600,0.0,1.0
13,VMC,2010-11-23 00:00:00+00:00,39.2,39.62,39.05,39.37,677800,36.4507871189,36.8413312666,36.3113070661,36.608864512,677800,0.0,1.0
14,VMC,2010-11-24 00:00:00+00:00,39.9,40.0,39.48,39.58,542600,37.1016940317,37.1946807335,36.711149884,36.8041365858,542600,0.0,1.0
15,VMC,2010-11-26 00:00:00+00:00,38.76,39.68,38.7,39.68,513200,36.0416456308,36.8971232877,35.9858536097,36.8971232877,513200,0.0,1.0
16,VMC,2010-11-29 00:00:00+00:00,39.46,39.62,38.49,38.49,889900,36.6925525436,36.8413312666,35.7905815358,35.7905815358,889900,0.0,1.0
17,VMC,2010-11-30 00:00:00+00:00,40.12,40.46,38.8,39.05,1459100,37.3062647757,37.622419562,36.0788403115,36.3113070661,1459100,0.0,1.0
18,VMC,2010-12-01 00:00:00+00:00,41.94,42.31,40.63,40.95,1262000,38.9986227491,39.3426735459,37.7804969551,38.0780544009,1262000,0.0,1.0
19,VMC,2010-12-02 00:00:00+00:00,42.35,42.69,41.64,42.0,1546800,39.3798682266,39.6960230129,38.7196626436,39.0544147702,1546800,0.0,1.0
20,VMC,2010-12-03 00:00:00+00:00,42.0,42.3,41.72,42.06,1909700,39.0544147702,39.3333748757,38.7940520051,39.1102067913,1909700,0.0,1.0
21,VMC,2010-12-06 00:00:00+00:00,41.67,42.06,41.45,41.95,910100,38.7475586542,39.1102067913,38.5429879101,39.0079214193,910100,0.0,1.0
22,VMC,2010-12-07 00:00:00+00:00,42.28,42.7,42.13,42.47,2103500,39.3147775353,39.705321683,39.1752974826,39.4914522688,2103500,0.0,1.0
23,VMC,2010-12-08 00:00:00+00:00,42.29,42.63,41.67,42.41,611100,39.3240762055,39.6402309918,38.7475586542,39.4356602477,611100,0.0,1.0
24,VMC,2010-12-09 00:00:00+00:00,42.52,42.579,41.88,42.43,943800,39.5379456197,39.5928077738,38.942830728,39.4542575881,943800,0.0,1.0
25,VMC,2010-12-10 00:00:00+00:00,43.28,43.48,42.5,42.5,968400,40.2446445537,40.4306179573,39.5193482794,39.5193482794,968400,0.0,1.0
26,VMC,2010-12-13 00:00:00+00:00,44.78,45.07,43.4,43.44,1560600,41.6394450812,41.9091065165,40.3562285959,40.3934232766,1560600,0.0,1.0
27,VMC,2010-12-14 00:00:00+00:00,47.37,47.5705,44.82,44.89,3244400,44.0478006587,44.2342389959,41.6766397619,41.7417304532,3244400,0.0,1.0
28,VMC,2010-12-15 00:00:00+00:00,46.39,48.26,46.16,47.28,2328300,43.1365309807,44.875382305,42.9226615665,43.964112627,2328300,0.0,1.0
29,VMC,2010-12-16 00:00:00+00:00,47.33,47.34,46.18,46.42,986700,44.0106059779,44.0199046481,42.9412589069,43.1644269913,986700,0.0,1.0
30,VMC,2010-12-17 00:00:00+00:00,46.06,47.33,45.99,47.1,2131100,42.8296748647,44.0106059779,42.7645841734,43.7967365637,2131100,0.0,1.0
31,VMC,2010-12-20 00:00:00+00:00,45.5,46.47,45.28,46.09,1541900,42.3089493344,43.2109203422,42.1043785904,42.8575708752,1541900,0.0,1.0
32,VMC,2010-12-21 00:00:00+00:00,45.51,45.9,45.38,45.55,1217000,42.3182480046,42.6808961417,42.1973652922,42.3554426853,1217000,0.0,1.0
33,VMC,2010-12-22 00:00:00+00:00,45.22,45.71,45.03,45.64,1164200,42.0485865693,42.5042214082,41.8719118358,42.439130717,1164200,0.0,1.0
34,VMC,2010-12-23 00:00:00+00:00,44.82,45.57,44.69,45.09,1034500,41.6766397619,42.3740400257,41.5557570495,41.9277038569,1034500,0.0,1.0
35,VMC,2010-12-27 00:00:00+00:00,44.43,44.8,44.12,44.71,823800,41.3139916248,41.6580424215,41.0257328491,41.5743543899,823800,0.0,1.0
36,VMC,2010-12-28 00:00:00+00:00,44.33,44.64,44.08,44.64,634900,41.2210049229,41.5092636986,40.9885381683,41.5092636986,634900,0.0,1.0
37,VMC,2010-12-29 00:00:00+00:00,45.17,45.33,44.45,44.49,938100,42.0020932183,42.1508719413,41.3325889651,41.3697836459,938100,0.0,1.0
38,VMC,2010-12-30 00:00:00+00:00,44.83,45.15,44.71,45.02,867300,41.6859384321,41.983495878,41.5743543899,41.8626131656,867300,0.0,1.0
39,VMC,2010-12-31 00:00:00+00:00,44.36,44.91,44.19,44.7,866900,41.2489009335,41.7603277936,41.0908235404,41.5650557197,866900,0.0,1.0
40,VMC,2011-01-03 00:00:00+00:00,44.46,45.22,44.36,44.91,1527200,41.3418876353,42.0485865693,41.2489009335,41.7603277936,1527200,0.0,1.0
41,VMC,2011-01-04 00:00:00+00:00,42.14,43.64,41.78,43.41,2475200,39.1845961528,40.5793966803,38.8498440262,40.3655272661,2475200,0.0,1.0
42,VMC,2011-01-05 00:00:00+00:00,41.26,42.12,40.52,41.72,3242200,38.3663131766,39.1659988124,37.6782115831,38.7940520051,3242200,0.0,1.0
43,VMC,2011-01-06 00:00:00+00:00,40.49,41.37,40.29,41.23,1942300,37.6503155725,38.4685985486,37.4643421688,38.3384171661,1942300,0.0,1.0
44,VMC,2011-01-07 00:00:00+00:00,40.5,40.99,39.95,40.5,1498600,37.6596142427,38.1152490817,37.1481873826,37.6596142427,1498600,0.0,1.0
45,VMC,2011-01-10 00:00:00+00:00,40.37,40.85,39.77,40.33,1508600,37.5387315303,37.9850676991,36.9808113193,37.5015368496,1508600,0.0,1.0
46,VMC,2011-01-11 00:00:00+00:00,40.5,40.97,40.28,40.64,1063800,37.6596142427,38.0966517413,37.4550434987,37.7897956253,1063800,0.0,1.0
47,VMC,2011-01-12 00:00:00+00:00,40.71,41.73,40.55,40.86,1290000,37.8548863165,38.8033506753,37.7061075936,37.9943663693,1290000,0.0,1.0
48,VMC,2011-01-13 00:00:00+00:00,40.51,41.24,40.37,40.77,1099200,37.6689129129,38.3477158363,37.5387315303,37.9106783376,1099200,0.0,1.0
49,VMC,2011-01-14 00:00:00+00:00,41.06,41.09,40.06,40.22,1003800,38.180339773,38.2082357835,37.2504727546,37.3992514776,1003800,0.0,1.0
50,VMC,2011-01-18 00:00:00+00:00,40.6,41.25,40.38,41.04,967500,37.7526009445,38.3570145064,37.5480302005,38.1617424326,967500,0.0,1.0
51,VMC,2011-01-19 00:00:00+00:00,40.37,40.92,40.185,40.72,1084300,37.5387315303,38.0501583904,37.3667061319,37.8641849867,1084300,0.0,1.0
52,VMC,2011-01-20 00:00:00+00:00,40.65,41.08,40.05,40.23,1024100,37.7990942954,38.1989371133,37.2411740844,37.4085501477,1024100,0.0,1.0
53,VMC,2011-01-21 00:00:00+00:00,40.51,41.2192,40.29,40.93,1199900,37.6689129129,38.3283746023,37.4643421688,38.0594570606,1199900,0.0,1.0
54,VMC,2011-01-24 00:00:00+00:00,42.02,42.73,40.43,40.43,1312400,39.0730121106,39.7332176936,37.5945235514,37.5945235514,1312400,0.0,1.0
55,VMC,2011-01-25 00:00:00+00:00,42.23,42.42,41.5801,41.96,1513800,39.2682841844,39.4449589179,38.6639636092,39.0172200895,1513800,0.0,1.0
56,VMC,2011-01-26 00:00:00+00:00,43.04,43.14,41.86,42.3,1545100,40.0214764693,40.1144631711,38.9242333876,39.3333748757,1545100,0.0,1.0
57,VMC,2011-01-27 00:00:00+00:00,43.16,43.2499,42.54,43.09,1025700,40.1330605115,40.2166555564,39.5565429601,40.0679698202,1025700,0.0,1.0
