,Name,Date,Close,High,Low,Open,Volume,Adj Close,Adjhigh,Adjlow,Adjopen,Adjvolume,Divcash,Splitfactor
0,VTR,2010-11-04 00:00:00+00:00,55.43,55.51,54.01,54.3,1420000,29.8500353064,29.8931167212,29.085340193,29.2415103218,1420000,0.0,1.0
1,VTR,2010-11-05 00:00:00+00:00,55.1,56.2,54.725,55.11,1670200,29.6723244702,30.2646939242,29.4703803381,29.677709647,1670200,0.0,1.0
2,VTR,2010-11-08 00:00:00+00:00,55.14,55.3,54.41,54.91,955000,29.6938651776,29.7800280073,29.3007472672,29.5700061099,955000,0.0,1.0
3,VTR,2010-11-09 00:00:00+00:00,53.55,55.36,53.18,55.29,2374900,28.8376220577,29.8123390684,28.638370514,29.7746428304,2374900,0.0,1.0
4,VTR,2010-11-10 00:00:00+00:00,54.39,54.43,53.69,53.75,1092700,29.2899769135,29.3115176209,28.9130145336,28.9453255948,1092700,0.0,1.0
5,VTR,2010-11-11 00:00:00+00:00,54.21,54.71,53.96,54.11,1075100,29.1930437301,29.4623025728,29.0584143087,29.1391919615,1075100,0.0,1.0
6,VTR,2010-11-12 00:00:00+00:00,53.45,54.36,53.13,53.96,1163600,28.7837702891,29.2738213829,28.6114446298,29.0584143087,1163600,0.0,1.0
7,VTR,2010-11-15 00:00:00+00:00,53.04,54.03,52.95,53.56,1094200,28.5629780381,29.0961105467,28.5145114464,28.8430072345,1094200,0.0,1.0
8,VTR,2010-11-16 00:00:00+00:00,50.77,52.68,50.68,52.64,2342700,27.340542892,28.3691116713,27.2920763003,28.3475709639,2342700,0.0,1.0
9,VTR,2010-11-17 00:00:00+00:00,51.15,51.675,50.6,50.89,1289100,27.5451796125,27.8279013974,27.2489948855,27.4051650143,1289100,0.0,1.0
10,VTR,2010-11-18 00:00:00+00:00,51.26,52.18,51.16,51.91,879600,27.6044165579,28.0998528286,27.5505647894,27.9544530535,879600,0.0,1.0
11,VTR,2010-11-19 00:00:00+00:00,51.46,51.55,50.63,51.13,1010200,27.712120095,27.7605866867,27.2651504161,27.5344092588,1010200,0.0,1.0
12,VTR,2010-11-22 00:00:00+00:00,51.73,51.9,51.12,51.22,1281100,27.8575198701,27.9490678766,27.5290240819,27.5828758505,1281100,0.0,1.0
13,VTR,2010-11-23 00:00:00+00:00,51.22,51.6,50.97,51.13,1431300,27.5828758505,27.787512571,27.4482464291,27.5344092588,1431300,0.0,1.0
14,VTR,2010-11-24 00:00:00+00:00,52.24,52.26,51.52,51.76,1147100,28.1321638897,28.1429342434,27.7444311561,27.8736754007,1147100,0.0,1.0
15,VTR,2010-11-26 00:00:00+00:00,51.91,52.26,51.69,51.98,342200,27.9544530535,28.1429342434,27.8359791627,27.9921492915,342200,0.0,1.0
16,VTR,2010-11-29 00:00:00+00:00,51.73,51.87,50.41,51.45,1570600,27.8575198701,27.9329123461,27.1466765252,27.7067349182,1570600,0.0,1.0
