,Name,Date,Close,High,Low,Open,Volume,Adj Close,Adjhigh,Adjlow,Adjopen,Adjvolume,Divcash,Splitfactor
0,WMB,2010-11-04 00:00:00+00:00,22.23,22.25,21.63,21.72,9257700,10.8335081523,10.8432548982,10.541105773,10.5849661299,9257700,0.0,1.0
1,WMB,2010-11-05 00:00:00+00:00,22.34,22.37,22.0,22.2,7289400,10.8871152551,10.9017353741,10.7214205735,10.8188880333,7289400,0.0,1.0
2,WMB,2010-11-08 00:00:00+00:00,22.6,22.65,22.19,22.28,8559000,11.0138229528,11.0381898177,10.8140146603,10.8578750172,8559000,0.0,1.0
3,WMB,2010-11-09 00:00:00+00:00,22.95,23.3,22.39,22.75,13768400,11.1843910074,11.354959062,10.9114821201,11.0869235476,13768400,0.0,1.0
4,WMB,2010-11-10 00:00:00+00:00,22.71,22.99,22.54,22.8,11540200,11.0674300557,11.2038844993,10.9845827149,11.1112904126,11540200,0.0,1.0
5,WMB,2010-11-11 00:00:00+00:00,23.61,23.74,22.35,22.45,22848800,11.5060336246,11.5693874734,10.8919886281,10.940722358,22848800,0.0,1.0
6,WMB,2010-11-12 00:00:00+00:00,23.05,23.96,22.9,23.52,14436300,11.2331247373,11.6766016792,11.1600241424,11.4621732677,14436300,0.0,1.0
7,WMB,2010-11-15 00:00:00+00:00,22.83,23.5,22.78,23.12,10672300,11.1259105315,11.4524265217,11.1015436666,11.2672383482,10672300,0.0,1.0
8,WMB,2010-11-16 00:00:00+00:00,22.7,22.98,22.41,22.64,12454100,11.0625566827,11.1990111264,10.921228866,11.0333164448,12454100,0.0,1.0
9,WMB,2010-11-17 00:00:00+00:00,23.16,23.27,22.6,22.69,10206400,11.2867318401,11.340338943,11.0138229528,11.0576833097,10206400,0.0,1.0
10,WMB,2010-11-18 00:00:00+00:00,23.49,23.6,23.22,23.28,8513100,11.4475531487,11.5011602516,11.3159720781,11.345212316,8513100,0.0,1.0
11,WMB,2010-11-19 00:00:00+00:00,23.51,23.52,23.0,23.38,7376400,11.4572998947,11.4621732677,11.2087578723,11.3939460459,7376400,0.0,1.0
12,WMB,2010-11-22 00:00:00+00:00,23.41,23.42,22.89,23.28,7555900,11.4085661648,11.4134395378,11.1551507695,11.345212316,7555900,0.0,1.0
13,WMB,2010-11-23 00:00:00+00:00,22.95,23.17,22.75,23.12,8527800,11.1843910074,11.2916052131,11.0869235476,11.2672383482,8527800,0.0,1.0
14,WMB,2010-11-24 00:00:00+00:00,23.27,23.3,22.99,23.04,5189200,11.340338943,11.354959062,11.2038844993,11.2282513643,5189200,0.0,1.0
15,WMB,2010-11-26 00:00:00+00:00,22.9,23.21,22.81,23.02,2707600,11.1600241424,11.3110987051,11.1161637856,11.2185046183,2707600,0.0,1.0
16,WMB,2010-11-29 00:00:00+00:00,22.86,22.86,22.49,22.55,8882900,11.1405306505,11.1405306505,10.9602158499,10.9894560879,8882900,0.0,1.0
17,WMB,2010-11-30 00:00:00+00:00,22.81,22.97,22.41,22.58,11044800,11.1161637856,11.1941377534,10.921228866,11.0040762068,11044800,0.0,1.0
18,WMB,2010-12-01 00:00:00+00:00,23.33,23.6,23.21,23.21,11634500,11.3695791809,11.5011602516,11.3110987051,11.3110987051,11634500,0.0,1.0
19,WMB,2010-12-02 00:00:00+00:00,23.77,23.86,23.2101,23.3,7572200,11.5840075924,11.6278679493,11.3111474388,11.354959062,7572200,0.0,1.0
20,WMB,2010-12-03 00:00:00+00:00,23.72,23.845,23.53,23.63,6361500,11.5596407275,11.6205578898,11.4670466407,11.5157803706,6361500,0.0,1.0
21,WMB,2010-12-06 00:00:00+00:00,23.93,24.27,23.5,23.68,10600900,11.6619815602,11.8276762418,11.4524265217,11.5401472355,10600900,0.0,1.0
22,WMB,2010-12-07 00:00:00+00:00,23.63,24.25,23.5,24.15,11810300,11.5157803706,11.8179294958,11.4524265217,11.7691957659,11810300,0.0,1.0
23,WMB,2010-12-08 00:00:00+00:00,23.49,23.64,23.24,23.52,6615400,11.5084703111,11.5819599044,11.3859876556,11.5231682297,6615400,0.125,1.0
24,WMB,2010-12-09 00:00:00+00:00,23.93,24.05,23.48,23.58,8412400,11.7240397848,11.7828314594,11.5035710049,11.5525640671,8412400,0.0,1.0
25,WMB,2010-12-10 00:00:00+00:00,23.98,24.14,23.7201,24.0,9673200,11.7485363159,11.8269252154,11.6212033472,11.7583349283,9673200,0.0,1.0
26,WMB,2010-12-13 00:00:00+00:00,24.14,24.4925,24.02,24.06,12342700,11.8269252154,11.9996257597,11.7681335408,11.7877307656,12342700,0.0,1.0
27,WMB,2010-12-14 00:00:00+00:00,23.95,24.305,23.89,24.19,11126400,11.7338383972,11.907763768,11.7044425599,11.8514217465,11126400,0.0,1.0
