,Name,Date,Close,High,Low,Open,Volume,Adj Close,Adjhigh,Adjlow,Adjopen,Adjvolume,Divcash,Splitfactor
0,ZTS,2013-02-01 00:00:00+00:00,31.01,31.74,30.47,31.5,66789100,29.262318111,29.9511762929,28.7527517847,29.7247023701,66789100,0.0,1.0
1,ZTS,2013-02-04 00:00:00+00:00,31.02,31.99,30.76,31.09,7695400,29.2717545245,30.1870866292,29.0264077748,29.3378094186,7695400,0.0,1.0
2,ZTS,2013-02-05 00:00:00+00:00,31.04,31.98,30.85,31.25,5013200,29.2906273514,30.1776502158,29.1113354958,29.4887920339,5013200,0.0,1.0
3,ZTS,2013-02-06 00:00:00+00:00,31.03,31.43,30.75,30.98,2126100,29.2811909379,29.658647476,29.0169713613,29.2340088707,2126100,0.0,1.0
4,ZTS,2013-02-07 00:00:00+00:00,32.0,32.73,31.0,31.0,3800800,30.1965230427,30.8853812246,29.2528816976,29.2528816976,3800800,0.0,1.0
5,ZTS,2013-02-08 00:00:00+00:00,33.05,33.48,32.3,32.31,2599300,31.187346455,31.5931122334,30.4796154462,30.4890518596,2599300,0.0,1.0
6,ZTS,2013-02-11 00:00:00+00:00,33.26,33.5,32.88,33.06,1487200,31.3855111375,31.6119850603,31.0269274263,31.1967828685,1487200,0.0,1.0
7,ZTS,2013-02-12 00:00:00+00:00,33.74,34.0,33.15,33.4,1637300,31.8384589831,32.0838057328,31.2817105895,31.5176209258,1637300,0.0,1.0
8,ZTS,2013-02-13 00:00:00+00:00,33.55,33.8,33.0,33.8,1269700,31.6591671275,31.8950774638,31.1401643877,31.8950774638,1269700,0.0,1.0
9,ZTS,2013-02-14 00:00:00+00:00,33.27,33.45,32.77,33.39,2954500,31.3949475509,31.564802993,30.9231268784,31.5081845123,2954500,0.0,1.0
10,ZTS,2013-02-15 00:00:00+00:00,33.98,34.09,33.0,33.31,5415400,32.0649329059,32.1687334539,31.1401643877,31.4326932047,5415400,0.0,1.0
11,ZTS,2013-02-19 00:00:00+00:00,33.84,34.07,33.57,34.02,1206900,31.9328231176,32.149860627,31.6780399544,32.1026785597,1206900,0.0,1.0
12,ZTS,2013-02-20 00:00:00+00:00,32.72,33.88,32.6,33.84,1842900,30.8759448111,31.9705687714,30.7627078497,31.9328231176,1842900,0.0,1.0
13,ZTS,2013-02-21 00:00:00+00:00,32.56,32.8,31.86,32.5,3242300,30.7249621959,30.9514361187,30.0644132544,30.6683437152,3242300,0.0,1.0
14,ZTS,2013-02-22 00:00:00+00:00,32.59,32.93,32.5,32.78,954500,30.7532714363,31.0741094936,30.6683437152,30.9325632918,954500,0.0,1.0
15,ZTS,2013-02-25 00:00:00+00:00,32.07,32.69,32.0,32.68,818900,30.2625779368,30.8476355708,30.1965230427,30.8381991573,818900,0.0,1.0
16,ZTS,2013-02-26 00:00:00+00:00,32.04,32.4,31.99,32.05,1048700,30.2342686965,30.5739795807,30.1870866292,30.2437051099,1048700,0.0,1.0
17,ZTS,2013-02-27 00:00:00+00:00,32.32,33.05,32.0,32.0,1343600,30.4984882731,31.187346455,30.1965230427,30.1965230427,1343600,0.0,1.0
18,ZTS,2013-02-28 00:00:00+00:00,33.45,33.55,32.56,32.56,2991400,31.564802993,31.6591671275,30.7249621959,30.7249621959,2991400,0.0,1.0
19,ZTS,2013-03-01 00:00:00+00:00,34.6,34.7,33.15,33.36,2334000,32.6499905399,32.7443546744,31.2817105895,31.479875272,2334000,0.0,1.0
