Date,AAL,AAPL,ABT,ADBE,ADS,AES,ALGN,AMD,AME,AMGN,AMZN,APA,APD,ATVI,BAC,BLL,BXP,C,CBOE,CCI,CF,CHRW,CHTR,CL,CMCSA,CMG,COG,CVX,DG,DRE,DUK,EQIX,ETN,F,FE,FMC,KMB,KR,LNT,RE,STZ,T,VRTX,XOM,10 YR
11/28/2006,53.5015,2.82791,15.97506,40,59.91304,16.0121,13.25,21.41,13.12438,57.7694,40.63,57.06797,49.33807,7.43021,39.64907,9.34813,66.06227,399.84405,,27.37509,3.48203,32.98484,,23.47263,10.60496,57.89,7.09586,42.08644,,21.66207,28.41178,61.1151,24.78419,5.51446,31.14763,11.59722,39.13641,8.64195,11.6315,72.93191,25.88134,15.58646,44.89,47.97239,0.0451
11/29/2006,53.5015,2.8236,15.93749,40.16,60.91081,16.13639,13.12,21.57,13.23805,56.66857,40.34,57.60339,48.87855,7.61843,39.5243,9.49468,66.91985,397.67883,,27.10763,3.51603,32.82077,,23.4402,10.65499,57.95,7.14184,42.83872,,21.77213,28.51065,62.62947,25.15294,5.48746,31.23637,11.57762,39.23676,8.48382,11.55427,72.48994,26.00215,15.77722,44.3,48.46454,0.0452
11/30/2006,52.87939,2.81312,15.90675,39.35,61.13671,16.13639,13.08,20.69,13.01884,55.34439,39.41,57.29038,48.99166,7.68117,39.26741,9.508,66.80551,395.99477,,26.89524,3.48357,32.41806,,23.55191,10.69449,57.49,7.22576,43.30668,,21.66707,28.48368,61.25425,25.07462,5.42671,31.59655,11.62989,39.16003,8.55893,11.53348,72.51941,26.16942,15.8191,44.14,48.71062,0.0446
12/3/2006,54.83055,2.80696,16.42935,39.29,61.13671,16.37806,13.51,21.04,13.22181,55.16092,39.1,56.722,49.76931,7.83354,38.64353,9.61014,67.46299,400.96676,,26.80871,3.51912,32.06756,,23.86901,10.75243,58,7.13725,43.53769,,21.98225,29.40947,62.48212,25.46621,5.32547,31.69573,11.67399,39.64997,8.82776,11.70278,73.1308,26.22518,15.93076,44.19,49.07027,
12/4/2006,54.36868,2.81158,16.49425,39.15,62.12507,16.37806,14.22,21.34,13.11627,55.08913,38.98,56.95265,50.15813,7.88283,38.74629,9.5946,66.96559,405.05662,,26.58845,3.57785,32.0601,,23.63118,11.01578,56.85,7.15564,43.80425,,21.84717,29.38251,62.39208,25.37157,5.18372,31.99849,11.68379,39.75622,9.28634,11.7206,73.48437,26.07649,16.13548,44.54,49.25325,0.0443
12/5/2006,56.8477,2.76722,16.39861,38.54,61.61677,16.03972,14.07,21.49,13.12844,55.75122,38.9,56.93617,49.96726,7.85594,38.67289,9.57461,66.50821,407.22184,,27.25709,3.60412,32.1123,,23.73208,11.03158,57.13,7.13265,43.57323,,21.60704,29.20274,64.43853,25.48905,4.96774,31.76881,11.7573,40.05727,9.15984,11.63447,73.23392,26.04861,16.18201,44.48,48.14906,0.0445
12/6/2006,55.62233,2.68128,16.40885,37.75,60.90139,15.98449,14.05,21.05,12.99423,55.20081,38.12,56.70553,49.95312,7.85146,38.5261,9.5835,66.69116,406.66049,,27.08403,3.58558,31.80526,,23.6492,10.99207,54.76,7.43037,43.43107,,21.47196,29.13083,64.19295,25.51189,4.83274,31.46083,11.84224,39.75403,9.13216,11.53645,73.18236,26.14154,16.11222,43.59,47.77048,0.0448
12/7/2006,55.84855,2.71886,16.38153,38.88,60.32721,15.99829,14.16,20.93,12.99423,55.74324,38.46,56.90322,50.46212,7.99935,37.9169,9.67676,67.02848,415.80253,,26.9503,3.61185,31.51319,,23.63839,11.08951,55.3,7.36485,43.14082,,21.33689,29.39149,63.80822,25.57716,4.87999,31.41385,11.90757,39.40323,9.1203,11.51269,73.37388,26.18801,16.27041,43.23,47.63797,0.0449
12/10/2006,58.02594,2.73395,16.33371,39.98,60.14836,15.82568,14.02,20.69,12.94136,55.75122,38.69,56.46665,50.33487,8.03968,38.57013,9.59682,66.52537,424.06245,,26.96603,3.66131,31.85019,,23.74289,11.24225,54.85,7.45336,43.65616,,21.46196,29.77799,64.94604,25.13336,4.88674,31.59655,11.96474,39.4389,9.37332,11.53942,73.55803,26.18801,16.36811,41.14,47.54964,
12/11/2006,56.04649,2.65355,16.39178,39.97,59.50828,15.79806,13.71,20.47,12.83968,55.57572,38.46,56.51607,50.29952,7.86491,38.75363,9.55241,66.0051,419.01026,,26.48618,3.62885,31.93257,,23.67082,11.34496,54.5,7.46945,43.74501,,21.36691,29.87686,64.856,25.12357,4.7855,31.79491,12.01211,39.36755,9.48401,11.52754,73.62432,26.55044,16.58214,39.4,48.1112,0.0452
